fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.2,6459,1,1871616,11,1,11,1,98,141,2231,0.2,6995
0.2,130,1,1711507,65,3.6,67,0,95,385,48585,0.2,93006
0.2,133,10,1072768,86,2,136,9,94,1370,47389,0.2,121256
0.2,158,2,1069447,120,1,154,0,92,3504,56584,0.2,6741
0.2,5274,1,1858256,26,1,15,1,98,198,11084,0.2,6998
0.2,7292,1,1863744,14,1.2,14,1,98,191,4533,0.2,7018
0.2,7293,1,1875112,33,1,12,1,98,192,12015,0.2,8571
0.2,7306,0,1867538,11,1,10,0,99,139,4013,0.2,444
0.4,1435,3,1542104,68,2.4,76,0,97,1372,119814,1.8,150618
0.4,1246,56,1714448,70,3.4,119,86,87,1426,147764,0.4,444790
0.2,119,23,1016200,120,1,91,33,92,4590,53278,0.2,79232
0.2,7261,1,1868646,29,1,23,1,98,231,2909,0.2,19505
0.2,7224,0,1847200,9,1,9,0,98,133,4064,0.2,1287
0.2,579,1,1752811,18,1,54,0,97,461,8554,0.2,17735
0.2,6454,1,1871424,40,1,19,1,97,318,12604,0.6,32972
0.2,140,1,1034957,62,1.5,114,0,93,1333,21894,0.2,141952
0.2,134,1,1073443,195,1.5,319,0,88,5414,69238,0.2,95095
0.2,7385,1,1874944,24,1,12,1,99,194,11991,0.2,10678
0.4,93,17,7,142,480,429,14,0,1128,590202,0.4,818219
0.4,681,10,1016560,85,1,79,9,94,734,18019,0.4,15256
0.2,6930,1,1879101,40,1.4,51,1,97,960,44913,0.2,108053
1.8,158,22,1058141,205,4.5,223,4,86,1650,29856,1.6,33024
0.2,140,26,1057504,108,1,205,37,94,1000,42305,0.2,9145
0.4,131,9,1521109,148,2.4,295,5,90,3448,93546,0.4,228467
0.6,182,9,1068709,150,1,127,7,91,2014,150917,2.2,192523
0.2,95,7,5,73,155,103,6,0,1844,26099,0.2,29186
0.6,632,4,1446296,68,2.4,65,3,94,2774,3437,2,22464
0.6,189,12,1128397,97,1,128,11,90,1377,23905,0.6,51717
0.2,7547,0,1870227,21,1.6,19,0,98,234,9040,0.2,704
1.8,1534,8,1639528,245,2.6,254,2,89,2835,153151,1.4,176000
0.2,131,1,1058443,321,2.3,492,0,77,8840,65220,0.2,24851
0.2,7739,1,1880280,9,1,8,1,99,161,4352,0.2,6994
0.4,138,0,1695530,278,2,325,0,91,1423,58622,0.4,9495
0.2,95,7,5,73,155,103,6,0,1844,26099,0.2,29186
0.2,7248,1,1875328,17,1,13,1,98,170,11635,0.2,31363
0.2,135,0,1746265,52,1,51,0,98,435,27422,0.2,10361
0.4,177,2,1753610,201,3.4,166,0,77,842,522561,0.8,847117
