,Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,real_identifier
0,32,0,2,2,1,1,0,0
1,29,0,1,5,0,1,0,0
2,35,2,2,4,1,0,0,0
3,30,0,2,3,0,1,0,0
4,28,0,1,2,1,1,1,0
5,31,2,1,1,0,1,0,0
6,34,0,2,6,0,1,0,0
7,36,2,0,2,1,0,0,0
8,33,0,2,5,0,1,0,0
9,30,0,1,4,1,1,0,0
10,29,2,1,3,0,0,1,0
11,32,0,2,2,1,0,0,0
12,28,2,0,4,0,0,1,0
13,36,0,1,1,0,0,0,0
14,33,0,2,3,1,0,0,0
15,30,2,1,2,0,0,1,0
16,34,0,0,3,0,0,0,0
17,31,2,2,1,0,0,1,0
18,35,0,1,4,1,0,0,0
19,29,2,0,2,0,0,1,0
20,31,1,2,4,0,0,0,0
21,35,2,1,2,1,1,1,0
22,27,0,2,3,1,0,0,0
23,32,0,1,4,0,0,0,0
24,36,2,1,1,1,1,1,0
25,29,1,2,2,1,0,0,0
26,33,0,2,5,0,0,0,0
27,30,2,1,3,1,1,1,0
28,28,0,2,1,0,0,0,0
29,31,1,1,4,1,0,0,0
30,32,1,2,2,1,1,0,0
31,39,2,1,2,0,0,0,0
32,31,0,2,5,0,1,0,0
33,33,1,2,1,0,0,0,0
34,40,2,1,3,1,1,0,0
35,29,0,2,4,0,0,0,0
36,37,1,2,2,0,1,0,0
37,35,2,1,1,1,0,0,0
38,34,0,2,6,0,1,0,0
39,30,1,2,3,0,0,1,0
40,32,0,1,2,0,0,0,0
41,36,2,0,1,0,1,1,0
42,34,0,1,3,0,0,0,0
43,31,2,0,2,0,0,1,0
44,35,0,1,1,0,1,0,0
45,30,0,1,2,0,0,0,0
46,33,2,0,1,1,1,1,0
47,37,0,1,3,0,0,0,0
48,32,2,0,2,0,1,1,0
49,35,0,1,1,0,0,0,0
50,29,1,1,4,0,1,0,0
51,35,2,2,2,1,0,1,0
52,32,0,0,6,0,1,1,0
53,28,2,1,3,1,0,0,0
54,38,1,2,1,0,0,0,0
55,33,0,1,5,1,1,1,0
56,31,2,0,2,0,0,1,0
57,36,1,1,4,0,0,0,0
58,30,0,2,6,1,1,0,0
59,34,2,1,3,0,0,1,0
60,35,1,2,2,0,1,0,0
61,27,2,0,3,1,0,1,0
62,39,0,1,4,0,1,0,0
63,32,0,2,1,1,0,0,0
64,29,1,1,5,0,0,0,0
65,34,2,2,3,0,1,1,0
66,38,0,1,2,1,0,0,0
67,28,0,0,4,0,1,1,0
68,31,1,2,1,1,0,0,0
69,36,2,1,3,0,1,1,0
70,32,1,2,2,1,1,0,0
71,29,0,1,4,0,0,1,0
72,36,2,2,1,0,1,0,0
73,34,1,1,5,1,0,0,0
74,33,0,2,3,0,1,0,0
75,31,1,1,2,1,0,0,0
76,35,0,2,4,0,0,0,0
77,30,0,1,3,0,1,0,0
78,32,1,2,2,1,1,0,0
79,29,0,1,5,0,0,1,0
80,33,1,2,3,1,0,0,0
81,39,0,1,5,0,1,1,0
82,30,2,0,2,1,0,0,0
83,36,1,2,4,0,1,0,0
84,32,0,1,6,1,0,0,0
85,38,2,0,3,0,0,0,0
86,35,0,2,1,1,1,0,0
87,34,1,1,5,0,0,0,0
88,31,2,0,2,1,0,0,0
89,37,0,1,4,1,1,1,0
90,33,1,1,3,0,1,0,0
91,29,0,2,2,1,0,1,0
92,38,2,0,5,0,0,0,0
93,31,1,1,6,1,1,0,0
94,34,0,1,2,0,1,1,0
95,32,2,2,4,0,0,0,0
96,30,0,1,5,1,0,1,0
97,35,1,0,3,0,1,0,0
98,36,2,1,2,1,1,0,0
99,28,1,2,6,0,0,1,0
100,32,0,2,5,0,1,0,0
101,38,0,1,4,1,0,0,0
102,34,0,2,2,0,1,0,0
103,31,0,2,6,0,0,0,0
104,30,0,1,3,1,1,0,0
105,36,0,2,1,1,0,0,0
106,33,0,2,5,0,1,0,0
107,35,0,1,2,0,0,0,0
108,37,0,2,4,1,1,0,0
109,32,0,2,3,0,0,0,0
110,32,1,1,4,1,1,0,0
111,36,0,2,1,0,0,1,0
112,28,2,0,5,0,1,0,0
113,39,1,1,3,1,0,0,0
114,33,0,2,6,0,1,1,0
115,30,2,1,2,0,0,0,0
116,35,1,0,4,1,1,0,0
117,29,0,2,1,0,0,0,0
118,38,0,1,5,0,1,0,0
119,31,1,2,3,0,0,1,0
120,32,1,2,4,1,1,0,0
121,31,0,1,3,0,0,1,0
122,28,2,2,2,0,1,0,0
123,35,0,1,1,1,0,0,0
124,33,1,0,5,1,1,1,0
125,29,0,2,6,0,0,0,0
126,34,2,1,3,0,1,0,0
127,30,1,2,1,0,0,1,0
128,32,0,0,4,1,1,0,0
129,31,2,2,2,0,0,0,0
130,30,2,1,2,1,0,0,0
131,39,1,2,3,0,1,1,0
132,25,2,0,1,0,0,0,0
133,38,0,1,4,1,0,0,0
134,32,2,1,2,1,0,1,0
135,35,1,2,3,0,1,0,0
136,29,0,0,1,0,0,0,0
137,40,2,2,4,1,0,1,0
138,26,1,1,2,0,0,0,0
