duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
6,31,4,3,1,2,2,0,0,1,1,2,1,1,3,1,2,1,2,2,1076
9,24,2,3,1,1,4,0,1,1,1,1,1,1,0,3,1,1,2,4,2319
15,24,6,3,1,1,4,0,1,1,1,0,1,1,0,3,1,1,2,2,2301
36,50,9,2,1,1,2,1,1,1,0,0,0,0,3,1,1,1,2,4,2802
42,33,0,1,1,1,1,0,0,1,2,1,1,0,0,3,1,1,2,2,8462
12,36,0,0,1,1,4,1,1,3,1,3,1,1,3,3,1,1,2,2,1542
24,37,4,0,1,1,4,0,1,1,1,0,1,1,3,2,2,4,2,4,1259
24,25,4,1,1,1,3,0,1,1,2,4,0,0,0,3,1,1,0,2,1259
30,26,0,0,1,1,3,0,1,0,1,2,1,0,0,3,1,1,2,4,2911
18,33,2,0,1,1,1,0,1,1,1,2,1,0,3,3,1,4,2,1,2760
36,26,6,0,1,2,2,1,1,3,1,2,0,0,3,2,1,1,2,4,4463
12,57,3,2,1,3,4,0,0,1,0,2,1,1,3,2,1,1,2,1,2829
9,50,3,1,1,1,3,1,1,3,1,3,0,1,3,3,1,4,2,4,1820
18,31,3,0,1,2,3,0,1,2,1,2,1,0,1,1,1,1,2,2,4278
48,34,4,2,1,2,4,0,1,3,0,2,1,1,3,1,1,1,2,3,7113
9,36,4,3,1,2,2,0,1,1,2,2,1,1,3,1,2,1,2,2,2797
6,62,1,3,1,1,4,0,1,3,1,2,1,1,1,3,1,3,2,1,1338
18,23,7,3,1,1,4,0,1,3,1,1,1,0,0,3,1,1,2,4,1943
5,74,0,3,1,1,4,0,1,3,1,3,3,1,3,3,1,1,2,1,3606
10,70,4,2,1,1,4,1,0,2,0,4,0,1,3,3,1,1,2,2,7308
12,20,6,3,0,1,2,1,1,1,1,2,1,0,3,3,2,1,2,2,1076
24,27,5,0,1,1,3,1,1,2,1,1,1,1,2,3,1,3,2,2,2758
30,47,9,0,1,1,4,2,1,3,1,0,1,1,3,3,1,4,2,4,8181
36,45,6,3,1,1,4,0,1,1,1,0,1,1,3,3,1,4,2,2,8022
12,29,3,1,1,1,4,0,1,1,1,2,1,1,3,1,1,1,2,4,1843
18,26,6,3,1,1,3,0,0,1,1,2,1,0,2,3,1,1,2,1,1453
30,22,3,1,1,1,4,0,1,2,2,1,1,1,3,3,1,1,2,4,3835
12,33,6,3,1,1,2,0,1,2,1,3,3,1,0,3,1,1,2,2,614
36,24,9,0,1,2,2,0,1,1,1,2,1,0,3,3,1,1,2,1,9628
60,36,0,2,1,2,4,1,1,3,1,4,0,1,0,1,1,4,0,4,11991
12,20,6,3,0,1,2,1,1,1,2,2,3,0,0,1,1,1,2,1,1076
48,27,3,2,1,1,1,1,1,1,0,3,1,1,0,1,1,1,2,2,6558
10,28,6,0,1,2,4,0,1,2,1,2,1,1,3,1,1,2,2,2,660
