has_pets,has_high_education,tr_per_month,top2_interes,mean_tr,relation,age,top4_interes,sex,top1_interes,median_tr,top3_interes,top5_interes,is_parent
0,0,1.839,19,1368.927,0,55,16,1,11,547.0,15,23,0
1,0,1.427,4,1288.839,0,38,25,1,11,949.0,15,6,1
0,0,3.845,15,3263.977,0,23,1,1,6,749.0,21,18,0
0,0,34.389,23,1894.876,0,35,6,2,10,441.0,2,24,1
0,0,30.437,6,1592.636,0,30,16,1,11,500.0,14,21,0
0,0,0.606,15,730.929,0,37,17,2,24,730.9,2,6,0
0,0,12.971,11,1871.004,0,43,6,1,0,926.0,15,4,1
0,0,18.955,18,3276.827,0,43,15,2,14,949.0,6,21,1
0,0,1.0,6,9700.0,0,27,14,2,15,9700.0,21,19,0
0,0,3.805,22,1469.36,0,25,24,2,6,1150.0,8,7,0
0,0,2.871,10,6775.0,0,39,25,2,2,5000.0,15,19,0
0,0,2.647,6,585.788,0,57,23,2,2,255.0,24,15,0
0,0,19.832,0,2274.831,0,30,16,1,11,865.0,15,6,1
0,0,3.637,10,1329.503,0,39,23,2,14,1137.5,6,19,1
0,0,12.974,5,1505.941,0,46,4,1,19,688.0,10,23,0
1,0,43.917,19,639.08,0,31,16,1,0,300.0,11,5,1
0,0,8.857,19,2181.835,0,38,22,1,11,819.0,10,4,1
0,0,41.832,3,1032.07,0,36,23,1,14,283.35,21,15,0
0,0,22.897,6,4384.521,0,41,23,2,14,1071.23,2,8,0
0,0,4.919,0,750.0,0,32,16,1,19,500.0,5,25,0
0,0,20.051,14,729.609,0,23,8,2,6,500.0,24,18,0
0,0,28.908,2,2830.943,0,33,14,2,8,705.315,6,18,0
0,0,12.622,15,3199.957,0,31,18,2,23,645.0,14,24,0
0,0,0.832,4,375.0,0,33,23,1,5,300.0,10,11,0
0,0,11.094,14,1062.131,0,21,21,2,6,500.0,18,3,0
0,0,13.077,4,2271.936,0,38,15,1,19,545.0,16,5,1
0,0,10.146,23,1566.717,4,65,16,1,15,511.0,21,11,0
0,0,44.7,23,1177.632,0,37,15,2,10,535.5,2,24,1
0,0,17.865,6,1322.973,0,35,18,2,8,391.0,7,24,0
0,0,13.971,15,1253.861,0,46,16,1,23,500.0,19,21,0
0,1,1.0,6,1540.0,0,28,1,1,14,763.0,15,21,1
0,0,4.841,19,3134.811,0,34,15,1,6,1358.0,23,11,1
0,0,0.988,23,1436.5,0,32,19,1,0,1061.0,11,25,1
0,0,10.146,5,3055.919,0,42,19,1,0,952.5,15,10,1
0,0,22.726,19,1476.763,0,55,10,1,11,500.0,15,23,0
0,0,24.958,0,1624.632,0,35,11,1,5,500.0,19,17,1
0,0,4.936,10,2825.031,0,36,2,2,24,1689.5,23,15,1
0,1,5.908,19,3964.943,4,35,5,1,11,903.0,15,18,1
0,0,12.095,15,2266.667,0,41,21,1,23,588.0,16,22,0
0,0,3.827,15,1640.873,0,32,8,2,14,500.0,6,24,0
0,0,7.958,11,2617.092,0,31,15,1,21,1221.695,14,6,1
0,1,1.634,8,21891.222,4,40,6,2,23,20000.0,15,24,0
0,0,7.624,23,3630.098,0,31,15,1,6,735.0,11,21,0
0,0,3.846,21,1551.966,0,36,16,1,15,581.0,11,8,1
0,0,4.522,15,4438.191,0,53,17,2,10,925.0,23,19,0
0,0,22.091,23,562.969,0,59,3,2,21,200.0,11,10,0
0,0,8.971,5,3393.976,4,62,11,1,10,706.5,19,4,1
0,0,8.087,10,556.822,0,56,13,1,11,244.0,15,22,0
0,1,5.922,24,1871.845,4,21,18,1,1,400.0,15,22,0
0,0,2.835,11,1766.889,0,34,21,1,15,1063.0,6,5,1
0,0,45.655,6,704.835,0,30,17,2,2,300.0,10,3,0
0,0,4.466,15,3358.917,0,42,21,2,6,1733.0,19,8,1
