Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
392,341,30.0,6.0,9,0,45.894,-114.912,110,0.0,5,5,7.0,1215.0,7.0,9,30.0,15.5,17.0,100.0,806.0,0.28,0.513,0.77
391,330,48.0,2.0,61,0,51.038,-120.086,164,1.0,5,5,6.0,1892.0,17.0,11,225.0,7.1,15.0,1.0,829.912,0.27,0.513,0.66
75,294,46.0,6.0,113,0,32.362,-99.938,18,1.0,5,6,2.0,2955.0,17.0,11,75.0,36.0,20.0,8.0,834.808,0.4,0.513,0.77
391,321,8.0,6.0,13,0,30.0,-96.079,110,1.0,5,2,2.0,1622.0,17.0,17,740.0,7.8,27.0,20.0,775.342,0.25,0.513,0.719
354,120,48.0,2.0,38,0,53.867,-95.333,55,1.0,5,5,4.0,2360.0,12.0,11,24.0,6.8,23.0,5.0,839.0,0.28,0.513,0.77
226,313,48.0,6.0,75,0,32.816,-114.938,143,1.0,2,5,8.0,945.0,26.0,11,63.0,63.8,22.0,2000.0,841.776,0.27,0.513,0.783
353,299,360.0,2.0,39,0,24.967,-111.816,166,0.0,5,2,4.0,2082.7,7.0,11,30.0,7.6,25.0,20.0,810.888,0.41,0.513,0.823
301,311,9.0,2.0,60,0,30.867,-103.333,128,1.0,5,5,3.0,2375.0,15.0,11,210.0,21.4,20.0,25.0,801.7,0.5,0.0,0.753
355,111,48.0,6.0,75,0,27.1,-112.063,110,1.0,5,2,7.0,1781.0,15.0,11,34.0,18.0,13.0,24.0,787.147,0.38,0.513,0.913
285,306,13.0,6.0,115,0,27.0,-95.267,128,1.0,5,6,2.0,1820.0,7.0,11,195.0,24.0,14.0,1650.0,839.763,0.25,0.513,0.749
115,204,9.0,6.0,66,0,39.912,-104.086,118,1.0,5,6,6.0,1606.0,23.0,11,120.0,7.8,15.0,7.0,915.562,0.28,0.513,0.77
8,111,9.0,0.0,64,0,37.543,-103.85,155,0.0,5,5,10.0,1217.3,7.0,11,49.0,17.6,17.0,2000.0,876.161,0.48,0.513,0.71
63,101,48.0,6.0,63,4,32.842,-95.079,128,0.0,2,2,2.0,3062.0,15.0,11,30.0,10.0,28.0,7.0,839.763,0.3,0.513,0.663
185,184,48.0,6.0,63,7,25.632,-111.096,18,1.0,5,8,6.0,3175.0,17.0,11,36.0,38.0,17.0,3000.0,865.443,0.8,0.513,0.82
338,184,48.0,6.0,64,2,60.079,-102.858,158,1.0,5,6,4.0,2533.8,17.0,11,120.0,6.5,20.0,7.0,822.554,0.42,0.513,0.73
301,121,48.0,6.0,9,0,49.957,-120.852,110,1.0,5,5,2.0,780.0,15.0,11,30.0,24.7,21.0,15.0,844.776,0.26,0.513,0.857
226,110,48.0,6.0,115,0,63.914,-119.913,152,1.0,5,5,2.0,2560.0,4.0,11,150.0,42.3,23.1,20.0,834.808,0.31,0.513,0.783
413,118,48.0,6.0,63,2,40.0,-114.069,128,1.0,2,5,2.0,1710.0,7.0,2,37.4,17.7,11.0,1.0,839.763,0.29,0.513,0.749
226,155,48.0,6.0,75,2,32.038,-105.199,110,1.0,2,2,4.0,2521.0,21.0,11,11.0,3.6,23.0,1500.0,865.443,0.35,0.513,0.81
