,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
0,2,28,2,1,4103,0,1,3,2,0,3,1,33,2,1,1,2,1,1,0,1,0
1,3,15,2,0,2450,1,2,1,2,0,2,0,29,2,1,1,3,2,0,0,1,0
2,0,42,2,2,5987,0,4,3,2,0,3,0,38,2,1,1,2,1,1,0,1,0
3,3,10,2,0,2634,2,3,2,2,0,4,2,31,2,1,1,1,1,0,0,1,0
4,2,36,2,3,3892,0,2,4,2,0,3,1,35,2,1,1,3,1,1,0,1,0
5,3,18,2,0,2876,1,4,1,2,0,3,0,28,2,1,1,2,1,0,0,1,0
6,1,14,2,0,2117,1,1,3,2,0,2,1,30,2,1,1,2,1,0,0,1,0
7,2,22,2,1,3678,0,3,2,2,0,4,1,40,2,1,1,1,2,0,0,1,0
8,3,6,2,0,2219,1,2,1,2,0,2,0,25,2,1,1,2,1,0,0,1,0
9,0,30,2,3,4321,0,4,3,2,0,3,1,32,2,1,1,3,1,1,0,2,0
10,2,28,3,2,5200,1,2,3,1,1,3,1,31,1,1,1,2,1,0,0,1,0
11,1,32,2,3,4100,0,4,2,2,0,2,2,25,2,1,1,3,1,0,0,2,0
12,0,18,1,1,2300,4,1,1,1,0,3,0,22,0,1,1,1,1,0,0,1,0
13,2,25,2,4,3400,0,2,3,2,1,4,1,30,2,1,1,2,1,0,0,2,0
14,1,34,3,0,6500,4,0,4,0,0,4,2,26,2,1,1,3,1,0,0,2,0
15,0,12,1,2,1800,0,3,1,1,0,2,0,23,0,1,1,1,1,0,0,1,0
16,3,22,2,1,4200,4,2,2,2,2,3,1,29,1,1,1,2,2,0,0,1,0
17,1,38,4,3,8000,1,4,4,2,0,4,3,32,2,1,1,3,1,0,0,2,0
18,0,14,1,0,1300,0,1,1,1,0,2,0,27,0,1,1,1,1,0,0,1,0
19,2,27,2,2,4800,0,3,3,2,1,3,1,33,2,1,1,2,1,0,0,2,0
20,2,36,2,2,4210,0,1,3,2,0,3,2,30,1,1,1,2,1,0,0,1,0
21,0,30,3,1,3100,2,0,2,2,0,3,1,28,1,1,1,1,1,0,0,1,0
22,2,24,2,3,4900,0,2,4,2,0,2,2,23,1,1,1,2,1,0,0,1,0
23,3,22,4,5,1200,0,3,4,1,0,4,2,45,2,1,2,0,1,0,0,1,0
24,1,40,3,6,6500,1,4,4,2,0,4,3,42,2,2,1,2,1,0,0,2,0
25,2,12,4,0,1450,0,1,4,1,0,4,2,30,2,1,2,3,1,0,0,1,0
26,0,24,2,3,5300,0,1,3,2,0,1,2,24,1,1,1,2,1,0,0,1,0
27,3,18,4,4,1100,0,0,4,1,0,4,2,60,2,1,2,0,1,0,0,1,0
28,1,10,4,3,2000,0,3,4,2,0,3,2,36,2,0,1,2,1,1,0,1,0
29,3,16,4,0,5100,4,4,1,1,0,4,2,60,2,1,1,2,1,1,0,1,0
30,2,15,3,3,2100,1,3,3,1,0,3,1,29,2,1,2,2,1,0,0,1,0
31,2,12,4,5,850,0,4,4,2,0,4,0,42,2,1,2,1,1,0,0,1,0
32,1,21,2,3,1050,0,2,1,1,0,2,1,28,2,1,1,3,1,0,0,2,0
33,3,18,3,2,3400,0,4,3,1,0,3,2,25,2,1,1,2,1,0,0,1,0
34,0,24,2,1,1200,0,1,2,1,0,4,1,34,1,1,1,2,1,0,0,2,0
