,parents,has_nurs,form,children,housing,finance,social,health,class,real_identifier
0,1,1,2,0,0,1,1,2,1,0
1,0,2,1,3,1,0,0,1,2,0
2,2,3,0,2,2,1,1,0,2,0
3,1,0,3,1,0,0,2,1,0,0
4,0,1,2,0,1,1,0,2,3,0
5,2,4,1,3,2,0,1,1,3,0
6,1,3,2,2,0,1,2,0,1,0
7,0,2,0,1,1,0,1,1,0,0
8,2,1,3,0,2,1,0,2,2,0
9,1,0,2,3,0,0,2,1,3,0
10,1,1,2,1,1,0,0,1,2,0
11,2,3,0,2,0,1,1,0,3,0
12,0,2,1,3,2,0,0,2,0,0
13,1,4,2,0,1,1,1,1,1,0
14,2,0,0,2,2,0,2,0,3,0
15,0,1,3,1,0,1,2,1,1,0
16,1,2,2,3,1,0,1,0,2,0
17,0,0,1,0,2,0,0,2,0,0
18,2,3,3,2,0,1,1,1,1,0
19,1,1,0,1,0,0,2,2,3,0
20,2,2,1,1,1,0,1,1,2,0
21,1,1,1,3,1,1,2,0,3,0
22,0,2,0,0,2,0,0,1,0,0
23,2,3,3,1,0,0,1,2,4,0
24,1,0,2,2,2,1,0,0,1,0
25,0,1,3,3,0,0,2,1,3,0
26,1,2,0,1,1,1,1,0,0,0
27,2,0,1,2,0,1,2,1,3,0
28,0,3,2,0,1,0,1,0,0,0
29,1,0,3,3,2,1,2,2,4,0
30,1,2,1,1,1,0,2,1,1,0
31,2,1,0,2,0,1,1,2,1,0
32,1,3,2,3,1,1,0,2,1,0
33,0,4,3,1,2,0,0,1,0,0
34,2,0,1,0,2,1,2,0,1,0
35,1,3,1,0,0,0,1,1,1,0
36,2,2,2,1,1,1,0,2,1,0
37,0,4,3,2,1,0,0,0,0,0
38,1,1,0,3,2,1,1,1,1,0
39,2,0,0,0,0,0,2,2,1,0
40,1,3,2,1,0,1,1,0,2,0
41,2,1,2,2,0,0,2,1,1,0
42,0,2,1,3,1,0,0,2,3,0
43,1,0,3,2,1,1,1,0,2,0
44,2,3,0,1,0,0,1,1,0,0
45,0,1,2,3,1,0,2,1,4,0
46,1,4,1,2,0,1,0,2,3,0
47,2,0,3,0,1,0,1,0,1,0
48,0,2,0,3,0,0,1,1,3,0
49,1,3,2,1,1,0,0,2,2,0
50,0,1,2,1,1,0,1,2,1,0
51,1,3,0,2,2,1,2,1,1,0
52,2,2,1,0,1,1,0,0,0,0
53,0,0,3,3,0,0,1,1,0,0
54,1,4,2,1,2,1,2,2,1,0
55,2,1,0,2,0,0,0,1,0,0
56,0,3,1,0,1,1,1,2,1,0
57,1,2,0,3,2,0,2,0,0,0
58,2,4,2,1,0,1,1,0,0,0
59,0,1,3,2,1,0,2,1,1,0
60,0,3,2,2,1,0,1,1,2,0
61,1,1,0,0,0,1,2,2,1,0
62,2,4,1,1,2,0,0,0,3,0
