,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,target,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,real_identifier
0,250.0,320.0,10.0,3.0,12.0,1.0,40.0,120.0,130.0,1.0,5.0,6.0,7.0,3800.0,18.0,11.0,230.0,25.0,14.0,12.0,850.0,0.45,-1.0,-1.0,0
1,85.0,290.0,45.0,3.0,20.0,0.0,40.0,55.0,185.0,2.0,5.0,5.0,11.0,550.0,16.0,11.0,2300.0,58.0,20.0,32.0,865.0,0.36,-1.0,-1.0,0
2,32.0,155.0,14.0,0.0,42.0,9.0,29.0,34.0,70.0,0.0,5.0,12.0,9.0,1720.0,15.0,11.0,310.0,88.0,-1.0,52.0,890.0,0.32,-1.0,0.82,0
3,41.0,190.0,47.0,1.0,67.0,4.0,54.0,2.0,157.0,0.0,2.0,2.0,9.0,2090.0,22.0,11.0,230.0,172.0,12.0,0.6,-1.0,-1.0,-1.0,0.46,0
4,325.0,66.0,8.0,4.0,15.0,3.0,-22.0,-40.0,128.0,0.0,5.0,4.0,8.0,1060.0,8.0,11.0,155.0,157.0,31.0,1010.0,875.0,0.31,-1.0,-1.0,0
5,76.0,380.0,35.0,4.0,110.0,0.0,-13.0,-73.0,138.0,1.0,3.0,12.0,11.0,1855.0,8.0,11.0,75.0,64.0,14.0,1010.0,730.0,-1.0,-1.0,-1.0,0
6,210.0,240.0,49.0,6.0,80.0,0.0,45.0,-106.0,55.0,1.0,5.0,6.0,3.0,2605.0,8.0,13.0,25.0,4.0,11.0,16.0,830.0,-1.0,-1.0,-1.0,0
7,14.0,195.0,47.0,1.0,65.0,4.0,59.0,2.0,23.0,0.0,5.0,2.0,8.0,2290.0,18.0,11.0,164.0,111.0,21.0,210.0,825.0,0.5,-1.0,0.82,0
8,217.0,400.0,49.0,6.0,40.0,3.0,31.0,-96.0,62.0,1.0,2.0,2.0,2.0,3460.0,18.0,11.0,88.0,22.0,12.0,0.5,775.0,-1.0,-1.0,0.38,0
9,205.0,115.0,19.0,2.0,60.0,4.0,5.5,107.0,166.0,0.0,5.0,5.0,5.0,790.0,19.0,11.0,1750.0,57.0,24.0,182.0,800.0,0.63,-1.0,-1.0,0
10,200.0,300.0,10.0,5.0,110.0,1.0,45.0,-100.0,150.0,1.0,4.0,6.0,8.0,2000.0,5.0,7.0,80.0,40.0,10.0,10.0,800.0,0.0,-1.0,0.7,0
11,180.0,150.0,20.0,3.0,90.0,2.0,0.0,120.0,130.0,1.0,5.0,6.0,3.0,1000.0,14.0,8.0,170.0,35.0,20.0,35.0,850.0,0.6,-1.0,-1.0,0
12,250.0,220.0,5.0,1.0,115.0,8.0,50.0,20.0,110.0,1.0,6.0,5.0,7.0,1200.0,16.0,10.0,50.0,15.0,-1.0,1400.0,920.0,0.5,-1.0,-1.0,0
13,370.0,350.0,8.0,6.0,120.0,0.0,52.0,-115.0,160.0,1.0,4.0,5.0,8.0,900.0,5.0,6.0,130.0,90.0,8.0,8.0,830.0,0.2,-1.0,0.75,0
14,330.0,290.0,9.0,2.0,105.0,1.0,40.0,95.0,125.0,1.0,6.0,3.0,3.0,2700.0,11.0,10.0,280.0,20.0,12.0,8.0,810.0,0.3,-1.0,-1.0,0
15,350.0,320.0,8.0,6.0,115.0,0.0,56.0,-117.0,135.0,1.0,4.0,5.0,2.0,2600.0,10.0,9.0,60.0,11.0,7.0,55.0,840.0,0.4,-1.0,-1.0,0
16,240.0,30.0,34.0,4.0,85.0,4.0,27.0,50.0,140.0,0.0,6.0,7.0,6.0,2000.0,13.0,5.0,25.0,17.0,24.0,590.0,830.0,0.5,-1.0,-1.0,0
17,390.0,170.0,22.0,4.0,20.0,8.0,49.0,60.0,85.0,1.0,4.0,11.0,9.0,2500.0,3.0,6.0,420.0,80.0,-1.0,150.0,810.0,0.3,-1.0,0.8,0
18,100.0,100.0,19.0,3.0,100.0,5.0,2.0,100.0,35.0,1.0,6.0,4.0,5.0,70.0,14.0,10.0,35.0,16.0,30.0,1950.0,920.0,0.7,-1.0,-1.0,0
19,40.0,280.0,23.0,3.0,80.0,2.0,5.0,110.0,130.0,0.0,4.0,3.0,2.0,2000.0,14.0,10.0,110.0,50.0,21.0,180.0,820.0,0.4,-1.0,-1.0,0
20,280.0,330.0,20.0,3.0,60.0,3.0,6.0,110.0,65.0,0.0,1.0,13.0,0.0,2500.0,15.0,10.0,1650.0,900.0,16.0,105.0,-1.0,-1.0,-1.0,0.8,0
21,70.0,320.0,19.0,2.0,105.0,4.0,3.5,120.0,125.0,1.0,2.0,7.0,4.0,340.0,15.0,16.0,2500.0,120.0,26.0,1010.0,870.0,0.3,-1.0,0.76,0
22,240.0,350.0,37.0,3.0,90.0,0.0,59.0,80.0,180.0,1.0,5.0,9.0,3.0,2300.0,12.0,12.0,95.0,65.0,18.0,25.0,830.0,0.27,-1.0,-1.0,0
23,360.0,320.0,50.0,6.0,30.0,2.0,27.0,-80.0,115.0,1.0,5.0,5.0,6.0,3450.0,7.0,10.0,25.0,5.5,16.0,95.0,900.0,-1.0,-1.0,-1.0,0
24,20.0,80.0,19.0,2.0,42.0,4.0,-6.0,108.0,25.0,0.0,5.0,5.0,0.0,700.0,15.0,11.0,360.0,80.0,27.0,310.0,840.0,-1.0,-1.0,-1.0,0
25,180.0,55.0,49.0,6.0,50.0,5.0,34.0,-120.0,115.0,2.0,5.0,6.0,12.0,520.0,15.0,16.0,200.0,46.0,35.0,2350.0,950.0,0.12,-1.0,-1.0,0
26,180.0,340.0,34.0,2.0,72.0,0.0,-7.0,144.0,35.0,1.0,5.0,2.0,11.0,1530.0,7.0,12.0,100.0,92.0,14.0,610.0,815.0,-1.0,-1.0,-1.0,0
27,380.0,270.0,38.0,3.0,90.0,0.0,67.0,78.0,185.0,1.0,2.0,2.0,3.0,1060.0,7.0,12.0,215.0,135.0,31.0,335.0,-1.0,-1.0,-1.0,0.71,0
28,100.0,85.0,50.0,6.0,118.0,9.0,49.0,-115.0,100.0,1.0,5.0,6.0,3.0,635.0,7.0,12.0,15.0,5.0,-1.0,115.0,835.0,0.31,-1.0,-1.0,0
29,275.0,280.0,9.0,6.0,118.0,9.0,66.0,-130.0,65.0,1.0,5.0,2.0,10.0,350.0,9.0,3.0,130.0,75.0,-1.0,5.0,835.0,0.41,-1.0,-1.0,0
30,149.0,210.0,10.0,5.0,80.0,3.0,60.1234,-130.5678,80.0,0.0,4.0,10.0,3.0,2000.0,14.0,9.0,600.0,130.0,20.0,160.0,800.0,0.5,-1.0,0.7,0
