i,j,X,Y,L
50,514,487191.6,970415.5,-21.4
116,644,652106.7,1223358.6,-21.0
122,376,638450.3,585227.6,0.1
84,626,537492.8,1180889.5,-20.2
112,554,587648.8,1014265.4,-13.4
118,92,240132.7,59426.4,-33.7
110,598,595415.7,1098384.4,-23.8
76,628,628588.6,1180883.3,-21.9
68,666,647166.4,1275381.1,-23.3
122,390,652202.8,599141.3,-3.8
138,360,677034.0,544521.6,-0.6
132,642,638779.6,1218694.2,-21.2
158,604,678985.7,1129144.0,-17.7
160,654,686250.1,1224233.0,-20.8
168,628,686360.4,1175779.9,-18.7
42,250,451156.2,376683.7,-17.3
132,366,648215.2,567675.2,0.6
178,46,59198.5,83972.7,-49.4
96,630,628663.1,1175630.4,-20.2
136,596,646293.7,1113887.9,-21.8
110,588,581790.2,1088784.6,-23.7
82,586,578205.4,1089837.9,-18.4
160,622,649092.5,1165994.6,-17.9
44,648,609686.3,1218208.8,-22.7
254,426,807857.2,641718.9,12.0
118,598,623014.6,1114186.4,-21.3
164,486,609848.2,827059.0,-9.5
102,524,545789.6,943957.9,-14.8
32,626,595426.5,1180889.2,-22.7
104,638,617642.3,1207210.0,-21.2
234,424,797305.6,678572.7,7.4
194,392,799802.2,609987.4,2.4
56,54,227801.1,132740.1,-31.8
160,644,629013.7,1216337.6,-17.6
192,420,713392.8,639759.8,1.1
70,424,606061.8,659020.9,-21.9
146,328,707637.2,507243.6,-3.8
30,592,605961.7,1093532.3,-24.7
298,614,933129.1,1165287.7,21.6
172,42,97906.6,70556.8,-49.4
174,554,669862.7,1026160.7,-14.5
204,656,745600.7,1235929.7,-21.8
92,644,617161.6,1216233.1,-21.7
208,568,679315.4,1057885.7,-9.3
36,348,516338.5,526251.2,-16.4
70,624,592657.5,1145561.3,-20.8
340,412,1044645.0,651661.0,29.6
64,454,577889.5,745651.5,-7.7
90,506,526262.9,879371.9,-18.1
108,510,541240.3,895642.3,-12.3
98,610,605777.2,1135248.0,-22.0
178,584,679340.0,1085258.2,-16.7
356,384,1038778.7,653402.5,31.9
12,162,383797.7,217425.2,-25.5
160,522,598312.3,953131.0,-15.5
78,314,584023.3,477416.0,-11.7
136,438,664326.9,684916.2,-0.5
42,564,482723.9,1042272.9,-21.4
156,198,595154.2,108971.8,-22.1
176,542,619855.7,997725.8,-15.4
126,652,623892.0,1238579.3,-20.9
68,608,597782.7,1127486.5,-23.2
130,438,618707.1,679450.8,-1.4
94,96,286715.4,56878.7,-31.9
106,558,608799.9,1051471.7,-15.9
176,432,706294.2,669861.6,2.6
62,642,613507.8,1212581.7,-20.3
148,662,663053.7,1249358.4,-20.6
170,522,596965.3,936537.5,-13.9
32,596,599327.7,1116816.6,-24.4
134,586,596706.3,1089043.7,-13.5
180,628,687012.2,1180841.1,-15.2
92,530,559318.4,959220.3,-15.0
170,508,609813.8,889371.4,-15.7
134,668,634254.3,1281325.5,-21.3
170,602,623250.5,1116295.8,-17.8
94,386,591618.1,557996.2,-10.0
172,366,709728.1,559050.3,-1.8
92,530,578305.7,959798.1,-17.9
94,596,579659.8,1111468.0,-23.6
176,402,667652.6,615351.7,2.3
36,426,559294.8,667468.9,-17.8
34,594,458658.2,1106716.0,-23.1
100,630,632379.9,1183100.1,-20.0
70,662,613283.5,1272327.3,-23.6
78,654,633617.4,1224302.0,-23.5
160,624,685845.2,1165288.4,-17.5
122,376,647268.8,564862.5,0.1
294,408,929484.3,643398.9,17.3
116,572,594007.3,1062317.4,-12.6
112,554,576466.5,1033204.8,-15.9
312,440,993114.6,703195.6,24.8
144,672,669384.4,1293565.6,-22.2
116,174,422736.1,141899.6,-26.9
196,378,679450.3,567546.8,-3.7
104,350,615240.6,524076.9,-4.8
156,498,626952.2,822222.1,-9.5
162,226,616803.3,228706.9,-18.5
342,442,1028053.8,692468.9,29.9
198,402,738370.0,624642.8,1.9
