i,j,X,Y,L
148,428,637492.6,665877.9,-0.1
134,456,654395.0,729239.5,-0.3
34,518,451887.2,922771.8,-22.6
100,374,654115.8,591593.6,-0.5
32,662,592645.0,1269358.2,-23.9
24,166,433402.7,216916.4,-25.6
88,438,595754.2,674362.1,-17.7
98,574,568259.8,1061090.7,-13.6
80,482,559375.0,790718.1,-20.7
156,476,697263.2,784074.3,-8.7
124,540,583134.2,968025.2,-14.2
138,324,659171.5,489125.9,-7.5
102,108,305559.7,86579.8,-31.7
92,644,617161.6,1216233.1,-21.7
48,488,478212.2,839481.8,-21.0
156,554,629013.1,1012530.3,-10.8
56,54,227801.1,132740.1,-31.8
134,12,28747.8,124492.1,-47.9
162,416,679280.6,635668.4,0.9
178,584,679340.0,1085258.2,-16.7
70,424,606061.8,659020.9,-21.9
82,564,585717.9,1044888.7,-15.1
316,390,974499.6,673655.0,21.1
140,446,663269.8,724442.8,-1.7
118,634,608084.7,1192390.8,-18.1
118,92,240132.7,59426.4,-33.7
132,642,638779.6,1218694.2,-21.2
112,520,585205.9,929241.4,-15.8
42,250,451156.2,376683.7,-17.3
160,654,686250.1,1224233.0,-20.8
48,528,506838.5,953151.2,-19.2
118,598,623014.6,1114186.4,-21.3
330,388,1019272.1,659094.4,27.8
126,652,623892.0,1238579.3,-20.9
134,586,596706.3,1089043.7,-13.5
106,628,636267.0,1175753.7,-21.6
128,582,615803.0,1075368.9,-21.4
142,604,655300.1,1126131.9,-18.0
340,412,1044645.0,651661.0,29.6
100,568,589438.3,1040025.4,-16.0
306,366,954967.3,649967.7,21.6
162,396,688425.6,603377.1,2.2
254,426,807857.2,641718.9,12.0
152,134,376014.1,134541.7,-27.9
168,450,698967.2,708910.0,-2.3
162,226,616803.3,228706.9,-18.5
18,650,558459.2,1228203.7,-23.8
94,386,591618.1,557996.2,-10.0
80,500,476222.3,879375.6,-20.0
172,366,709728.1,559050.3,-1.8
132,366,648215.2,567675.2,0.6
158,350,679450.7,524096.7,-3.3
198,402,738370.0,624642.8,1.9
152,384,686250.8,605990.8,-0.6
170,602,623250.5,1116295.8,-17.8
164,482,624476.7,889356.4,-9.1
134,512,575985.1,901300.1,-11.7
52,586,595173.3,1092318.0,-22.7
386,416,1117492.4,683808.0,35.8
118,288,585368.1,404096.8,-15.2
160,624,685845.2,1165288.4,-17.5
114,198,478440.5,73689.1,-21.9
382,408,1102565.0,656604.7,35.2
50,514,487191.6,970415.5,-21.4
110,598,619859.3,1114492.8,-22.3
86,616,606098.7,1144452.2,-20.7
70,624,592657.5,1145561.3,-20.8
142,514,557211.3,922773.3,-13.6
68,676,607846.2,1303171.2,-24.9
104,350,615240.6,524076.9,-4.8
72,676,605987.2,1283529.1,-24.5
176,432,706294.2,669861.6,2.6
82,586,578205.4,1089837.9,-18.4
392,434,1129797.1,679809.2,35.4
76,616,605555.9,1152546.0,-19.9
348,402,1058193.7,673567.8,30.6
156,434,658212.4,675822.4,-0.4
140,478,576524.8,789083.2,-11.9
96,630,628663.1,1175630.4,-20.2
38,182,432315.9,249921.7,-21.7
46,598,585918.8,1117117.9,-24.1
136,562,580321.3,1043129.9,-14.0
284,422,880210.3,669605.2,17.8
78,654,633617.4,1224302.0,-23.5
178,46,59198.5,83972.7,-49.4
104,612,605841.2,1136107.2,-21.2
116,174,422736.1,141899.6,-26.9
158,604,678985.7,1129144.0,-17.7
104,638,617642.3,1207210.0,-21.2
36,646,597227.8,1233832.7,-22.4
170,522,596965.3,936537.5,-13.9
296,414,969424.3,671319.3,21.6
34,594,458658.2,1106716.0,-23.1
116,628,626074.4,1179090.7,-19.2
70,662,613283.5,1272327.3,-23.6
176,232,633456.5,183645.8,-15.4
70,268,509635.6,369923.8,-15.5
108,468,596184.6,734897.0,-12.2
38,82,256069.4,132733.4,-33.1
46,584,526263.4,1083017.7,-22.7
