,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,13.21,2.32,2.35,19.8,109.0,2.41,2.24,0.23,1.54,5.12,0.99,2.98,980.0,0.0,0
1,12.84,2.94,2.54,23.3,115.0,1.54,1.41,0.25,1.31,9.75,0.51,1.46,475.0,2.0,0
2,12.14,1.01,2.19,18.7,89.0,3.32,3.01,0.18,1.78,4.32,1.19,2.94,415.0,1.0,0
3,13.41,1.84,2.49,21.2,117.0,2.87,2.69,0.21,2.36,6.01,0.96,3.07,1105.0,0.0,0
4,12.91,5.58,2.17,22.1,89.0,2.57,2.61,0.29,1.96,2.53,0.77,3.08,375.0,1.0,0
5,11.71,2.11,3.19,27.8,117.0,3.09,4.93,0.45,1.82,5.87,0.91,3.64,455.0,1.0,0
6,13.92,2.08,2.56,17.9,120.0,2.53,2.45,0.3,1.21,4.98,1.04,3.53,1280.0,0.0,0
7,12.41,3.71,2.34,20.8,87.0,2.25,0.89,0.49,1.02,7.52,0.59,1.57,515.0,2.0,0
8,12.19,1.68,2.14,18.9,79.0,1.62,1.98,0.36,1.58,3.32,0.98,3.14,505.0,1.0,0
9,12.01,1.77,2.29,18.2,80.0,1.57,1.47,0.51,1.61,2.34,1.07,2.24,475.0,1.0,0
10,13.45,2.41,2.28,19.0,92.0,1.6,0.72,0.35,1.47,5.9,0.78,2.51,800.0,2.0,0
11,13.2,1.8,2.15,17.7,90.0,1.0,0.42,0.38,0.66,4.8,0.62,1.28,420.0,2.0,0
12,14.3,1.92,2.5,14.8,109.0,3.4,3.45,0.36,2.0,7.1,1.08,2.9,1500.0,0.0,0
13,12.4,0.98,2.05,18.0,87.0,3.6,3.65,0.23,1.92,4.3,1.02,2.7,640.0,1.0,0
14,13.6,2.6,2.7,23.0,102.0,1.58,0.8,0.4,1.52,8.5,0.72,1.85,740.0,2.0,0
15,11.9,0.88,1.95,18.2,85.0,2.35,2.18,0.29,1.4,2.4,1.4,3.05,260.0,1.0,0
16,13.7,1.48,2.65,19.0,130.0,2.85,2.68,0.48,1.3,5.3,1.2,2.95,1200.0,0.0,0
17,14.25,1.6,2.5,16.0,107.0,3.25,3.85,0.31,1.85,8.6,1.2,2.8,1700.0,0.0,0
18,12.7,1.4,2.0,16.5,98.0,2.1,1.35,0.52,0.6,5.6,0.95,1.55,440.0,1.0,0
19,13.9,1.7,2.55,17.0,95.0,2.5,2.9,0.21,2.25,5.5,1.22,3.3,1250.0,0.0,0
20,12.87,1.45,2.02,17.5,95.0,2.31,2.14,0.32,1.61,4.08,1.14,2.69,587.0,1.0,0
21,13.32,1.98,2.45,19.0,105.0,2.64,2.58,0.31,1.53,3.72,1.18,3.01,712.0,0.0,0
22,12.96,2.27,2.72,20.0,97.0,2.11,2.4,0.27,1.32,4.55,1.07,2.45,643.0,1.0,0
23,13.18,1.24,1.86,16.5,82.0,2.87,3.02,0.28,2.15,5.09,1.16,3.24,550.0,1.0,0
24,12.09,2.51,2.64,23.0,92.0,1.62,1.95,0.51,0.98,3.56,1.28,2.37,478.0,1.0,0
25,13.54,1.76,2.24,21.0,95.0,1.58,1.49,0.37,1.12,8.74,0.66,1.82,590.0,2.0,0
26,12.73,1.33,1.94,18.5,89.0,2.41,2.29,0.34,1.73,3.16,1.09,2.91,402.0,1.0,0
27,13.22,1.89,2.61,17.0,100.0,2.67,2.71,0.29,1.65,4.12,0.94,2.63,821.0,0.0,0
28,12.25,2.31,2.5,21.0,98.0,1.84,1.79,0.48,1.29,3.33,1.21,2.41,514.0,1.0,0
29,13.45,2.89,2.05,22.5,94.0,1.27,0.72,0.38,0.99,9.23,0.71,1.76,630.0,2.0,0
30,13.74,2.11,2.41,19.3,105.0,2.56,2.44,0.31,1.58,5.1,0.91,3.17,990.0,0.0,0
31,12.4,3.56,2.3,21.2,87.0,1.98,0.72,0.51,0.97,5.7,0.85,1.76,690.0,2.0,0
32,14.33,1.92,2.25,17.6,116.0,3.32,3.1,0.25,2.12,6.2,0.96,3.4,960.0,0.0,0
33,11.98,2.08,2.35,19.0,94.0,2.2,1.98,0.22,1.28,3.4,1.07,2.8,400.0,1.0,0
34,13.21,3.66,2.55,22.5,101.0,1.68,0.68,0.48,1.34,6.9,0.69,1.65,720.0,2.0,0
35,14.07,1.89,2.38,18.4,113.0,2.95,2.72,0.29,1.31,5.5,0.84,3.28,1020.0,0.0,0
36,12.22,3.7,2.36,20.9,85.0,1.74,0.69,0.49,0.92,5.3,0.83,1.73,660.0,2.0,0
37,13.86,1.79,2.49,17.7,106.0,3.1,3.05,0.27,2.0,5.0,0.9,3.34,895.0,0.0,0
38,11.85,2.14,2.29,18.8,96.0,2.45,1.8,0.2,1.18,3.3,1.09,2.78,380.0,1.0,0
39,13.1,3.3,2.46,21.8,99.0,1.78,0.65,0.52,1.26,6.0,0.78,1.69,700.0,2.0,0
40,13.2,2.0,2.4,19.0,100.0,2.6,2.7,0.3,1.8,4.0,1.1,3.5,900.0,0.0,0
41,12.4,1.6,2.0,17.5,90.0,1.5,1.4,0.3,1.2,2.3,1.05,2.8,580.0,1.0,0
42,13.8,2.5,2.65,21.0,105.0,2.9,3.1,0.25,2.0,5.5,1.15,2.6,1300.0,0.0,0
43,11.5,0.8,2.4,20.0,89.0,2.3,1.9,0.4,1.3,2.9,1.08,2.2,420.0,1.0,0
44,12.8,2.7,2.3,18.0,96.0,1.7,0.8,0.6,1.0,7.0,0.7,1.6,700.0,2.0,0
45,13.0,1.4,2.5,19.5,98.0,2.4,2.5,0.27,1.7,3.8,1.1,3.4,860.0,0.0,0
46,12.0,1.1,2.1,20.5,99.0,3.2,2.0,0.15,1.5,3.1,0.98,3.0,870.0,1.0,0
47,12.3,3.7,2.25,18.0,110.0,1.4,0.75,0.28,1.1,8.0,0.67,1.9,860.0,2.0,0
48,13.9,1.7,2.7,20.5,118.0,2.75,3.05,0.32,1.95,6.0,1.05,2.7,1270.0,0.0,0
49,11.7,0.9,2.35,21.5,90.0,2.5,1.8,0.35,1.45,3.3,1.02,2.4,450.0,1.0,0
50,13.32,2.75,2.23,18.7,99.0,1.83,1.02,0.41,1.25,4.9,0.79,1.75,610.0,2.0,0
51,12.55,1.43,2.03,17.3,90.0,2.18,2.13,0.42,1.94,3.0,0.91,2.98,405.0,1.0,0
52,13.94,1.92,2.43,24.0,105.0,2.68,2.75,0.31,2.27,7.2,1.04,3.65,820.0,0.0,0
53,13.08,3.65,2.17,20.5,112.0,1.44,0.52,0.5,1.42,5.1,0.68,1.78,760.0,2.0,0
54,12.97,1.62,2.38,19.2,100.0,2.41,2.36,0.28,1.72,4.2,1.07,3.42,690.0,0.0,0
55,13.78,4.1,2.29,18.8,115.0,1.72,0.71,0.45,1.28,9.3,0.55,1.63,810.0,2.0,0
56,14.15,1.81,2.54,26.0,93.0,2.75,2.63,0.18,2.43,12.1,0.63,1.93,680.0,2.0,0
57,12.6,1.34,1.98,18.5,89.0,2.27,1.98,0.36,1.83,2.8,0.89,2.95,325.0,1.0,0
58,13.42,3.38,2.41,21.0,108.0,1.57,0.58,0.47,1.32,4.7,0.65,1.71,770.0,2.0,0
59,13.65,1.74,2.34,17.0,103.0,2.54,2.48,0.26,1.65,3.9,1.1,3.98,1010.0,0.0,0
60,13.22,2.56,2.09,18.2,87.0,2.25,1.95,0.34,1.47,6.12,0.98,2.59,870.0,1.0,0
61,13.71,3.21,2.45,20.0,97.0,1.92,0.98,0.45,1.54,8.75,0.63,1.78,525.0,2.0,0
62,12.88,1.37,1.89,15.5,84.0,2.15,2.05,0.26,1.64,3.05,1.17,2.68,410.0,0.0,0
63,13.44,2.13,2.28,19.0,99.0,2.0,1.65,0.31,1.29,4.56,0.79,2.34,590.0,2.0,0
64,12.65,1.12,2.11,16.5,83.0,2.1,2.35,0.25,1.56,2.75,1.34,2.89,400.0,1.0,0
