,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,real_identifier
0,0,63,112,10,56,7,0,0,95,-7,7,8,9,1,25,3,1,1,30,65,3,2,1,70,0
1,1,85,210,3,72,17,0,0,100,-7,7,8,20,2,18,5,2,2,1,-8,0,1,0,15,0
2,0,68,95,12,48,8,0,0,100,-7,7,8,10,0,20,-7,1,1,40,70,4,2,1,80,0
3,1,87,230,1,115,25,0,0,100,-7,7,8,28,3,15,6,1,1,3,-8,1,1,0,25,0
4,0,57,45,8,28,5,1,0,80,5,0,6,6,0,60,-7,2,2,75,80,2,3,1,95,0
5,1,90,320,4,130,19,0,0,100,-7,7,8,22,2,14,-8,0,0,4,-8,1,1,0,28,0
6,0,62,100,7,50,9,0,0,100,-7,7,8,11,1,22,2,1,1,35,-8,4,1,2,72,0
7,1,88,240,2,120,20,0,0,100,-7,7,8,24,3,13,7,1,1,2,-8,1,1,0,26,0
8,0,59,75,9,40,8,0,0,100,-7,7,8,10,0,28,-7,1,1,45,60,3,2,1,75,0
9,1,86,220,5,110,18,0,0,100,-7,7,8,21,2,16,4,1,1,3,-8,1,1,0,27,0
10,0,65,143,18,75,14,0,0,98,5,4,6,15,1,32,-7,0,0,42,-8,2,1,1,58,0
11,1,84,321,22,143,20,0,0,96,12,5,6,22,0,45,6,0,0,28,65,4,2,0,67,0
12,0,70,124,10,65,10,0,0,95,-7,6,7,11,1,28,-7,0,0,35,-8,2,1,0,55,0
13,1,90,298,45,153,21,0,0,99,-7,7,8,23,0,37,10,0,0,1,22,1,2,0,35,0
14,0,63,112,12,60,9,0,0,90,9,5,6,10,0,25,-7,0,0,40,-8,1,1,0,50,0
15,1,86,267,30,132,24,0,0,97,18,5,6,25,0,41,7,0,0,25,68,4,2,0,69,0
16,0,69,154,19,78,13,0,0,96,-7,6,7,14,1,31,-7,0,0,45,-8,2,1,0,56,0
17,1,83,312,25,142,22,0,0,98,14,5,6,23,0,40,9,0,0,20,67,3,2,0,65,0
18,0,72,134,16,69,12,0,0,94,7,4,6,13,1,29,-7,0,0,47,-8,2,1,0,54,0
19,1,87,285,34,148,25,0,0,99,16,5,6,26,0,43,11,0,0,18,64,3,2,0,66,0
20,1,73,245,14,89,28,0,0,98,55,5,6,32,2,25,0,1,1,12,68,3,5,0,55,0
21,0,65,102,10,48,14,1,1,92,-7,6,7,16,1,22,0,1,1,82,55,3,2,1,90,0
22,1,75,210,6,72,34,0,0,99,55,5,5,36,1,28,0,2,2,15,75,4,6,0,50,0
