beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
3,98126,1,4850,940,500000,1,0
2,98116,1,1.03,1415,700000,0,0
5,98133,3.5,10.05,3970,1600000,0,0
3,98122,2.5,1131,1760,1150000,1,0
4,98103,2,4480,2880,1500000,1,0
3,98116,1,6150,1340,700000,1,0
2,98118,1,6060,1440,488000,1,0
3,98122,1.5,3500,1020,575000,1,0
4,98136,2,6280,1780,1050000,1,0
3,98115,2,6118,2143,950000,1,0
3,98126,2,5850,1830,835000,1,0
2,98102,2.5,824,1400,1062500,1,0
5,98115,4.5,7020,5210,3120000,1,0
3,98122,2,1132,1320,845000,1,0
3,98117,1,3710,2130,800000,1,0
3,98168,1,0.27,970,435000,0,0
2,98103,2.5,1248,1119,705000,1,0
4,98105,3.5,4000,3590,3100000,1,0
5,98116,3.5,6880,3630,1575000,1,0
3,98118,2,4400,1100,525000,1,0
3,98117,2,8640,1600,877500,1,0
4,98122,2,6011,2787,1207000,1,0
5,98117,3,6800,2860,1300000,1,0
5,98118,2,6180,2640,810000,1,0
3,98136,1.5,7200,1210,800000,1,0
3,98122,2,1416,1180,850000,1,0
4,98118,2.5,88.5,3690,1500000,1,0
2,98126,1,6100,1740,650000,1,0
3,98126,2,912,1150,699999,1,0
6,98119,5,0.24,10812,1550000,0,0
3,98126,2,6396,1580,820000,1,0
2,98115,2,564,1147,749950,1,0
5,98109,3,2550,2610,1795000,1,0
2,98115,2,2.02,1015,468000,0,0
4,98117,5.5,7000,5690,1550000,1,0
6,98118,3,5303,2140,860000,1,0
4,98126,3.5,7000,3580,1175000,1,0
4,98115,2,8800,2080,910000,1,0
3,98106,2,4670,1390,750000,1,0
3,98136,3,0.26,1970,1200000,0,0
3,98107,2,2200,1840,999950,1,0
3,98115,3,5047,2190,944000,1,0
4,98177,2,8100,2110,900000,1,0
3,98117,2.5,1136,1440,699000,1,0
3,98106,2,4000,1440,699000,1,0
5,98117,3,4080,2030,895000,1,0
2,98144,1.5,1,1131,699950,0,0
2,98105,2,1948,1200,590000,1,0
3,98103,2.5,1692,1810,1000000,1,0
5,98118,3,5200,3030,800000,1,0
3,98103,2,839,1340,785000,1,0
5,98168,3,0.43,3400,756500,0,0
3,98112,2,719,1111,849000,1,0
4,98177,2,8000,2280,940000,1,0
3,98112,2,3000,1066,824950,1,0
2,98115,2,1111,840,527000,1,0
4,98168,2,0.29,1.9,566000,0,0
3,98144,3,850,1470,859000,1,0
4,98103,3,5000,2960,1900000,1,0
3,98136,2,5100,1640,900000,1,0
5,98136,4,0.45,3630,1650000,0,0
2,98103,1.5,1.62,1128,650000,0,0
2,98125,1,1362,670,480000,1,0
4,98119,3.5,4000,2980,1880000,1,0
4,98117,2.5,5000,1800,1180000,1,0
4,98115,2,5700,1830,889000,1,0
3,98117,2,4590,2160,980000,1,0
3,98105,2,5000,1880,949000,1,0
2,98103,1,5000,880,590000,1,0
3,98136,2,6395,2284,850000,1,0
2,98133,1.5,1,900,549755,0,0
2,98133,2,780,1180,570000,1,0
2,98117,2,800,1145,575000,1,0
4,98105,3.5,8996,4397,3400000,1,0
3,98103,2,1325,1240,900000,1,0
5,98199,3.5,0.27,6250,1250000,0,0
3,98115,1.5,8397,2030,1300000,1,0
3,98117,2,6400,2164,700000,1,0
2,98126,1,1514,970,400000,1,0
3,98136,2,5100,1640,900000,1,0
5,98136,4,0.43,3820,1350000,0,0
3,98144,2,1,1419,849950,0,0
3,98103,2,1056,1499,849000,1,0
2,98103,3,1044,1760,1025000,1,0
2,98105,1,2529,2020,1250000,1,0
2,98103,2,913,840,649950,1,0
3,98177,3.5,7020,3760,2350000,1,0
3,98103,1.5,3200,980,650000,1,0
4,98115,3.5,3880,2780,1500000,1,0
3,98107,2.5,1436,1810,1000000,1,0
3,98117,2.5,4305,2500,1085000,1,0
3,98144,2.5,1436,1800,1000000,1,0
5,98177,4.5,0.41,3700,2380000,0,0
3,98102,2,3060,2190,950000,1,0
2,98115,2,1331,1288,800000,1,0
4,98119,2.5,6000,2555,1150000,1,0
4,98105,2,4275,2760,1150000,1,0
4,98117,2,4000,1800,1050000,1,0
3,98119,2,4400,2320,1075000,1,0
3,98136,2,6395,2284,850000,1,0
2,98133,1.5,1,900,549755,0,0
2,98133,2.5,1386,1163,540000,1,0
3,98117,2,5400,1720,985000,1,0
3,98117,1.5,5507,1940,800000,1,0
2,98117,2,1436,1190,573000,1,0
4,98144,2,4000,2560,1150000,1,0
2,98115,2,4.27,1920,485000,0,0
3,98106,1,6150,1010,545000,1,0
2,98103,2,5400,1320,899000,1,0
3,98118,2,6500,2437,1275000,1,0
4,98118,2.5,9500,2120,675000,1,0
3,98126,2,3840,1600,709000,1,0
3,98117,1.5,3840,1590,710000,1,0
4,98122,2.5,4000,2370,1445000,1,0
2,98118,1,5778,1700,730000,1,0
2,98118,2,900,1170,565000,1,0
2,98146,1,2193,1120,649950,1,0
2,98117,2.5,1047,920,615000,1,0
4,98105,3.5,4000,4000,3000000,1,0
2,98117,1.5,5500,1670,1025000,1,0
3,98122,1.5,1250,1710,1000000,1,0
4,98199,3,5175,3800,1950000,1,0
1,98109,1,0.49,617,480000,0,0
4,98102,3.5,4600,3790,2900000,1,0
5,98117,3,6250,3280,1350000,1,0
7,98103,3.5,5046,3960,996000,1,0
4,98103,2,4800,1890,1200000,1,0
3,98103,2,1056,1355,850000,1,0
3,98102,2.5,1105,1610,965000,1,0
3,98125,2,1171,1711,675500,1,0
3,98103,2,1191,1678,1160000,1,0
4,98115,2.5,3589,2240,1160000,1,0
3,98168,1,0.37,1180,475000,0,0
4,98103,2.5,2473,1540,850000,1,0
