proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
850,4.9,2.2,16,1.02,13.4,2.88,0.32,1.68,120,2.65,1.63,2,1.72
580,5.4,2.35,19,0.94,12.6,1.72,0.24,1.53,88,1.5,1.52,0,1.67
630,5.5,2.5,17,0.89,13.58,1.48,0.26,1.67,95,1.58,1.68,0,1.83
680,6.5,2.2,15,0.75,13.3,1.37,0.28,1.71,109,1.58,1.5,0,1.92
480,3.4,2.14,15.5,1.04,12.2,3.09,0.3,1.5,88,2.6,2.45,1,1.66
550,3.8,2.64,22,0.83,13.45,1.66,0.46,0.8,88,1.85,1.15,1,2.88
560,4.5,2.35,21,0.98,12.64,1.72,0.32,0.78,94,2.45,2.65,1,1.76
580,4,2.45,18,1.03,12.3,1.66,0.25,1.25,99,2.2,2.7,1,1.61
570,2.7,2.14,20,1.05,12.26,2.08,0.26,1.1,92,2.65,2.7,1,1.72
510,1.7,2.15,20,0.98,12.66,1.56,0.28,1.1,92,2.55,2.8,1,1.48
990,4.8,2.38,24,0.99,13.88,3.08,0.28,1.95,112,2.6,1.72,2,1.64
580,4.05,2.26,22,1.04,12.64,2.87,0.26,1.75,93,2.3,1.67,2,1.72
620,6.7,2.48,20,0.78,13.28,2.98,0.32,1.45,94,2.15,1.22,1,1.62
640,2.4,2.29,18,1.18,12.4,3.06,0.27,1.6,92,2.25,1.58,2,1.78
480,5.8,2.1,20,0.88,13.05,3.14,0.28,1.65,95,2.3,1.8,2,1.61
680,7.9,2.27,18,0.98,14.2,3.05,0.36,1.78,92,2.5,2.69,0,1.77
530,3.05,2.27,20,1.05,12.8,2.38,0.43,1.63,92,2.1,2.68,2,1.81
550,3.05,2.26,22,1.14,12.7,3.06,0.39,1.4,103,2.45,2.63,2,1.51
510,3.1,2.3,17,0.98,13.2,2.7,0.36,1.5,88,2.25,2.72,0,1.63
480,5.9,2.48,17.5,0.75,13.38,1.65,0.32,1.6,88,1.65,1.62,1,1.74
550,4.5,2.38,22,1.01,12.5,3.26,0.23,1.52,115,2.68,2.29,0,1.81
510,5.8,2.42,20,0.93,12.28,2.96,0.27,1.65,105,2.75,2.41,0,1.61
580,2.6,2.2,15,1.02,12.5,3.21,0.39,1.37,93,2.5,2.43,1,1.53
680,6.6,2.7,16,1.04,13.52,2.98,0.38,1.6,122,2.75,2.76,1,1.73
580,2.7,2.1,14,1.07,13.5,2.9,0.38,1.56,97,2.65,2.4,1,1.83
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
1090,2.25,2.42,20,0.95,12.65,3.05,0.2,1.25,90,3.2,3.18,0,1.88
750,3.8,2.7,18,1.1,13.52,2.96,0.26,1.85,92,2.7,2.61,2,1.73
510,2.45,2.28,22,0.85,12.15,2.5,0.29,1.75,102,2.5,2.3,1,1.53
750,3.75,2.6,18,1.05,13.7,3.25,0.3,1.85,85,2.7,2.6,2,1.66
550,5.5,2.45,20,1.07,13.48,3.12,0.28,1.4,88,2.6,2.56,1,1.65
1090,7.25,2.42,24,0.96,13.26,3.08,0.3,1.96,108,3.5,2.64,1,1.65
760,6.7,2.44,21,1.05,13.42,2.96,0.22,1.72,102,2.65,2.42,0,1.72
560,4.5,2.28,20,0.91,12.7,2.52,0.22,1.59,92,1.85,1.37,2,3.67
770,5.6,2.25,20,1.03,12.88,2.69,0.25,1.63,94,2.55,2.58,0,1.53
640,5.4,2.48,18,1.03,13.27,2.63,0.25,1.69,89,2.5,2.6,0,1.88
1070,5.8,2.42,20,0.93,14.3,3.06,0.31,1.75,107,3.27,2.96,1,1.77
760,3.2,2.14,18,1.06,12.88,2.64,0.28,1.72,94,2.65,2.56,2,1.73
680,4.8,2.64,20,1.13,13.42,3.07,0.33,1.73,88,2.7,2.91,2,1.53
560,6.7,2.48,16.5,1.05,13.42,3.1,0.31,1.69,94,2.6,2.7,2,1.77
520,4.2,2.5,16,1.1,12.88,2.86,0.35,1.5,94,2.45,2.5,2,1.42
690,4.8,2.48,20,0.98,13.48,1.54,0.38,1.64,102,1.89,0.65,2,1.53
640,5.8,2.64,22,1.04,13.64,1.47,0.22,1.73,101,2.2,1.47,2,1.75
880,5.5,2.48,16,0.86,13.2,1.62,0.33,1.73,94,1.7,0.57,1,1.72
720,6.4,2.42,20,1.15,12.74,1.32,0.29,1.52,85,1.7,0.75,1,1.74
580,5.5,2.27,19,1.12,12.6,1.2,0.26,1.56,88,1.65,0.64,1,1.61
550,3.5,2.36,23,0.97,13.6,2.06,0.46,1.85,102,1.64,0.65,0,1.53
720,6,2.64,21,1.06,13.42,2.88,0.29,2.87,122,2.35,2.61,2,1.81
690,4.4,2.5,20,0.97,13.12,3.15,0.43,1.63,102,1.58,0.68,0,1.68
550,3.5,2.36,23,0.97,13.6,2.06,0.46,1.85,102,1.64,0.65,0,1.53
620,4.5,2.44,17.5,1.04,13.38,2.88,0.26,2.4,115,2.3,2.5,2,1.88
990,4.6,2.35,20,0.82,13.3,3.08,0.28,1.88,118,3.07,2.96,2,1.74
580,2.6,2.24,17,0.82,12.8,2.89,0.3,1.45,90,2.7,2.45,1,1.76
880,3.85,2.25,20,0.86,13.5,3.35,0.25,1.65,107,2.8,2.62,2,1.71
1095,4.25,2.3,18.6,0.79,13.2,2.75,0.35,1.57,108,2.9,2.5,2,1.71
680,2.8,2.25,20,0.85,12.2,2.9,0.3,1.65,88,3.4,2.65,1,1.73
510,3.85,2.35,24.5,0.98,13.31,3.06,0.37,1.75,103,2.38,1.68,0,1.64
660,4.6,2.42,20,1.04,13.48,3.35,0.31,1.66,101,2.5,2.32,1,1.74
790,5.7,2.42,16,1.08,13.59,3.18,0.34,1.72,102,2.6,2.53,1,1.81
680,5.4,2.58,19,1.09,13.47,2.98,0.42,1.8,88,2.5,2.32,1,1.64
690,5.2,2.65,18.5,1.11,13.51,2.95,0.41,1.7,88,2.6,2.1,1,1.66
580,2.05,2.16,18,0.97,13.1,1.96,0.45,0.64,108,1.45,0.46,0,1.65
500,1.6,2.2,20,1.03,12.8,2.88,0.4,0.64,98,1.65,0.43,2,1.78
780,3.06,2.5,20,1.12,13.64,3.3,0.25,1.45,112,2.65,2.7,1,1.89
720,3.4,2.4,16,0.98,13.42,2.7,0.26,1.65,95,2.25,2.9,1,1.73
490,3.7,2.5,22,1.08,13.28,2.6,0.28,1.5,105,2.45,2.6,2,1.81
590,4.8,2.7,18,1.01,13.5,3.23,0.26,1.87,115,3.1,3.05,2,1.83
550,4.3,2.64,20.3,0.92,12.67,3.05,0.28,1.62,104,2.7,2.8,2,1.67
550,4.4,2.64,20.3,1.04,12.2,2.98,0.26,1.65,99,2.9,3.15,2,1.76
680,5.1,2.5,17.5,1.05,13.48,3.25,0.23,1.68,122,2.8,2.85,2,1.91
680,5.1,2.6,16,1.06,13.52,2.9,0.23,1.72,123,2.8,2.7,2,2.14
590,2.8,2.7,16,1.06,13.64,3.18,0.27,1.62,97,3.36,3.32,0,1.77
570,4.6,2.36,17.6,1.13,13.4,2.76,0.36,1.71,101,2.8,2.96,1,1.52
710,5.6,2.22,17,0.92,13.23,2.78,0.24,1.64,105,3.1,3.04,0,1.83
530,4.5,2.22,16.5,1.05,12.7,3.14,0.32,1.57,84,3.2,3.45,1,1.89
520,5.7,2.1,20.5,1.1,13.3,2.64,0.2,1.59,98,2.8,3.4,1,1.74
590,3.1,2.24,20,0.96,12.68,3.08,0.29,1.52,103,2.7,2.35,2,1.81
550,5.6,2.28,21,1.03,12.67,1.88,0.23,2.06,87,2.3,1.8,0,1.72
630,3.7,2.1,17,0.93,12.48,2.36,0.23,1.68,94,2.45,2.35,2,1.53
540,5.65,2.5,19,1.06,12.37,2.1,0.24,1.92,85,2.5,2.5,0,1.48
470,2.9,2.2,16,1.02,12.29,2.24,0.23,1.65,85,2.25,2.5,0,1.5
680,4.5,2.42,20,0.95,12.64,2.96,0.38,0.62,120,2.7,1.85,1,1.76
