input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
15,100,2,53,95,92,63,0,76,0,49,82,3,100,82,45,67
12,76,0,62,93,79,70,0,39,4,56,82,5,100,85,49,100
49,76,26,67,67,100,92,43,85,0,0,82,7,100,95,66,42
21,100,2,51,78,93,61,0,77,0,27,89,3,100,88,52,62
78,100,38,43,76,31,48,0,61,0,65,100,4,73,45,70,44
42,98,19,56,100,19,52,0,58,0,100,100,4,84,62,42,60
21,62,2,59,92,100,73,9,79,0,0,87,3,99,100,48,40
14,56,32,61,100,2,25,19,0,29,84,100,6,91,60,0,45
78,100,100,12,67,27,0,23,83,83,2,82,0,50,0,36,0
35,0,0,46,55,57,88,100,36,15,14,77,5,97,100,78,43
9,8,0,49,100,21,59,10,0,2,96,98,5,100,85,43,49
10,31,31,48,0,94,34,100,67,31,11,94,7,100,72,0,61
21,38,4,48,87,25,60,0,19,0,100,82,5,100,79,49,71
41,23,75,50,0,100,34,74,70,72,73,100,8,88,62,0,34
51,0,22,53,0,33,39,0,23,0,100,95,5,100,60,33,70
61,74,100,46,36,57,0,13,100,90,0,84,8,74,46,26,38
1,0,13,50,1,83,44,100,44,0,31,75,2,100,73,12,69
33,100,45,50,88,17,25,0,66,34,98,100,6,84,54,0,42
31,91,26,67,100,22,45,0,66,0,66,100,4,72,53,40,43
16,95,0,47,100,78,61,0,65,11,18,76,3,100,86,44,37
34,24,36,49,0,57,41,95,35,52,100,96,7,100,81,0,65
32,73,2,57,78,100,100,0,72,0,23,73,1,96,95,72,19
14,7,5,50,0,67,30,100,46,2,26,81,2,100,69,0,56
66,100,34,65,100,0,29,67,52,0,75,100,4,78,46,39,31
17,35,0,51,100,22,34,0,7,3,23,100,6,83,60,9,42
20,44,0,50,75,44,52,0,34,1,100,100,5,94,76,43,68
15,68,0,42,100,95,56,0,66,17,18,82,3,100,76,45,61
0,0,1,63,32,50,57,100,25,11,20,83,2,100,88,18,53
56,77,28,35,64,100,100,0,90,0,5,33,1,62,82,80,47
50,100,25,36,96,70,65,0,46,0,13,78,3,100,88,73,46
32,75,0,52,100,18,62,0,27,5,100,100,5,84,75,44,66
18,0,0,70,41,61,56,100,36,0,5,66,2,100,89,31,39
22,36,33,42,0,100,50,83,51,27,9,95,7,100,74,0,39
28,27,1,53,92,41,63,0,11,0,100,100,5,96,97,58,59
32,53,26,45,21,44,33,100,59,26,0,95,7,100,67,0,65
64,56,39,76,100,8,44,51,0,0,41,100,4,76,46,64,16
