input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
65,100,100,84,94,0,0,27,55,77,56,95,0,66,39,28,12
2,36,2,45,0,100,44,98,66,0,32,82,2,100,68,25,60
58,93,29,76,100,21,41,0,63,0,53,100,4,84,45,45,24
0,50,22,50,0,100,40,84,75,35,24,98,7,100,79,1,68
10,97,0,100,96,0,67,48,37,0,63,100,4,96,94,37,22
68,92,35,33,69,70,100,0,100,0,0,60,1,71,91,93,34
1,0,2,52,6,52,51,100,29,0,14,70,2,100,91,38,48
43,88,0,36,74,91,73,0,55,5,57,100,9,86,69,75,100
32,89,61,57,100,0,6,7,41,99,36,100,0,75,40,0,7
48,100,23,59,84,1,53,61,32,0,5,83,4,100,78,67,0
64,56,39,76,100,8,44,51,0,0,41,100,4,76,46,64,16
1,41,0,50,1,49,48,100,67,4,7,76,2,100,80,24,0
0,49,7,57,18,74,44,100,61,6,0,80,1,100,85,14,50
18,41,0,63,100,74,59,19,61,5,0,87,3,100,100,42,53
0,12,2,54,0,33,32,21,0,8,100,100,6,83,58,4,72
20,0,2,54,4,53,68,100,39,0,22,69,2,100,100,39,54
9,28,7,40,14,66,67,100,46,0,0,73,2,100,99,26,31
59,48,28,100,86,10,33,49,0,0,94,83,4,100,61,36,58
17,67,0,51,96,100,68,0,77,16,29,81,3,100,85,55,72
79,12,95,45,7,24,0,0,21,100,100,99,5,65,21,44,61
71,57,34,76,100,22,35,75,0,0,41,100,4,77,50,40,22
68,57,36,23,64,100,100,0,66,0,3,31,1,51,67,85,54
1,9,1,50,0,67,50,100,51,0,18,82,2,100,75,30,33
20,81,3,58,100,66,70,21,93,0,0,81,3,100,95,46,51
58,100,33,77,100,0,48,65,49,0,88,100,4,77,46,45,41
6,100,0,56,86,73,54,7,66,12,0,72,3,100,82,35,41
9,33,2,50,0,69,38,100,54,0,30,75,2,100,70,13,43
0,49,6,23,20,100,51,96,78,8,0,65,1,98,100,19,52
19,0,0,58,9,44,43,100,31,5,23,90,2,100,68,36,45
3,33,0,26,0,70,69,100,59,5,7,71,2,99,100,40,38
53,92,33,22,56,45,35,16,100,43,0,91,0,48,0,70,10
65,2,97,51,4,88,0,100,63,97,0,100,5,74,45,28,18
67,55,36,17,17,34,89,66,100,39,18,81,7,97,100,64,0
