input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
13,57,0,59,90,36,56,0,21,2,100,81,5,100,80,42,58
19,100,0,49,81,41,80,0,75,10,100,94,9,100,73,52,61
32,16,42,45,0,55,33,100,52,34,12,90,7,100,70,0,41
61,74,100,46,36,57,0,13,100,90,0,84,8,74,46,26,38
31,79,0,45,58,68,98,33,100,5,0,73,1,87,100,74,32
0,75,4,41,35,45,56,100,53,4,0,82,2,100,87,22,35
1,0,4,56,19,48,41,100,15,0,26,71,2,100,76,0,55
47,66,24,55,100,28,46,0,41,0,53,94,5,100,75,52,53
0,50,22,50,0,100,40,84,75,35,24,98,7,100,79,1,68
58,100,33,77,100,0,48,65,49,0,88,100,4,77,46,45,41
19,66,0,77,100,60,61,63,47,5,0,87,3,100,78,49,23
46,100,24,79,96,0,41,61,41,0,42,100,4,81,52,47,13
12,100,0,50,86,64,52,0,38,3,16,68,3,100,73,44,39
49,77,25,52,100,0,50,19,26,0,64,100,4,76,53,47,26
15,54,31,76,100,0,25,43,15,29,58,100,6,86,57,0,22
5,23,38,49,0,81,35,100,53,22,53,100,7,92,61,0,95
15,100,2,46,91,68,54,3,52,0,0,76,3,100,80,43,52
49,100,19,65,92,0,95,33,47,0,86,90,9,63,100,82,61
91,100,89,58,93,37,25,7,96,58,14,100,0,63,0,59,0
18,0,0,70,41,61,56,100,36,0,5,66,2,100,89,31,39
2,69,0,44,91,100,61,0,92,1,26,87,3,100,80,35,59
32,35,46,50,0,61,36,100,55,34,8,91,7,100,79,0,43
45,38,21,36,60,100,96,0,66,0,48,46,1,68,100,64,73
30,36,2,21,42,76,52,100,63,0,0,84,2,100,76,42,39
59,91,31,39,72,41,25,100,58,0,45,100,4,79,49,19,0
100,100,75,47,77,10,42,35,79,0,19,87,0,52,9,81,0
67,55,36,17,17,34,89,66,100,39,18,81,7,97,100,64,0
0,28,7,50,0,65,60,100,45,1,25,100,2,97,97,18,42
79,12,95,45,7,24,0,0,21,100,100,99,5,65,21,44,61
0,0,1,63,32,50,57,100,25,11,20,83,2,100,88,18,53
65,100,100,56,92,0,0,31,83,71,19,82,0,40,12,26,0
22,30,30,50,0,77,39,100,56,48,35,97,7,100,71,0,62
41,0,76,48,7,40,0,100,33,100,25,71,5,42,37,17,2
71,57,34,76,100,22,35,75,0,0,41,100,4,77,50,40,22
78,40,100,73,100,18,0,16,0,89,29,85,0,48,4,31,10
32,51,0,57,47,61,72,100,66,11,0,79,2,97,100,51,26
24,87,8,46,78,100,56,0,73,0,46,83,3,100,82,48,96
51,0,22,53,0,33,39,0,23,0,100,95,5,100,60,33,70
9,28,7,40,14,66,67,100,46,0,0,73,2,100,99,26,31
78,100,100,12,67,27,0,23,83,83,2,82,0,50,0,36,0
48,100,23,59,84,1,53,61,32,0,5,83,4,100,78,67,0
