,i,j,X,Y,L,real_identifier
0,198.0,418.0,548219.1,831091.8,-11.8,0
1,122.0,278.0,631910.3,391148.5,7.3,0
2,268.0,482.0,943117.9,919314.1,10.9,0
3,88.0,156.0,372819.4,135928.2,-20.5,0
4,240.0,320.0,799823.1,512819.3,4.7,0
5,56.0,602.0,654210.8,1143210.5,-18.1,0
6,146.0,226.0,623142.9,283911.9,-6.3,0
7,208.0,394.0,759192.8,631810.3,13.4,0
8,94.0,172.0,421919.2,163810.1,-22.9,0
9,260.0,440.0,881823.9,841317.8,19.2,0
10,245.0,417.0,781231.9,831119.2,10.8,0
11,129.0,291.0,623495.1,461982.8,-12.1,0
12,198.0,635.0,743819.4,1185119.5,-14.9,0
13,87.0,503.0,586199.9,934819.1,-20.5,0
14,269.0,341.0,868391.8,573291.9,6.2,0
15,151.0,279.0,654819.2,355991.8,-16.8,0
16,219.0,596.0,809491.9,1123559.2,-11.4,0
17,94.0,449.0,604819.1,863291.9,-19.2,0
18,177.0,521.0,695491.9,983355.9,-13.5,0
19,255.0,369.0,825819.2,623819.1,9.1,0
20,108.0,418.0,628351.9,641219.1,-10.3,0
21,220.0,582.0,693191.4,1061419.9,-14.5,0
22,48.0,306.0,503219.8,462819.5,-18.9,0
23,180.0,538.0,636851.1,931819.3,-7.1,0
24,140.0,446.0,649382.9,686351.9,0.5,0
25,204.0,608.0,660928.5,1133519.1,-12.8,0
26,88.0,374.0,591638.5,567071.9,-4.9,0
27,256.0,640.0,725191.4,1233519.9,-16.2,0
28,168.0,494.0,621851.1,819071.9,-9.5,0
29,120.0,432.0,609382.9,739071.9,-2.1,0
30,221.0,491.0,781219.4,871293.2,-10.1,0
31,119.0,623.0,703482.9,1189119.5,-20.3,0
32,249.0,355.0,824911.1,562819.8,7.5,0
33,93.0,275.0,521982.8,341982.1,-30.8,0
34,173.0,432.0,753082.5,794831.9,-16.2,0
35,201.0,591.0,882391.7,1105921.4,2.9,0
36,136.0,498.0,630821.3,943291.5,-24.9,0
37,229.0,181.0,792391.9,238191.8,-12.5,0
38,152.0,618.0,692391.4,1166319.2,-18.5,0
39,98.0,412.0,542982.1,762819.5,-26.8,0
40,291.0,512.0,876391.9,824141.8,10.2,0
41,189.0,368.0,703219.1,562831.4,-4.9,0
42,48.0,270.0,482191.7,391951.9,-15.6,0
43,219.0,586.0,794182.8,1088519.1,-11.4,0
44,396.0,458.0,1118219.5,756189.2,32.1,0
45,134.0,522.0,573819.2,973119.8,-13.2,0
46,267.0,418.0,845693.9,649391.7,7.5,0
47,91.0,394.0,610297.8,594831.9,-6.1,0
48,409.0,436.0,1145919.1,682491.8,40.8,0
49,161.0,328.0,675819.2,486391.9,-2.5,0
50,118.0,278.0,421119.9,731491.8,-24.9,0
51,168.0,118.0,597201.4,351819.1,-10.5,0
52,50.0,454.0,381091.1,819201.9,-20.8,0
53,138.0,224.0,513490.8,469811.9,-16.2,0
54,182.0,394.0,749210.9,682392.1,-6.8,0
55,28.0,490.0,434819.1,901491.8,-14.5,0
56,162.0,74.0,279591.9,194201.9,-29.1,0
57,46.0,316.0,651091.1,521491.8,-8.2,0
58,198.0,438.0,821119.9,744201.9,-11.9,0
59,12.0,258.0,391091.1,451491.8,-25.5,0
60,219.0,119.0,734191.9,201511.8,-26.1,0
61,301.0,469.0,959219.1,742813.5,15.6,0
62,98.0,275.0,421919.2,403298.1,-32.9,0
63,181.0,59.0,104819.9,53359.3,-48.3,0
64,67.0,521.0,596823.8,991439.2,-19.5,0
65,291.0,405.0,887493.1,655819.6,12.9,0
66,43.0,381.0,515491.9,562381.1,-11.8,0
67,135.0,91.0,295819.1,123491.9,-38.5,0
68,263.0,431.0,845219.8,691819.1,9.5,0
69,201.0,141.0,693491.9,235981.9,-24.9,0
70,201.0,316.0,754823.1,523191.9,5.1,0
71,88.0,408.0,591492.8,623191.3,-2.5,0
72,278.0,456.0,864201.9,743823.1,18.2,0
73,42.0,362.0,517823.1,551492.8,-12.1,0
74,72.0,504.0,468191.3,849201.9,-16.5,0
75,138.0,654.0,693823.1,128491.3,-14.9,0
76,192.0,498.0,683201.9,839823.1,-6.2,0
77,322.0,414.0,1013231.3,694201.9,25.5,0
78,174.0,258.0,714823.1,301492.8,-10.3,0
79,190.0,538.0,643201.9,969823.1,-9.5,0
80,278.0,468.0,938219.9,784191.3,26.5,0
81,192.0,432.0,658135.6,716319.1,-9.8,0
82,84.0,502.0,578813.4,882017.3,-15.6,0
83,342.0,394.0,1045102.9,635851.9,39.2,0
84,220.0,538.0,749239.1,973119.4,14.1,0
85,148.0,362.0,624491.8,545692.2,0.8,0
86,258.0,418.0,857459.5,682135.6,17.4,0
87,66.0,286.0,526839.1,406559.9,-23.4,0
88,306.0,450.0,971351.9,756891.1,30.9,0
89,174.0,522.0,629011.9,927483.5,-10.3,0
90,278.0,428.0,855199.5,741201.9,15.6,0
91,118.0,602.0,684399.2,1148131.4,-22.1,0
92,50.0,290.0,559811.1,506491.5,-18.3,0
93,220.0,456.0,833491.8,794251.1,12.5,0
94,98.0,532.0,627910.9,1006431.9,-20.9,0
95,14.0,670.0,604399.4,1282123.5,-24.9,0
96,302.0,398.0,963198.7,663201.3,22.1,0
97,186.0,74.0,110621.1,8832.9,-42.9,0
98,248.0,258.0,902370.6,464557.4,9.5,0
99,82.0,196.0,494543.9,215312.3,-21.1,0
100,278.0,402.0,881231.1,620119.2,15.6,0
101,148.0,458.0,681302.9,720391.8,-5.1,0
102,258.0,368.0,846219.4,573921.1,12.9,0
103,118.0,312.0,619832.1,454819.9,-9.2,0
104,162.0,644.0,697382.8,1234919.1,-19.5,0
105,206.0,682.0,775491.2,1322519.8,-23.1,0
106,74.0,348.0,567481.9,513479.1,-11.1,0
107,142.0,418.0,659219.8,655391.9,-1.9,0
108,182.0,362.0,723491.1,559219.8,-2.7,0
109,190.0,408.0,721981.9,638491.1,3.5,0
110,219.0,412.0,623118.9,731910.5,-18.2,0
111,281.0,191.0,509235.1,156813.4,-10.8,0
112,148.0,629.0,753201.9,1184391.1,-22.5,0
113,189.0,275.0,641392.8,390817.9,-14.5,0
114,317.0,442.0,934511.2,813911.8,20.6,0
115,66.0,591.0,599392.1,1126151.9,-20.9,0
116,231.0,355.0,727982.5,621501.4,-16.8,0
117,129.0,283.0,651201.9,351919.8,-12.1,0
118,297.0,418.0,882390.8,768201.1,24.9,0
119,173.0,259.0,693819.1,299501.9,-15.6,0
120,219.0,281.0,742109.1,439911.5,-10.8,0
121,85.0,191.0,473892.9,245689.2,-25.5,0
122,251.0,412.0,829201.8,673819.1,3.2,0
123,118.0,563.0,599302.5,1014159.9,-15.9,0
124,201.0,135.0,387511.4,173421.8,-22.1,0
125,93.0,624.0,682201.9,1154759.1,-11.4,0
126,145.0,318.0,714892.1,494159.3,-6.3,0
127,67.0,509.0,582419.8,893102.5,-19.5,0
128,211.0,266.0,731109.3,421911.9,-9.1,0
129,39.0,594.0,623201.9,1094759.1,-20.8,0
130,281.0,512.0,891145.9,943219.8,7.2,0
131,173.0,394.0,694219.1,599891.9,-10.5,0
132,219.0,278.0,753982.3,384139.5,18.2,0
133,146.0,192.0,481959.8,173811.2,-32.9,0
134,258.0,432.0,859391.4,710831.1,20.1,0
135,122.0,542.0,503181.9,1002198.5,-15.8,0
136,187.0,354.0,725891.2,535811.9,5.5,0
137,299.0,468.0,946219.8,784391.5,25.9,0
138,139.0,226.0,457819.1,261991.9,-41.2,0
139,209.0,302.0,741959.8,433811.2,10.5,0
140,191.0,549.0,734871.1,987654.3,18.5,0
141,421.0,291.0,1184398.9,442819.1,39.1,0
142,67.0,597.0,513491.9,1123456.8,-20.9,0
143,281.0,369.0,891179.4,599291.9,12.1,0
144,10.0,219.0,384942.1,321945.6,-25.6,0
145,173.0,482.0,686391.9,794512.9,-12.3,0
146,49.0,256.0,483191.9,373819.1,-18.1,0
147,122.0,562.0,594391.9,1045123.9,-15.9,0
148,398.0,418.0,1134919.1,662819.1,43.9,0
149,25.0,294.0,451391.9,435945.9,-19.3,0
150,92.0,276.0,571239.9,381919.5,-18.1,0
151,168.0,596.0,725819.1,1123519.9,-10.9,0
152,60.0,40.0,223491.8,194831.4,-29.5,0
153,220.0,316.0,831402.9,501291.8,-2.1,0
154,50.0,28.0,186230.1,162491.9,-30.8,0
155,44.0,632.0,615623.4,1185119.2,-21.9,0
156,112.0,588.0,609491.2,1094919.5,-22.1,0
157,210.0,608.0,692491.9,1119919.8,-11.9,0
158,148.0,428.0,661491.8,655919.5,-0.9,0
159,58.0,558.0,542491.9,1044919.2,-14.9,0
160,142.0,582.0,608219.9,1056301.8,-12.5,0
161,218.0,456.0,652391.2,825491.1,-6.8,0
162,50.0,596.0,494821.5,1123509.9,-20.4,0
163,160.0,532.0,623101.8,983021.9,-10.3,0
164,240.0,420.0,864530.1,762309.8,15.1,0
165,12.0,612.0,556219.9,1158231.9,-25.5,0
166,190.0,504.0,743920.8,919820.1,0.5,0
167,36.0,276.0,479391.2,419391.1,-17.2,0
168,270.0,398.0,901391.9,693101.8,20.8,0
169,22.0,644.0,571391.2,1213910.1,-24.9,0
170,98.0,278.0,482919.1,431919.2,-20.8,0
171,118.0,412.0,574819.5,653192.1,-14.5,0
172,76.0,596.0,631011.9,1056319.0,-18.2,0
173,108.0,248.0,421911.2,381492.8,-26.1,0
174,132.0,190.0,398197.3,261011.9,-29.3,0
175,90.0,468.0,609823.1,823495.6,-10.3,0
176,124.0,362.0,529431.8,551819.2,-15.6,0
177,58.0,422.0,583192.1,698117.3,-13.4,0
178,168.0,286.0,493011.9,421492.1,-21.9,0
179,82.0,538.0,591823.1,951011.9,-17.5,0
180,278.0,591.0,936219.9,1114398.5,10.3,0
181,122.0,446.0,683101.8,695819.2,-7.1,0
182,49.0,281.0,514819.1,428011.9,-18.5,0
183,191.0,567.0,822639.5,1081119.1,2.9,0
184,85.0,193.0,241011.2,261011.8,-30.8,0
185,266.0,419.0,923115.6,665811.1,15.6,0
186,139.0,602.0,756201.9,1184198.2,-1.3,0
187,67.0,258.0,593015.1,394011.9,-12.9,0
188,312.0,485.0,1046381.8,823811.2,28.5,0
189,229.0,375.0,869201.1,599011.9,8.2,0
190,118.0,568.0,631923.1,1042356.9,-15.1,0
191,266.0,438.0,944219.8,694819.2,12.8,0
192,54.0,398.0,585391.9,623491.1,-16.3,0
193,208.0,482.0,734191.4,846219.8,-11.9,0
194,130.0,592.0,686923.1,1143569.2,-19.2,0
195,288.0,362.0,923491.1,623191.4,17.3,0
196,182.0,402.0,701219.8,639356.9,2.1,0
197,42.0,432.0,563356.9,637491.1,-19.5,0
198,26.0,430.0,547491.1,633923.1,-21.1,0
199,152.0,678.0,703923.1,130491.1,-20.9,0
200,118.0,278.0,472819.1,623191.9,-19.5,0
201,208.0,98.0,739281.3,135928.8,-25.1,0
202,140.0,586.0,631492.5,1093571.2,-15.6,0
203,188.0,166.0,493859.9,42151.1,-30.8,0
204,76.0,50.0,69319.8,91755.3,-46.2,0
205,104.0,260.0,529011.4,371439.2,-17.1,0
206,56.0,380.0,563151.6,559201.9,-10.4,0
207,168.0,236.0,685721.1,285501.8,-16.2,0
208,100.0,324.0,613494.9,509191.1,-7.9,0
209,90.0,568.0,581401.8,1035019.4,-12.6,0
210,120.0,510.0,591019.2,1011298.4,-19.1,0
211,68.0,278.0,482959.1,261919.2,-24.5,0
212,168.0,458.0,709219.8,734882.1,2.1,0
213,130.0,118.0,293843.9,48140.8,-30.3,0
214,58.0,172.0,421468.9,201479.6,-27.9,0
215,220.0,490.0,753229.7,794241.2,1.3,0
216,90.0,650.0,638660.9,1261644.2,-21.8,0
217,160.0,608.0,642706.9,1169662.4,-19.4,0
218,198.0,630.0,695730.7,1219684.1,-16.5,0
219,310.0,430.0,955989.9,795920.5,23.6,0
220,278.0,382.0,913421.1,593191.9,18.5,0
221,198.0,468.0,751309.8,734819.1,-7.2,0
222,140.0,290.0,596201.4,439958.5,-20.1,0
223,68.0,560.0,457821.9,1034591.0,-32.4,0
224,216.0,420.0,823492.1,656210.8,10.8,0
225,86.0,236.0,483109.9,348921.1,-24.9,0
226,302.0,512.0,1012349.0,902819.2,15.6,0
227,50.0,194.0,394201.8,286492.1,-30.5,0
228,248.0,380.0,863421.9,591201.9,12.1,0
229,162.0,490.0,703201.1,846958.5,-8.5,0
230,56.0,193.0,243819.1,201119.4,-10.2,0
231,428.0,116.0,1234567.9,141421.3,29.1,0
232,92.0,472.0,528110.8,944281.9,-12.5,0
233,268.0,334.0,843201.4,563819.2,18.9,0
234,14.0,220.0,395610.9,229382.1,-24.8,0
235,182.0,398.0,654819.2,693201.8,-11.4,0
236,48.0,270.0,201109.8,305692.1,-20.6,0
237,410.0,186.0,1189513.9,191827.3,31.4,0
238,76.0,504.0,279201.1,984281.9,-14.1,0
239,240.0,312.0,753819.2,521201.8,15.6,0
240,221.0,279.0,754189.1,394815.5,6.7,0
241,181.0,521.0,596832.8,971911.9,-14.1,0
242,255.0,351.0,853209.4,549819.2,10.3,0
243,129.0,485.0,683109.9,876191.8,-4.5,0
244,201.0,422.0,722814.5,656210.1,2.1,0
245,97.0,311.0,628591.7,451819.4,-9.8,0
246,242.0,568.0,794823.2,1048219.5,-6.2,0
247,163.0,388.0,693821.9,624891.1,7.5,0
248,289.0,439.0,946372.1,718219.8,16.1,0
249,115.0,329.0,637492.5,482192.9,-5.6,0
250,278.0,418.0,821194.9,683219.4,16.5,0
251,148.0,530.0,613491.8,958119.1,-10.3,0
252,86.0,474.0,563812.1,755813.5,-8.1,0
253,338.0,372.0,1053519.8,623492.3,26.2,0
254,136.0,288.0,644391.4,381509.9,-12.4,0
255,152.0,54.0,103419.1,90115.6,-48.5,0
256,294.0,410.0,923695.6,671902.8,20.1,0
257,122.0,562.0,591814.9,1053519.3,-13.9,0
258,162.0,462.0,651302.9,743338.5,-0.4,0
259,62.0,250.0,503671.2,353318.4,-17.4,0
260,278.0,590.0,934219.8,1102345.9,-24.8,0
261,118.0,468.0,521115.1,863219.2,-27.1,0
262,240.0,130.0,556811.9,238914.5,-30.4,0
263,50.0,550.0,275819.2,1023519.8,-35.9,0
264,330.0,420.0,1034219.1,781219.1,-20.5,0
265,220.0,190.0,751811.9,351811.9,-25.1,0
266,88.0,620.0,391811.9,115467.1,-31.4,0
267,160.0,480.0,681811.9,894811.9,-22.9,0
268,290.0,560.0,963219.8,104467.1,-26.5,0
269,200.0,380.0,723219.8,703219.8,-28.3,0
270,56.0,191.0,282119.1,219421.9,-11.9,0
271,240.0,596.0,649219.8,1126511.1,-16.5,0
272,168.0,98.0,421911.9,109201.3,2.4,0
273,360.0,468.0,1046319.5,753691.2,28.5,0
274,140.0,258.0,582151.8,304569.3,-23.2,0
275,260.0,186.0,734921.9,213421.1,10.3,0
276,96.0,432.0,294511.9,663201.8,-14.1,0
277,380.0,520.0,1116319.5,981691.2,32.5,0
278,220.0,148.0,651911.9,169201.3,5.4,0
279,180.0,288.0,621151.8,344569.3,-20.2,0
280,398.0,492.0,1081349.1,734899.2,28.5,0
281,182.0,286.0,663491.9,474351.8,5.8,0
282,468.0,536.0,1268131.5,831421.1,41.2,0
283,90.0,422.0,581239.4,686309.9,-2.1,0
284,320.0,374.0,983251.8,623491.2,24.8,0
285,208.0,602.0,751399.2,1121511.9,10.5,0
286,56.0,456.0,558491.1,725891.8,-8.5,0
287,392.0,414.0,1056251.9,679351.2,33.9,0
288,270.0,330.0,876491.8,545239.1,14.2,0
289,148.0,566.0,617491.9,1034911.8,-5.8,0
290,84.0,281.0,472138.5,391519.1,-18.5,0
291,219.0,181.0,693201.9,201911.8,-6.1,0
292,51.0,594.0,527849.1,1123550.3,-20.9,0
293,168.0,416.0,844492.8,720317.9,5.5,0
294,29.0,138.0,311019.4,74287.5,-32.1,0
295,206.0,342.0,755189.3,544811.1,0.8,0
296,93.0,566.0,563401.9,1045021.5,-16.3,0
297,154.0,236.0,430910.1,256911.9,-26.8,0
298,270.0,482.0,879012.8,794520.6,15.1,0
299,67.0,524.0,501238.5,958121.1,-11.9,0
300,278.0,596.0,933219.9,1043211.3,11.9,0
301,192.0,362.0,743982.1,563219.8,-4.2,0
302,49.0,291.0,483911.9,394581.4,-14.5,0
303,391.0,521.0,1184519.2,831421.9,32.1,0
304,267.0,187.0,886139.4,239481.1,7.8,0
305,122.0,601.0,649392.1,1143982.2,-9.1,0
306,354.0,459.0,1064398.5,739219.8,29.4,0
307,81.0,258.0,509581.9,340982.1,-16.2,0
308,289.0,411.0,958219.4,678982.3,14.5,0
309,168.0,582.0,691439.2,1094392.1,-5.9,0
310,301.0,421.0,1034211.5,694219.1,27.3,0
311,82.0,299.0,551919.8,439819.2,-9.8,0
312,258.0,481.0,949191.9,793851.1,18.2,0
313,192.0,269.0,794371.2,403191.9,7.4,0
314,49.0,455.0,521049.1,716331.8,-20.5,0
315,289.0,394.0,917011.1,646501.9,16.1,0
316,134.0,236.0,630851.9,335491.1,-14.2,0
317,206.0,359.0,848291.9,562011.9,3.9,0
318,70.0,492.0,539291.9,823011.9,-16.8,0
319,155.0,59.0,854191.9,90211.9,-45.1,0
320,201.0,278.0,752193.4,381219.9,-10.8,0
321,118.0,592.0,619130.8,1134819.3,-19.5,0
322,64.0,412.0,585492.1,693819.5,-12.2,0
323,256.0,186.0,864201.9,156919.2,7.3,0
324,172.0,498.0,704839.5,944130.8,-15.6,0
325,98.0,280.0,611439.9,384819.1,-6.1,0
326,226.0,654.0,822493.8,1246319.5,29.8,0
327,136.0,208.0,443982.1,181439.5,-30.4,0
328,306.0,468.0,1034938.5,859130.9,40.2,0
329,74.0,332.0,569492.9,457819.2,-3.9,0
330,187.0,319.0,731194.5,509239.9,3.5,0
331,251.0,369.0,855191.2,599813.5,12.9,0
332,328.0,428.0,1043289.8,704911.1,32.5,0
333,41.0,628.0,599492.8,1215319.3,-22.1,0
334,73.0,568.0,586019.1,1085145.9,-23.5,0
335,59.0,482.0,479358.9,805919.8,-19.3,0
336,201.0,249.0,819381.4,413439.9,6.8,0
337,139.0,191.0,493292.5,151911.9,-24.9,0
338,67.0,398.0,579191.9,607408.9,-13.1,0
339,153.0,282.0,682492.1,407839.8,-8.5,0
340,129.0,275.0,823191.5,432109.8,-10.3,0
341,58.0,619.0,482139.9,1098211.9,-19.1,0
342,221.0,191.0,753982.8,284911.1,2.5,0
343,93.0,351.0,628142.1,562819.5,-15.8,0
344,19.0,498.0,449819.3,881910.8,-23.9,0
345,167.0,267.0,935819.2,421191.9,5.1,0
346,74.0,592.0,521492.8,1123651.1,-11.5,0
347,118.0,434.0,580191.9,701819.1,-9.2,0
348,256.0,189.0,958391.1,279911.9,18.5,0
349,43.0,521.0,492191.9,967819.1,-20.8,0
350,234.0,390.0,942193.1,734219.8,11.9,0
351,168.0,96.0,275982.4,182941.6,-41.2,0
352,412.0,436.0,1082139.9,701388.2,48.5,0
353,284.0,246.0,819439.8,421919.1,7.3,0
354,118.0,428.0,634892.1,629391.9,-3.9,0
355,206.0,308.0,773119.4,503212.8,-1.5,0
356,148.0,148.0,423891.9,63129.4,-29.8,0
357,258.0,410.0,796439.9,643819.1,9.2,0
358,182.0,60.0,93589.2,56741.9,-47.9,0
359,222.0,416.0,762392.9,654210.8,6.1,0
360,278.0,591.0,934191.9,1102191.4,18.2,0
361,81.0,421.0,580291.1,734821.3,-6.1,0
362,219.0,382.0,768138.8,589191.9,8.5,0
363,148.0,563.0,644831.4,1046319.1,-14.2,0
364,29.0,408.0,526491.9,654138.8,-10.9,0
365,67.0,488.0,559291.1,901631.4,-12.4,0
366,303.0,438.0,882138.8,743191.9,20.8,0
367,56.0,524.0,537491.9,967631.4,-15.6,0
368,201.0,658.0,751631.4,1232191.4,-19.1,0
369,119.0,472.0,628138.8,846191.9,-5.8,0
370,67.0,219.0,726381.1,813941.9,-11.5,0
371,191.0,85.0,275819.4,20189.3,-29.8,0
372,118.0,467.0,654392.9,1029151.1,-14.2,0
373,236.0,191.0,739281.8,561419.4,7.5,0
374,53.0,623.0,580191.9,1149431.9,-24.5,0
375,148.0,268.0,499273.1,405637.9,-19.3,0
376,94.0,56.0,291326.7,70999.5,-31.2,0
377,201.0,482.0,819463.9,901933.3,12.2,0
378,62.0,294.0,511573.0,449637.9,-16.1,0
379,172.0,98.0,302896.7,107799.5,-30.4,0
380,278.0,412.0,812191.9,731419.1,10.3,0
381,68.0,592.0,513941.8,1123519.0,-20.8,0
382,134.0,188.0,451819.4,88159.2,-32.1,0
383,292.0,362.0,923491.3,623019.6,15.1,0
384,108.0,242.0,570341.9,301419.2,-19.3,0
385,98.0,148.0,406527.1,132360.4,-29.1,0
386,80.0,586.0,591844.6,1096326.9,-24.3,0
387,118.0,652.0,654562.2,1236810.3,-22.2,0
388,172.0,316.0,725639.8,498094.4,-7.2,0
389,104.0,252.0,571438.6,328947.7,-17.5,0
390,120.0,281.0,583192.5,384919.1,-11.5,0
391,210.0,431.0,753102.8,732191.3,-6.2,0
392,90.0,596.0,645301.9,1123951.9,-20.5,0
393,168.0,378.0,693208.1,562381.4,-8.5,0
394,55.0,85.0,280901.2,173596.8,-29.1,0
395,140.0,259.0,620501.3,283692.1,-16.1,0
396,154.0,342.0,701931.4,524831.9,-4.3,0
397,128.0,519.0,611085.9,967192.3,-13.3,0
