alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
14.0,3.35,2.28,14.0,121.0,1.35,2.0,0.3,1.98,7.2,1.22,3.16,520,2.0
13.88,3.0,2.43,18.0,100.0,1.95,0.28,0.29,0.97,5.4,0.6,2.64,640,1.0
12.68,1.75,2.38,18.5,108.0,2.45,1.75,0.17,1.02,4.5,1.37,2.63,630,0.0
14.92,1.89,2.0,18.0,128.0,1.25,1.56,0.26,1.76,4.0,0.74,1.95,580,0.0
12.72,1.75,2.3,15.4,88.0,2.8,2.92,0.4,1.39,3.0,0.74,2.45,685,0.0
12.78,1.57,2.19,20.0,86.0,2.39,2.0,0.53,1.25,5.8,0.61,2.95,875,0.0
11.03,1.68,2.3,18.0,70.0,3.0,2.29,0.42,1.75,6.9,1.02,3.26,672,1.0
13.73,4.62,2.05,18.5,85.0,2.4,0.0,0.3,1.06,4.9,0.98,1.74,385,0.0
13.88,1.41,2.3,21.0,101.0,1.42,2.66,0.28,1.92,2.0,0.89,1.81,345,0.0
12.87,1.69,2.42,24.0,86.0,3.0,2.61,0.27,1.0,4.6,1.0,3.16,1085,0.0
13.45,1.67,2.04,19.5,98.0,2.35,0.0,0.32,1.66,5.2,0.96,3.16,1295,1.0
13.2,1.0,2.26,20.0,96.0,1.7,2.63,0.53,1.83,4.6,0.65,1.68,750,1.0
13.23,1.95,2.26,19.0,118.0,3.0,3.36,0.27,1.46,2.8,1.05,2.82,780,1.0
13.22,1.56,2.58,18.0,96.0,1.65,1.67,0.19,1.0,4.61,0.59,3.36,695,1.0
14.35,1.59,2.16,22.5,88.0,1.65,0.99,0.35,1.01,4.9,0.96,1.75,520,2.0
12.35,3.45,2.42,18.0,112.0,2.5,0.61,0.22,0.68,5.8,0.76,2.0,378,2.0
14.64,1.0,2.2,18.0,98.0,2.7,0.98,0.32,1.06,2.65,0.72,2.48,1050,0.0
13.0,1.0,2.1,16.0,93.0,2.5,0.57,0.27,0.57,5.6,1.19,2.7,680,1.0
13.22,1.93,1.38,16.0,94.0,2.4,2.29,0.27,1.25,7.1,0.84,2.29,5201,1.0
12.0,1.74,2.26,21.0,88.0,1.2,0.39,0.31,1.28,1.64,0.86,1.81,860,2.0
12.03,1.61,2.4,18.0,92.0,2.8,2.32,0.33,2.36,7.8,1.0,3.37,1035,2.0
12.75,1.95,2.58,19.0,88.0,1.39,2.0,0.34,1.38,3.5,1.12,1.95,385,0.0
13.64,1.67,2.26,21.5,100.0,1.56,0.92,0.13,0.61,9.6,0.76,1.58,580,1.0
12.0,1.66,2.25,19.0,105.0,1.9,1.25,0.32,1.73,5.0,1.15,2.84,1020,0.0
12.69,1.74,2.6,19.5,86.0,2.3,2.35,0.3,1.28,6.0,0.83,2.75,680,0.0
12.29,1.61,2.58,18.0,106.0,1.72,0.76,0.28,1.42,4.6,1.12,2.98,660,1.0
13.58,1.85,2.65,24.0,132.0,2.4,2.81,0.0,2.17,5.7,0.0,3.24,495,0.0
13.67,1.61,2.35,15.0,98.0,1.68,0.43,0.24,0.96,5.0,1.06,2.0,1435,0.0
11.82,4.0,2.51,14.0,88.0,1.5,2.85,0.32,1.41,5.2,0.96,2.26,428,0.0
12.42,1.57,2.6,22.5,98.0,1.65,1.69,0.24,1.58,5.65,1.12,2.56,645,0.0
