,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,real_identifier
0,8.0,3.0,2100.0,180.0,120.0,0.6,0.6,68000.0,300000.0,2.5,500.0,1200000.0,90.0,0
1,12.0,5.0,2800.0,220.0,150.0,0.4,0.4,90000.0,400000.0,2.0,700.0,1500000.0,92.0,0
2,5.0,2.0,1800.0,150.0,100.0,0.8,0.8,50000.0,200000.0,2.2,600.0,1000000.0,89.0,0
3,9.0,4.0,2500.0,200.0,130.0,0.5,0.5,70000.0,350000.0,2.1,550.0,1300000.0,91.0,0
4,7.0,3.0,2000.0,160.0,110.0,0.7,0.7,60000.0,300000.0,2.3,450.0,1100000.0,90.0,0
5,11.0,5.0,2700.0,210.0,140.0,0.4,0.4,80000.0,400000.0,2.0,750.0,1600000.0,93.0,0
6,6.0,2.0,1900.0,140.0,90.0,0.9,0.9,55000.0,250000.0,2.4,500.0,1200000.0,88.0,0
7,10.0,4.0,2400.0,190.0,120.0,0.6,0.6,65000.0,320000.0,2.2,600.0,1400000.0,92.0,0
8,8.0,3.0,2100.0,170.0,110.0,0.5,0.5,58000.0,280000.0,2.1,550.0,1300000.0,90.0,0
9,9.0,4.0,2300.0,180.0,120.0,0.7,0.7,62000.0,300000.0,2.3,450.0,1100000.0,91.0,0
10,5.0,3.0,2198.0,198.0,145.0,0.6,2.2,421111.0,83111.0,3.8,2019.0,1656111.0,92.0,0
11,8.0,5.0,3811.0,551.0,321.0,2.8,3.6,518882.0,125567.0,2.2,421.0,1814129.0,85.0,0
12,1.0,0.0,1429.0,118.0,69.0,0.4,0.6,198421.0,39119.0,4.0,1141.0,1038211.0,96.0,0
13,4.0,3.0,2961.0,412.0,289.0,1.2,2.4,394211.0,103288.0,3.4,2501.0,1676311.0,91.0,0
14,15.0,14.0,4632.0,671.0,511.0,3.8,4.2,627111.0,154390.0,1.6,501.0,1094699.0,79.0,0
15,6.0,4.0,2451.0,351.0,256.0,1.0,2.0,485882.0,121111.0,4.2,2801.0,1644699.0,90.0,0
16,3.0,2.0,1751.0,221.0,173.0,0.8,1.8,371111.0,90119.0,3.0,1901.0,1634699.0,93.0,0
17,11.0,10.0,3962.0,582.0,451.0,2.6,3.4,548211.0,133288.0,2.8,1201.0,1726311.0,88.0,0
18,2.0,1.0,1231.0,142.0,101.0,0.6,1.2,275211.0,65119.0,4.6,2401.0,1614699.0,94.0,0
19,9.0,8.0,3419.0,491.0,381.0,2.2,3.2,424882.0,115567.0,2.4,1801.0,1706311.0,89.0,0
20,18.0,11.0,2019.0,141.0,121.0,1.8,1.5,143211.0,93421.0,3.2,201.0,1098231.0,85.0,0
21,10.0,3.0,1873.0,93.0,79.0,1.2,0.9,103911.0,37191.0,2.8,251.0,1118951.0,88.0,0
22,20.0,25.0,632.0,58.0,35.0,0.4,0.4,98729.0,50923.0,1.6,6871.0,1842149.0,95.0,0
23,3.0,1.0,3519.0,399.0,362.0,2.2,2.8,221419.0,203019.0,2.2,262.0,1145129.0,82.0,0
24,8.0,6.0,1711.0,74.0,99.0,1.6,1.4,91177.0,71529.0,3.0,178.0,1124519.0,89.0,0
25,16.0,10.0,2381.0,198.0,129.0,3.59,5.59,149919.0,42159.0,2.0,191.0,1022925.0,77.0,0
26,25.0,32.0,562.0,51.0,30.0,0.2,0.2,83119.0,47959.0,1.2,6946.0,1838649.0,96.0,0
27,4.0,2.0,4023.0,451.0,401.0,3.0,3.8,258911.0,242509.0,2.8,249.0,1153719.0,81.0,0
28,12.0,8.0,6049.0,159.0,91.0,3.4,8.0,154440.0,92354.0,3.4,159.0,1323552.0,74.0,0
29,1.0,0.0,2179.0,127.0,144.0,0.4,0.4,151991.0,279514.0,2.8,138.0,1545310.0,92.0,0
30,25.0,18.0,3821.0,421.0,245.0,1.0,3.0,173021.0,82943.0,1.8,2781.0,1542191.0,91.0,0
31,48.0,29.0,5921.0,198.0,135.0,2.4,5.6,214892.0,118439.0,2.2,3519.0,1928392.0,85.0,0
32,6.0,3.0,1921.0,351.0,201.0,1.2,2.0,98219.0,65421.0,1.4,4211.0,1683519.0,90.0,0
33,11.0,8.0,3519.0,472.0,281.0,1.6,3.2,151982.0,93481.0,1.9,5019.0,1758391.0,88.0,0
34,29.0,21.0,4211.0,291.0,187.0,2.0,4.0,203191.0,103439.0,2.1,3511.0,1932192.0,86.0,0
35,19.0,14.0,3119.0,401.0,251.0,1.4,2.8,182981.0,85939.0,1.7,4011.0,1693519.0,91.0,0
36,44.0,32.0,5019.0,221.0,155.0,2.2,5.0,225892.0,128439.0,2.3,3219.0,1958392.0,84.0,0
37,8.0,5.0,2319.0,381.0,231.0,1.0,2.2,112981.0,73421.0,1.5,4711.0,1713519.0,90.0,0
38,35.0,26.0,4519.0,311.0,201.0,2.1,4.2,213191.0,113439.0,2.2,3811.0,1968392.0,85.0,0
39,16.0,11.0,2919.0,451.0,271.0,1.6,3.0,172981.0,86439.0,1.8,4511.0,1733519.0,90.0,0
40,3.0,2.0,1839.0,145.0,105.0,2.19,1.89,275912.0,198421.0,1.5,3519.0,1053911.0,84.0,0
41,11.0,5.0,2971.0,219.0,191.0,3.45,2.67,391185.0,281396.0,1.8,1890.0,1012356.0,79.0,0
42,26.0,10.0,4219.0,318.0,249.0,4.39,3.47,509632.0,362911.0,1.2,1349.0,1005018.0,73.0,0
43,7.0,4.0,2039.0,164.0,131.0,2.56,2.13,301419.0,240192.0,1.9,2678.0,1056737.0,82.0,0
44,31.0,14.0,4958.0,379.0,294.0,5.18,4.05,597901.0,422919.0,1.1,1189.0,1002915.0,69.0,0
45,4.0,3.0,2619.0,208.0,173.0,3.03,2.56,358211.0,284392.0,1.6,2359.0,1014898.0,80.0,0
46,18.0,9.0,3792.0,299.0,242.0,4.23,3.38,471492.0,373191.0,1.4,1578.0,1006319.0,75.0,0
47,24.0,12.0,4469.0,355.0,285.0,4.96,4.07,545718.0,414919.0,1.3,1290.0,1004218.0,71.0,0
48,6.0,4.0,2359.0,187.0,153.0,2.78,2.36,328592.0,262392.0,1.7,2819.0,1058197.0,81.0,0
49,20.0,11.0,4121.0,327.0,264.0,4.59,3.79,499219.0,394192.0,1.5,1439.0,1005519.0,74.0,0
50,3.0,1.0,2831.0,219.0,94.0,1.2,1.8,198421.0,73451.0,2.6,631.0,1674921.0,85.0,0
51,19.0,8.0,4011.0,184.0,141.0,3.2,4.5,421189.0,62478.0,3.2,270.0,1442198.0,89.0,0
52,4.0,3.0,2389.0,291.0,126.0,1.6,2.2,138942.0,84632.0,2.0,513.0,1613569.0,80.0,0
53,12.0,6.0,3298.0,246.0,152.0,2.8,3.9,315789.0,71921.0,4.0,198.0,1359142.0,74.0,0
54,2.0,1.0,1910.0,129.0,108.0,1.0,1.4,90215.0,48819.0,2.4,591.0,1693011.0,92.0,0
55,15.0,9.0,4387.0,201.0,145.0,3.6,5.1,492138.0,65492.0,3.6,240.0,1476318.0,82.0,0
56,6.0,4.0,2763.0,261.0,134.0,2.0,2.8,223421.0,79632.0,2.8,450.0,1583921.0,87.0,0
57,11.0,5.0,3519.0,229.0,151.0,2.6,3.6,381956.0,73451.0,3.4,279.0,1422192.0,78.0,0
58,8.0,2.0,2967.0,193.0,119.0,2.2,3.1,261421.0,62478.0,2.2,369.0,1514921.0,85.0,0
59,5.0,3.0,2421.0,283.0,136.0,1.8,2.5,198421.0,84632.0,2.6,513.0,1613569.0,80.0,0
60,19.0,32.0,3879.0,229.0,201.0,2.0,1.2,351112.0,258193.0,4.2,512.0,1347211.0,85.0,0
61,11.0,19.0,5981.0,403.0,307.0,1.0,1.8,481939.0,292011.0,5.4,275.0,1180519.0,79.0,0
62,25.0,41.0,4719.0,279.0,245.0,2.6,2.4,412191.0,235191.0,4.8,421.0,1258901.0,83.0,0
63,48.0,29.0,4311.0,261.0,221.0,1.2,1.6,391191.0,278011.0,3.6,601.0,1414309.0,86.0,0
64,14.0,22.0,5211.0,311.0,267.0,2.4,2.2,451191.0,251011.0,5.0,351.0,1211919.0,81.0,0
65,31.0,46.0,3961.0,241.0,211.0,1.8,2.0,381191.0,269011.0,4.4,501.0,1351919.0,84.0,0
66,41.0,56.0,4671.0,291.0,261.0,2.2,2.6,441191.0,281011.0,5.2,321.0,1181919.0,80.0,0
67,23.0,39.0,4091.0,251.0,221.0,1.4,1.4,371191.0,259011.0,4.0,551.0,1391919.0,85.0,0
68,17.0,27.0,4981.0,301.0,271.0,2.0,2.0,421191.0,249011.0,5.6,381.0,1231919.0,82.0,0
69,38.0,49.0,4551.0,281.0,251.0,1.6,1.8,401191.0,269011.0,4.6,491.0,1311919.0,84.0,0
70,38.0,48.0,8192.0,512.0,384.0,2.0,1.2,123456.0,654321.0,2.4,1234.0,987654.0,80.0,0
71,29.0,39.0,6543.0,321.0,234.0,1.8,2.1,98765.0,432109.0,3.2,5678.0,654321.0,75.0,0
72,19.0,29.0,5432.0,219.0,182.0,1.2,1.5,76543.0,321098.0,2.0,4321.0,876543.0,70.0,0
73,46.0,58.0,9876.0,654.0,432.0,2.5,1.8,123456.0,987654.0,3.6,9876.0,123456.0,85.0,0
74,32.0,42.0,7654.0,456.0,321.0,1.9,2.2,98765.0,654321.0,2.8,6543.0,987654.0,80.0,0
75,25.0,35.0,6321.0,391.0,278.0,1.5,1.9,76543.0,432109.0,2.4,5678.0,654321.0,75.0,0
76,41.0,51.0,9211.0,612.0,423.0,2.2,1.6,123456.0,987654.0,3.4,9876.0,123456.0,85.0,0
77,36.0,46.0,8492.0,542.0,389.0,2.0,1.8,98765.0,654321.0,2.6,6543.0,987654.0,80.0,0
78,28.0,38.0,7182.0,456.0,321.0,1.8,2.0,76543.0,432109.0,2.2,5678.0,654321.0,75.0,0
79,44.0,54.0,9567.0,678.0,456.0,2.4,1.7,123456.0,987654.0,3.8,9876.0,123456.0,85.0,0
80,18.0,10.0,3819.0,221.0,129.0,1.9,2.5,134919.0,65819.0,2.1,1187.0,1491919.0,85.0,0
81,12.0,8.0,5621.0,312.0,192.0,3.1,2.2,201489.0,90114.0,2.5,1423.0,1688231.0,81.0,0
82,25.0,16.0,4598.0,278.0,169.0,2.4,3.1,170561.0,76389.0,3.1,1304.0,1625951.0,76.0,0
83,8.0,4.0,3945.0,236.0,146.0,2.1,2.8,148392.0,68459.0,2.3,1251.0,1553098.0,83.0,0
84,20.0,12.0,5299.0,292.0,181.0,2.9,2.9,183251.0,83118.0,2.9,1382.0,1664790.0,79.0,0
85,15.0,9.0,4421.0,259.0,159.0,2.5,2.6,161391.0,74389.0,2.6,1321.0,1603929.0,80.0,0
86,22.0,14.0,5019.0,284.0,174.0,2.8,3.0,178431.0,80819.0,3.0,1359.0,1645551.0,77.0,0
87,10.0,6.0,4249.0,251.0,154.0,2.3,2.9,155618.0,72259.0,2.4,1286.0,1572308.0,82.0,0
88,19.0,11.0,4861.0,274.0,168.0,2.6,2.8,172891.0,79289.0,2.8,1345.0,1634980.0,78.0,0
89,16.0,10.0,4659.0,266.0,163.0,2.5,3.0,166659.0,77649.0,2.7,1318.0,1617019.0,80.0,0
90,5.0,2.0,812.0,121.0,59.0,1.8,3.4,198721.0,39418.0,2.8,1024.0,1692391.0,89.0,0
91,18.0,1.0,2349.0,193.0,92.0,5.6,14.2,492119.0,59651.0,3.2,1567.0,1728913.0,80.0,0
92,3.0,2.0,591.0,164.0,43.0,2.2,4.8,275831.0,49282.0,2.4,1873.0,1814211.0,92.0,0
93,9.0,0.0,1187.0,151.0,67.0,3.4,7.4,357092.0,26190.0,3.8,1304.0,1663129.0,85.0,0
94,2.0,1.0,527.0,142.0,39.0,1.4,2.2,221941.0,38719.0,2.2,2431.0,1785012.0,96.0,0
95,16.0,3.0,2031.0,226.0,99.0,6.2,17.4,418951.0,53149.0,4.2,1918.0,1707392.0,79.0,0
96,4.0,2.0,863.0,179.0,55.0,2.6,5.0,302392.0,42111.0,3.0,1574.0,1750151.0,88.0,0
97,11.0,2.0,1291.0,187.0,83.0,4.2,9.4,381819.0,50339.0,3.4,2019.0,1684923.0,84.0,0
98,1.0,1.0,472.0,208.0,51.0,1.0,2.0,349280.0,39458.0,2.8,2912.0,1797592.0,95.0,0
99,6.0,3.0,945.0,162.0,61.0,2.8,5.8,289011.0,45781.0,3.0,1735.0,1713921.0,90.0,0
100,18.0,13.0,1021.0,128.0,97.0,1.2,1.0,52119.0,47542.0,1.5,2019.0,1602051.0,85.0,0
101,6.0,4.0,753.0,82.0,67.0,1.5,1.1,29471.0,35619.0,1.8,1180.0,1693011.0,82.0,0
102,35.0,31.0,1189.0,151.0,122.0,2.1,2.3,81939.0,70119.0,2.2,2627.0,1849321.0,91.0,0
103,14.0,10.0,943.0,114.0,92.0,1.8,1.6,43082.0,50141.0,1.9,1951.0,1673901.0,88.0,0
104,2.0,1.0,661.0,72.0,58.0,1.2,1.0,25192.0,30219.0,1.4,1591.0,1738291.0,84.0,0
105,27.0,24.0,1061.0,129.0,104.0,2.3,2.5,73281.0,64059.0,2.4,2819.0,1867101.0,92.0,0
106,9.0,7.0,819.0,96.0,79.0,1.9,1.7,38151.0,44191.0,2.0,2131.0,1698291.0,89.0,0
107,16.0,12.0,989.0,119.0,97.0,2.0,2.0,51241.0,55219.0,2.1,2459.0,1843011.0,90.0,0
108,5.0,3.0,731.0,84.0,69.0,1.4,1.2,27392.0,32359.0,1.7,1741.0,1731511.0,83.0,0
109,25.0,22.0,1039.0,125.0,101.0,2.2,2.4,69919.0,61939.0,2.3,2691.0,1865511.0,91.0,0
