,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,real_identifier
0,10.0,4.0,3988.0,351.0,275.0,0.6,1.4,48919.0,59685.0,2.9,1188.0,1683094.0,91.0,0
1,7.0,3.0,2349.0,187.0,145.0,0.4,1.0,125987.0,42591.0,3.1,2499.0,1612197.0,88.0,0
2,1.0,1.0,1810.0,93.0,81.0,0.2,0.4,50921.0,53982.0,2.5,812.0,1756151.0,95.0,0
3,18.0,9.0,4329.0,551.0,421.0,0.9,2.2,198421.0,52142.0,4.6,2349.0,1534362.0,82.0,0
4,5.0,2.0,2912.0,303.0,243.0,0.4,1.6,42119.0,63259.0,3.4,1722.0,1697203.0,89.0,0
5,14.0,8.0,3821.0,475.0,383.0,0.7,2.1,59658.0,44418.0,4.1,2010.0,1601856.0,85.0,0
6,3.0,1.0,1569.0,141.0,119.0,0.3,0.5,39291.0,51319.0,2.2,941.0,1744291.0,92.0,0
7,11.0,5.0,3289.0,399.0,329.0,0.6,1.8,53091.0,62358.0,3.8,2492.0,1625519.0,86.0,0
8,9.0,4.0,2612.0,281.0,227.0,0.5,1.4,46319.0,54182.0,3.3,1995.0,1704921.0,90.0,0
9,6.0,3.0,2231.0,201.0,165.0,0.4,1.2,39851.0,47591.0,2.9,1515.0,1731388.0,91.0,0
10,12.0,6.0,3519.0,421.0,319.0,4.51,3.21,421191.0,118439.0,2.2,381.0,1482191.0,83.0,0
11,25.0,18.0,4821.0,591.0,451.0,6.31,2.91,537982.0,201219.0,2.8,291.0,1254671.0,79.0,0
12,6.0,3.0,2019.0,219.0,194.0,1.29,1.49,183921.0,59172.0,1.9,511.0,1638129.0,88.0,0
13,40.0,25.0,6191.0,732.0,591.0,8.19,3.59,649391.0,261911.0,3.1,421.0,1394561.0,74.0,0
14,19.0,11.0,3819.0,463.0,371.0,4.93,2.69,502191.0,193439.0,2.5,351.0,1512191.0,81.0,0
15,8.0,5.0,2619.0,321.0,294.0,1.99,1.79,243921.0,74172.0,2.1,591.0,1698129.0,85.0,0
16,30.0,21.0,5419.0,681.0,571.0,6.59,3.31,609391.0,251911.0,3.3,491.0,1454561.0,76.0,0
17,14.0,8.0,3219.0,401.0,351.0,3.59,2.49,441191.0,171439.0,2.4,431.0,1582191.0,82.0,0
18,22.0,15.0,4619.0,581.0,481.0,5.31,2.91,569391.0,221911.0,2.9,371.0,1494561.0,78.0,0
19,10.0,6.0,3019.0,361.0,331.0,2.49,1.99,401191.0,151439.0,2.2,531.0,1658129.0,84.0,0
20,8.3,2.1,5819.0,261.0,193.0,2.5,4.2,381119.0,118391.0,3.1,421.0,1248191.0,88.0,0
21,15.6,11.9,6911.0,391.0,208.0,3.8,7.1,493819.0,154391.0,4.3,319.0,1439911.0,79.0,0
22,6.5,0.9,4381.0,231.0,151.0,1.9,3.5,274391.0,83191.0,2.3,538.0,1091911.0,91.0,0
23,11.9,6.8,6231.0,301.0,186.0,2.2,4.8,412819.0,194391.0,3.5,289.0,1349911.0,85.0,0
24,4.8,2.5,5091.0,191.0,161.0,1.6,2.9,351191.0,104391.0,2.9,478.0,1191911.0,89.0,0
25,9.2,4.3,5681.0,251.0,175.0,2.1,4.1,392819.0,129391.0,3.2,349.0,1299911.0,86.0,0
26,7.8,1.4,4811.0,221.0,151.0,1.8,3.2,314819.0,94491.0,2.6,598.0,1049911.0,90.0,0
27,13.4,9.5,7211.0,361.0,206.0,3.5,7.4,523819.0,174391.0,4.6,269.0,1499911.0,78.0,0
28,5.9,0.7,4081.0,201.0,141.0,1.5,2.7,294819.0,76491.0,2.2,568.0,1059911.0,92.0,0
29,10.3,5.6,5931.0,281.0,181.0,2.3,4.6,432819.0,164391.0,3.4,309.0,1319911.0,84.0,0
30,11.0,2.0,1874.0,129.0,91.0,1.8,2.8,52119.0,83172.0,2.2,501.0,1088239.0,89.0,0
31,67.0,49.0,1231.0,82.0,79.0,0.6,0.6,20151.0,65827.0,3.8,1831.0,1033518.0,92.0,0
32,5.0,1.0,2921.0,249.0,151.0,1.2,1.6,60410.0,98719.0,1.9,381.0,1064211.0,85.0,0
33,19.0,13.0,2049.0,193.0,133.0,4.8,5.4,71529.0,75219.0,4.1,427.0,1392198.0,75.0,0
34,40.0,29.0,1428.0,108.0,93.0,0.8,0.8,24361.0,68251.0,2.5,1621.0,1041818.0,90.0,0
35,8.0,2.0,2511.0,298.0,189.0,0.8,1.2,84619.0,103261.0,2.1,341.0,1071749.0,88.0,0
36,24.0,18.0,1963.0,166.0,125.0,3.6,4.2,59459.0,83159.0,3.3,454.0,1406751.0,76.0,0
37,13.0,4.0,2695.0,236.0,164.0,1.6,2.4,93148.0,98752.0,2.4,395.0,1075409.0,84.0,0
38,52.0,39.0,1295.0,94.0,85.0,0.6,0.6,19151.0,65827.0,3.2,1731.0,1033518.0,91.0,0
39,6.0,2.0,2988.0,276.0,193.0,1.4,2.0,66510.0,104087.0,2.0,349.0,1069949.0,86.0,0
40,38.0,18.0,4211.0,431.0,198.0,3.15,4.19,283119.0,118311.0,2.1,1089.0,1635211.0,89.0,0
41,49.0,40.0,3951.0,521.0,291.0,4.38,2.95,394857.0,195821.0,1.9,501.0,1209821.0,91.0,0
42,28.0,14.0,3198.0,379.0,261.0,2.46,3.64,227854.0,143192.0,2.5,819.0,1463901.0,85.0,0
43,19.0,25.0,4582.0,492.0,219.0,3.81,4.46,351219.0,261982.0,1.8,991.0,1687319.0,90.0,0
44,44.0,33.0,2821.0,411.0,244.0,2.19,3.11,194857.0,129821.0,2.2,691.0,1410111.0,88.0,0
45,34.0,20.0,4019.0,451.0,201.0,4.09,2.87,294119.0,184311.0,1.7,591.0,1230981.0,92.0,0
46,27.0,17.0,4468.0,481.0,228.0,3.53,4.29,268854.0,151192.0,2.4,761.0,1519019.0,86.0,0
47,42.0,35.0,3689.0,501.0,259.0,2.67,3.36,211219.0,159821.0,2.0,531.0,1343901.0,89.0,0
48,31.0,22.0,4241.0,461.0,209.0,3.98,2.99,259857.0,173311.0,1.6,671.0,1400981.0,91.0,0
49,48.0,39.0,3948.0,521.0,292.0,4.23,2.91,401219.0,206821.0,1.9,451.0,1210111.0,90.0,0
50,5.0,2.0,2018.0,191.0,141.0,1.8,2.0,235119.0,198721.0,3.1,1050.0,1543211.0,85.0,0
51,12.0,6.0,4079.0,319.0,229.0,2.4,1.8,391235.0,284391.0,5.3,2089.0,1234567.0,83.0,0
