proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
520,3.65,2.5,22.5,1.0,12.51,2.35,0.32,1.58,96,2.38,2.36,0,2.81
562,5.72,2.95,18.0,1.03,13.32,2.63,0.28,1.85,94,2.8,0.79,1,1.65
630,4.6,2.0,20.0,0.96,12.83,2.85,0.32,1.36,90,1.75,0.0,0,1.73
415,3.8,2.04,18.0,1.12,12.38,3.02,0.36,0.0,88,2.32,2.03,1,1.7
407,4.6,2.48,22.5,0.88,12.42,2.48,0.26,2.65,94,2.6,2.35,1,1.76
650,5.65,2.92,22.5,1.19,12.87,3.18,0.5,1.37,96,1.0,1.72,1,2.48
630,3.8,1.68,13.5,0.98,12.33,1.0,0.53,1.68,122,2.4,1.98,1,3.38
895,3.2,2.0,17.5,1.01,13.08,3.51,0.26,1.08,118,2.5,3.17,0,3.1
835,4.2,2.25,19.0,0.92,12.38,3.28,0.52,1.04,124,2.86,2.73,2,1.74
680,1.25,2.0,18.5,1.08,12.67,2.56,0.32,1.68,86,1.63,2.53,1,1.83
1060,2.0,2.6,16.7,0.98,13.32,2.59,0.32,1.28,98,2.3,1.83,1,2.0
595,4.76,2.43,20.0,0.76,13.48,2.83,0.29,2.92,108,2.3,2.51,0,3.0
1020,4.5,2.0,18.0,1.14,13.65,2.76,0.17,0.82,81,2.98,0.57,1,1.59
672,5.25,2.65,19.0,1.25,13.21,3.0,0.29,0.0,88,2.6,3.1,2,1.64
407,2.9,2.98,18.6,1.26,14.0,2.94,0.53,1.45,118,3.2,3.22,1,3.04
630,3.7,2.58,19.0,1.0,12.64,2.61,0.43,1.04,122,2.35,2.74,1,1.73
780,3.98,2.38,19.0,1.02,13.0,2.82,0.17,0.89,108,1.64,0.67,0,1.65
510,3.6,2.28,18.5,0.87,13.28,1.0,0.34,2.68,88,2.65,2.92,2,1.64
635,3.6,2.42,18.0,1.57,13.83,2.61,0.35,1.25,162,2.45,1.51,0,1.73
1225,3.0,2.74,19.0,0.73,12.72,3.13,0.24,1.25,1080,2.9,2.0,1,2.58
450,2.9,2.7,22.5,0.96,14.04,1.61,0.0,0.88,78,1.3,0.58,1,1.96
1285,3.0,2.57,16.0,0.89,13.35,3.28,0.6,2.61,108,2.75,2.58,1,1.61
480,3.9,2.24,19.0,0.94,13.68,2.6,0.3,1.0,104,1.75,0.83,2,1.67
345,4.64,2.58,22.6,0.92,13.28,1.93,0.48,0.9,85,1.63,0.95,0,1.96
735,3.0,2.29,18.8,0.7,14.45,2.45,0.16,1.45,112,1.57,1.64,1,3.0
650,5.1,2.19,16.0,1.03,13.75,1.85,0.27,1.0,86,1.42,0.58,1,3.03
1050,4.0,2.68,24.0,0.75,12.88,2.66,0.0,1.08,127,2.95,1.56,1,1.73
1375,3.9,2.39,20.0,0.74,12.84,1.56,0.22,2.0,96,1.42,0.66,2,1.35
520,2.2,2.37,22.5,1.04,13.0,1.28,0.37,1.65,96,1.35,0.37,1,1.61
750,7.6,2.22,16.0,1.05,13.0,1.57,0.34,1.63,80,1.0,0.64,1,1.83
