proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
1045,2.4,2.75,20.0,0.95,13.23,2.0,0.21,1.65,103,2.5,1.75,0,3.05
895,3.2,2.0,17.5,1.01,13.08,3.51,0.26,1.08,118,2.5,3.17,0,3.1
699,5.4,2.4,16.0,1.12,13.27,2.36,0.27,1.57,96,3.0,3.36,0,1.89
625,3.8,2.36,20.0,0.89,14.09,1.92,0.3,1.56,1002,1.9,0.0,2,1.68
630,3.7,2.58,19.0,1.0,12.64,2.61,0.43,1.04,122,2.35,2.74,1,1.73
595,4.76,2.43,20.0,0.76,13.48,2.83,0.29,2.92,108,2.3,2.51,0,3.0
428,3.8,2.1,18.5,0.76,12.28,2.88,0.24,1.96,132,1.37,0.63,1,1.0
380,2.7,2.26,21.0,0.0,13.0,2.95,0.24,1.45,103,2.7,0.63,2,1.92
750,5.5,2.45,22.5,0.76,12.37,1.36,0.53,0.86,97,1.45,0.0,0,1.65
510,3.6,2.28,18.5,0.87,13.28,1.0,0.34,2.68,88,2.65,2.92,2,1.64
600,4.32,2.1,18.5,0.0,13.29,2.95,0.27,1.25,98,1.96,1.96,0,2.75
520,2.2,2.37,22.5,1.04,13.0,1.28,0.37,1.65,96,1.35,0.37,1,1.61
415,4.6,2.25,19.5,1.04,12.64,1.62,0.27,0.98,86,1.0,0.61,0,2.69
520,3.24,2.38,19.0,0.96,13.61,3.35,0.28,1.64,97,2.98,0.0,2,3.46
672,6.32,2.0,18.0,0.63,12.81,2.79,0.41,2.02,98,2.7,2.65,0,1.0
615,3.2,2.29,17.5,1.04,12.88,2.92,0.6,1.77,94,1.37,2.19,1,3.0
660,6.6,2.1,18.5,0.0,12.83,3.1,0.22,1.68,94,1.74,2.28,1,3.24
595,8.05,2.2,16.2,0.0,12.69,3.59,0.26,1.61,97,2.8,0.6,2,1.83
562,2.6,2.13,20.5,1.15,13.53,2.58,0.32,1.0,103,2.95,2.62,0,2.66
278,5.6,2.35,16.7,0.9,12.0,3.42,0.21,1.25,132,2.0,2.64,0,1.95
500,5.6,2.0,20.0,1.09,12.98,1.56,0.27,1.48,107,1.52,0.75,2,1.56
630,5.9,2.1,19.0,1.13,12.37,3.1,0.53,2.05,88,2.0,2.65,0,1.88
680,1.25,2.0,18.5,1.08,12.67,2.56,0.32,1.68,86,1.63,2.53,1,1.83
562,4.56,2.23,16.0,1.13,12.22,3.12,0.24,2.05,88,2.0,3.45,0,3.0
650,5.1,2.19,16.0,1.03,13.75,1.85,0.27,1.0,86,1.42,0.58,1,3.03
345,4.4,2.0,18.0,0.89,13.03,1.96,0.43,1.06,120,1.6,1.59,11,2.58
638,5.8,2.25,20.0,1.12,13.64,1.69,0.17,1.83,94,2.65,3.26,1,1.0
595,5.65,2.0,19.5,0.59,12.66,2.48,0.17,1.28,92,2.7,2.72,0,2.74
1095,4.8,2.21,19.0,1.03,13.1,2.82,0.28,2.45,106,1.94,1.0,0,1.67
520,3.3,2.37,16.8,1.01,12.02,3.75,0.29,1.35,97,2.5,2.04,0,1.0
