proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
345,4.64,2.58,22.6,0.92,13.28,1.93,0.48,0.9,85,1.63,0.95,0,1.96
1225,3.0,2.74,19.0,0.73,12.72,3.13,0.24,1.25,1080,2.9,2.0,1,2.58
6505,2.05,2.6,16.7,0.93,13.88,1.39,0.34,1.36,86,1.0,0.83,1,1.86
780,5.1,2.7,20.0,1.04,13.26,1.0,0.29,1.65,88,2.1,3.04,0,1.65
380,2.7,2.26,21.0,0.0,13.0,2.95,0.24,1.45,103,2.7,0.63,2,1.92
10350,5.6,2.12,16.6,0.89,14.68,3.43,0.3,1.02,780,2.9,0.73,0,1.57
845,5.35,2.1,20.0,1.01,12.12,3.22,0.0,1.83,80,2.67,0.58,2,1.96
520,2.2,2.37,22.5,1.04,13.0,1.28,0.37,1.65,96,1.35,0.37,1,1.61
560,5.6,2.28,22.6,0.88,12.77,2.6,0.33,1.62,86,2.93,3.17,2,1.83
835,3.5,2.7,19.0,1.05,12.0,2.42,0.27,1.42,118,2.2,2.0,1,4.0
7153,10.7,2.6,18.5,1.08,12.0,2.76,0.28,0.92,89,2.85,0.89,1,1.74
895,3.2,2.0,17.5,1.01,13.08,3.51,0.26,1.08,118,2.5,3.17,0,3.1
680,3.4,2.2,19.0,0.95,13.52,3.28,0.17,1.25,86,2.99,2.0,1,2.05
625,3.8,2.36,20.0,0.89,14.09,1.92,0.3,1.56,1002,1.9,0.0,2,1.68
760,5.3,2.0,19.0,0.88,12.78,2.63,0.5,1.28,94,1.0,2.35,1,1.61
510,2.72,2.35,18.0,1.04,13.83,3.26,0.17,1.53,90,2.65,1.75,0,2.75
1280,2.6,2.88,23.0,1.06,12.28,3.28,0.29,1.51,84,2.3,0.0,1,1.61
500,7.7,2.19,24.0,0.82,12.0,1.37,0.53,0.81,85,3.7,3.36,0,1.76
650,5.65,2.92,22.5,1.19,12.87,3.18,0.5,1.37,96,1.0,1.72,1,2.48
1095,4.8,2.21,19.0,1.03,13.1,2.82,0.28,2.45,106,1.94,1.0,0,1.67
685,4.9,2.16,20.0,1.13,12.38,2.0,0.29,2.42,89,2.6,2.36,2,1.65
520,3.65,2.5,22.5,1.0,12.51,2.35,0.32,1.58,96,2.38,2.36,0,2.81
428,3.27,2.65,16.0,0.9,13.23,3.17,0.0,1.65,107,1.4,0.55,0,1.98
1050,5.4,2.6,17.0,0.77,12.37,1.25,0.21,1.83,120,2.48,0.56,1,1.75
680,5.48,2.17,16.5,1.06,12.07,3.29,0.0,1.88,88,2.95,2.75,1,3.38
625,5.3,2.36,21.5,0.67,13.87,2.62,0.3,0.0,98,1.6,1.75,2,1.75
1095,4.9,2.28,18.5,0.96,13.68,3.28,0.26,0.89,92,2.0,0.81,0,1.38
699,5.4,2.4,16.0,1.12,13.27,2.36,0.27,1.57,96,3.0,3.36,0,1.89
380,5.28,2.35,19.0,1.06,12.37,1.0,0.26,1.35,80,1.65,1.27,0,3.57
835,4.2,2.25,19.0,0.92,12.38,3.28,0.52,1.04,124,2.86,2.73,2,1.74
