,Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor,real_identifier
0,150.0,250.0,20.0,3.0,20.0,5.0,35.0,75.0,100.0,1.0,4.0,8.0,5.0,2500.0,16.0,12.0,300.0,50.0,15.0,20.0,850.0,0.4,-1.0,-1.0,0
1,90.0,280.0,45.0,4.0,25.0,1.0,40.0,54.0,180.0,2.0,5.0,6.0,11.0,600.0,14.0,10.0,2300.0,60.0,18.0,35.0,865.0,0.33,-1.0,-1.0,0
2,35.0,150.0,14.0,1.0,45.0,8.0,28.0,34.0,70.0,0.0,5.0,12.0,7.0,1750.0,14.0,12.0,350.0,90.0,-1.0,55.0,890.0,0.29,-1.0,0.75,0
3,45.0,190.0,47.0,2.0,60.0,3.0,54.0,2.0,160.0,0.0,3.0,3.0,9.0,2100.0,22.0,11.0,250.0,170.0,10.0,1.0,-1.0,-1.0,-1.0,0.5,0
4,330.0,70.0,8.0,5.0,15.0,2.0,-22.0,-40.0,130.0,0.0,5.0,5.0,6.0,1100.0,6.0,11.0,160.0,150.0,28.0,950.0,875.0,0.28,-1.0,-1.0,0
5,80.0,380.0,35.0,5.0,110.0,1.0,-13.0,-73.0,140.0,1.0,4.0,13.0,9.0,1900.0,8.0,11.0,70.0,65.0,14.0,950.0,730.0,-1.0,-1.0,-1.0,0
6,210.0,240.0,49.0,7.0,80.0,1.0,45.0,-106.0,55.0,1.0,5.0,7.0,3.0,2650.0,8.0,14.0,30.0,4.0,11.0,18.0,830.0,-1.0,-1.0,-1.0,0
7,15.0,200.0,47.0,2.0,65.0,3.0,59.0,1.0,25.0,0.0,5.0,3.0,6.0,2300.0,18.0,11.0,170.0,115.0,21.0,190.0,825.0,0.45,-1.0,0.85,0
8,220.0,400.0,49.0,7.0,40.0,2.0,31.0,-96.0,65.0,1.0,3.0,3.0,2.0,3500.0,18.0,11.0,90.0,25.0,12.0,0.5,775.0,-1.0,-1.0,0.4,0
9,205.0,120.0,19.0,3.0,60.0,3.0,5.0,107.0,170.0,0.0,5.0,6.0,5.0,800.0,19.0,11.0,1800.0,60.0,22.0,175.0,800.0,0.6,-1.0,-1.0,0
10,150.0,200.0,10.0,3.0,90.0,2.0,45.1234,120.5678,140.0,1.0,3.0,4.0,5.0,1500.0,10.0,8.0,100.0,50.0,18.0,100.0,850.0,0.5,-1.0,0.7,0
11,260.0,220.0,5.0,4.0,110.0,1.0,50.5678,10.1234,150.0,0.0,4.0,3.0,6.0,1800.0,8.0,10.0,120.0,60.0,20.0,200.0,860.0,0.4,-1.0,-1.0,0
12,300.0,250.0,15.0,5.0,100.0,0.0,52.3456,14.5678,160.0,1.0,5.0,6.0,9.0,2000.0,12.0,7.0,140.0,70.0,15.0,300.0,870.0,0.6,-1.0,0.8,0
13,180.0,190.0,12.0,2.0,95.0,3.0,44.6789,115.6789,170.0,0.0,2.0,2.0,4.0,1300.0,5.0,9.0,90.0,45.0,22.0,50.0,840.0,0.3,-1.0,-1.0,0
14,220.0,210.0,7.0,6.0,105.0,4.0,48.4567,112.3456,180.0,1.0,1.0,5.0,3.0,1700.0,7.0,6.0,110.0,55.0,19.0,150.0,830.0,0.7,-1.0,0.6,0
15,340.0,260.0,18.0,7.0,120.0,2.0,46.1234,118.5678,190.0,0.0,5.0,1.0,7.0,1600.0,9.0,11.0,130.0,65.0,17.0,250.0,880.0,0.2,-1.0,0.5,0
16,290.0,230.0,9.0,8.0,130.0,5.0,49.789,119.8901,200.0,1.0,4.0,3.0,8.0,1900.0,11.0,10.0,150.0,75.0,16.0,350.0,890.0,0.55,-1.0,-1.0,0
17,310.0,240.0,14.0,9.0,140.0,0.0,47.5678,116.2345,210.0,0.0,3.0,4.0,2.0,1400.0,6.0,12.0,80.0,40.0,23.0,60.0,810.0,0.25,-1.0,0.4,0
18,230.0,270.0,20.0,1.0,150.0,1.0,51.2345,117.6789,220.0,1.0,2.0,2.0,1.0,2100.0,13.0,5.0,170.0,85.0,21.0,400.0,820.0,0.45,-1.0,0.9,0
