,Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor,real_identifier
0,156.0,289.0,23.0,5.0,45.0,1.0,32.75,-118.42,98.0,1.0,5.0,7.0,3.0,2850.0,14.0,12.0,310.0,68.0,18.5,80.0,852.34,0.39,-1.0,-1.0,0
1,103.0,412.0,50.0,7.0,88.0,2.0,-15.21,-56.89,144.0,0.0,3.0,9.0,6.0,1320.0,12.0,10.0,200.0,145.0,22.0,600.0,785.12,-1.0,-1.0,0.72,0
2,287.0,194.0,36.0,3.0,112.0,5.0,40.19,39.55,73.0,0.0,5.0,8.0,9.0,4100.0,19.0,11.0,290.0,34.0,12.8,10.0,836.9,0.47,-1.0,-1.0,0
3,79.0,325.0,19.0,6.0,67.0,0.0,23.44,-82.36,160.0,1.0,2.0,4.0,5.0,2150.0,10.0,11.0,180.0,102.0,19.0,450.0,-1.0,-1.0,-1.0,0.58,0
4,41.0,266.0,42.0,4.0,93.0,6.0,-28.02,134.43,112.0,0.0,5.0,10.0,4.0,1980.0,16.0,11.0,450.0,180.0,24.0,850.0,868.45,0.33,-1.0,-1.0,0
5,192.0,144.0,47.0,2.0,55.0,7.0,62.5,17.0,88.0,0.0,5.0,6.0,7.0,2600.0,13.0,11.0,300.0,85.0,15.0,200.0,840.76,0.41,-1.0,-1.0,0
6,66.0,350.0,31.0,8.0,101.0,3.0,-33.86,149.01,133.0,1.0,5.0,5.0,2.0,1650.0,9.0,11.0,275.0,98.0,17.0,120.0,825.31,0.38,-1.0,-1.0,0
7,228.0,401.0,43.0,5.0,76.0,4.0,50.45,-108.57,102.0,1.0,3.0,11.0,10.0,2400.0,8.0,11.0,190.0,72.0,20.0,300.0,790.22,-1.0,-1.0,0.65,0
8,134.0,217.0,27.0,1.0,89.0,8.0,47.61,-122.33,150.0,0.0,5.0,3.0,8.0,3200.0,20.0,11.0,250.0,130.0,14.0,150.0,832.67,0.44,-1.0,-1.0,0
9,95.0,333.0,49.0,7.0,105.0,0.0,-19.85,-43.98,124.0,0.0,5.0,2.0,1.0,1420.0,11.0,11.0,210.0,105.0,16.0,90.0,810.48,0.36,-1.0,-1.0,0
10,412.0,307.0,15.0,1.0,89.0,4.0,34.0522,-118.2437,133.0,0.0,5.0,3.0,8.0,1823.6,8.0,12.0,189.0,88.5,23.0,650.0,892.456,0.31,-1.0,-1.0,0
11,245.0,122.0,41.0,5.0,76.0,0.0,-12.0464,-77.0428,92.0,0.0,5.0,2.0,3.0,1340.0,7.0,11.0,142.0,61.0,26.0,1500.0,881.732,0.47,-1.0,-1.0,0
12,189.0,88.0,22.0,7.0,44.0,3.0,40.7128,-74.006,67.0,0.0,5.0,6.0,7.0,2150.0,11.0,9.0,200.0,95.0,22.0,950.0,920.891,0.29,-1.0,-1.0,0
13,372.0,255.0,10.0,4.0,33.0,2.0,-33.8688,151.2093,144.0,0.0,3.0,9.0,10.0,1685.0,13.0,8.0,130.0,58.0,18.0,35.0,-1.0,-1.0,-1.0,0.62,0
14,101.0,54.0,29.0,0.0,61.0,1.0,19.4326,-99.1332,178.0,0.0,5.0,4.0,6.0,1050.0,14.0,11.0,230.0,35.0,28.0,2200.0,870.123,-1.0,-1.0,-1.0,0
15,314.0,190.0,6.0,2.0,18.0,9.0,-34.6037,-58.3816,11.0,0.0,5.0,2.0,5.0,720.0,7.0,10.0,25.0,18.0,-1.0,1800.0,945.345,0.41,-1.0,-1.0,0
16,276.0,63.0,5.0,6.0,122.0,0.0,51.5074,-0.1278,166.0,1.0,0.0,1.0,2.0,500.0,7.0,11.0,35.0,28.0,29.0,500.0,1020.456,-1.0,-1.0,-1.0,0
17,398.0,8.0,37.0,3.0,108.0,9.0,61.524,105.3188,189.0,1.0,5.0,5.0,4.0,2850.0,10.0,11.0,80.0,29.0,-1.0,130.0,835.678,0.38,-1.0,-1.0,0
18,205.0,2.0,37.0,3.0,114.0,0.0,56.9496,24.1052,90.0,1.0,5.0,6.0,2.0,1600.0,5.0,11.0,22.0,14.0,21.0,190.0,810.567,0.55,-1.0,-1.0,0
19,410.0,277.0,9.0,6.0,116.0,0.0,50.4501,-104.6067,156.0,1.0,3.0,7.0,9.0,2500.0,12.0,7.0,680.0,45.0,5.0,0.8,830.123,-1.0,-1.0,0.82,0
20,215.0,189.0,22.0,3.0,78.0,1.0,41.15,-115.23,88.0,1.0,5.0,8.0,4.0,1890.0,14.0,12.0,140.0,42.3,23.0,350.0,845.0,0.37,-1.0,-1.0,0
