mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.4,42,5.5,6,59,198,170,0.857,0.298,33,3
1.81,57,3.778,9,103,306,250,0.817,0.337,34,9
2.01,81,4.6,10,163,460,388,0.843,0.354,46,20
1.86,21,2.286,7,39,112,99,0.884,0.346,16,86
2.75,4,0.833,6,11,30,26,0.867,0.367,5,30
2.07,60,4.4,10,124,440,286,0.654,0.282,44,3
1.36,25,2.429,7,34,119,103,0.866,0.286,17,91
2.47,121,8.444,9,299,684,650,0.95,0.437,76,0.764
1.65,65,4.7,10,107,470,332,0.706,0.228,47,14
1.87,53,4.25,8,99,272,204,0.75,0.363,34,272
1.26,353,49.429,7,445,2422,1761,0.727,0.184,346,1.526
2.25,60,5.625,8,135,360,344,0.956,0.375,45,240
1.64,14,1.833,6,23,66,44,0.667,0.348,11,66
1.34,31,3.286,7,42,161,109,0.677,0.26,23,23
2.05,20,1.5,8,41,96,90,0.938,0.427,12,0.571
2.04,26,1.6,10,53,160,140,0.875,0.331,16,0.804
1.71,7,0.857,7,12,42,36,0.857,0.286,6,42
1.33,198,17.222,9,264,1395,1000,0.717,0.189,155,0.
2.58,12,2.5,6,31,90,65,0.722,0.344,15,60
1.6,5,1.2,5,8,30,30,1,0.267,6,6
1.29,351,49.429,7,454,2422,1851,0.764,0.187,346,1692
1.57,14,2.333,6,22,84,84,1,0.262,14,84
1.63,16,1.25,8,26,80,73,0.913,0.325,10,80
2.42,25,1.875,8,61,120,94,0.783,0.508,15,10
2.71,17,1.5,8,46,96,96,1,0.479,12,96
2.04,26,1.6,10,53,160,120,0.75,0.331,16,0.75
1.93,84,6.125,8,162,392,298,0.76,0.413,49,0.413
2.22,9,1.167,6,20,42,41,0.976,0.476,7,41
2.33,3,0.571,7,7,28,24,0.857,0.25,4,24
2.09,119,8.333,9,249,675,632,0.937,0.369,75,13
2.25,148,14.1,10,333,1410,910,0.645,0.236,141,9
1.71,28,2.714,7,48,133,121,0.91,0.361,19,10
2.71,7,1.857,7,19,91,77,0.846,0.209,13,0.846
2.45,11,1.286,7,27,63,43,0.683,0.429,9,63
2.1,61,4.2,10,128,420,338,0.805,0.305,42,2
1.82,22,2.286,7,40,112,107,0.955,0.357,16,89
1.76,121,11.111,9,213,900,678,0.748,0.237,100,100
1.4,75,7.286,7,105,357,315,0.881,0.293,51,252
1.38,24,2.571,7,33,126,126,1,0.262,18,126
1.27,191,18.444,9,242,1494,1040,0.695,0.162,166,0.695
1.93,85,6.625,8,164,424,377,0.888,0.386,53,0.
1.84,57,3.3,10,105,330,250,0.758,0.318,33,3
1.69,52,4.25,8,88,272,204,0.75,0.323,34,272
1.63,8,1.6,5,13,40,36,0.9,0.325,8,1
1.75,4,0.571,7,7,28,25,0.893,0.25,4,28
1.87,108,6.3,10,202,630,479,0.761,0.321,63,22
