mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.02,65,4.5,8,131,288,252,0.875,0.456,36,17
1.69,140,11.222,9,236,909,651,0.717,0.259,101,8
1.91,33,2.222,9,63,180,131,0.728,0.35,20,76
1.67,15,1.833,6,25,66,54,0.818,0.379,11,11
1.4,43,4.286,7,60,210,183,0.871,0.286,30,14
1.83,6,1.4,5,11,35,30,0.857,0.314,7,0.7
1.81,57,4.125,8,103,264,264,1,0.39,33,264
2.67,3,0.6,5,8,15,15,1,0.533,3,15
2.28,18,2.333,6,41,84,84,1,0.488,14,84
1.36,175,29.286,7,238,1435,1126,0.786,0.166,205,13
1.26,222,19.444,9,279,1575,983,0.624,0.177,175,7
1.34,149,14.667,9,199,1188,823,0.693,0.168,132,11
1.69,16,1.857,7,27,91,85,0.934,0.297,13,13
2.04,27,2.333,9,55,189,104,0.548,0.291,21,2
1.76,121,13.375,8,213,856,575,0.673,0.249,107,107
1.44,27,2.429,7,39,119,87,0.731,0.328,17,10
1.69,13,2.2,5,22,55,55,1,0.4,11,55
1.41,17,1.857,7,24,91,79,0.868,0.264,13,0.857
2.2,35,2.667,9,77,216,196,0.907,0.356,24,3
2.22,9,1.167,6,20,42,41,0.976,0.476,7,41
1.88,8,1.4,5,15,35,33,0.943,0.429,7,20
2.45,11,1.286,7,27,63,43,0.683,0.429,9,63
1.87,53,4.25,8,99,272,204,0.75,0.363,34,272
2.63,99,10.25,8,260,656,468,0.713,0.396,82,0.713
1.57,14,2.333,6,22,84,73,0.868,0.262,14,0.857
1.76,121,13.143,7,213,644,603,0.938,0.331,92,92
2.22,9,1.167,6,20,42,41,0.976,0.476,7,41
1.39,181,16.778,9,251,1359,769,0.566,0.185,151,0.
1.93,358,30.222,9,691,2448,1642,0.67,0.283,272,1566
1.97,431,24.727,11,847,2992,2104,0.703,0.283,272,2096
1.82,11,0.857,7,20,42,41,0.976,0.476,6,2
1.35,37,3.714,7,50,182,166,0.912,0.275,26,82
1.41,17,1.571,7,24,77,65,0.844,0.312,11,11
1.29,64,6.571,7,83,322,173,0.537,0.258,46,0.
2.75,59,4.667,9,162,378,369,0.976,0.429,42,0.857
1.29,77,7.625,8,99,488,412,0.846,0.203,61,0.618
2.44,57,4.444,9,139,360,320,0.889,0.386,40,2
2.21,39,2.167,12,86,312,259,0.83,0.276,26,17
1.88,8,1.6,5,15,40,36,0.9,0.375,8,38
1.83,18,1.125,8,33,72,65,0.903,0.458,9,9
1.57,7,1.571,7,11,77,43,0.558,0.143,11,11
1.75,16,1.571,7,28,77,70,0.909,0.364,11,55
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
2.13,155,2.136,22,330,1034,794,0.767,0.319,47,47
2.01,84,5.455,11,169,660,546,0.827,0.256,60,3
1.36,45,3.375,8,61,216,196,0.907,0.282,27,9
1.87,91,5.182,11,170,627,362,0.577,0.271,57,0.
2.25,4,0.714,7,9,35,20,0.571,0.257,5,20
1.97,31,2.375,8,61,152,149,0.98,0.401,19,105
1.94,17,1.857,7,33,91,91,1,0.363,13,13
1.46,13,1.571,7,19,77,47,0.61,0.247,11,11
1.41,17,1.429,7,24,70,70,1,0.343,10,70
1.84,31,2.25,8,57,144,127,0.882,0.396,18,9
1.64,14,2.167,6,23,78,70,0.897,0.295,13,78
2.09,119,8.333,9,249,675,632,0.936,0.369,75,12
2.67,3,0.8,5,8,20,14,0.7,0.4,4,10
2.25,4,1,4,9,16,15,0.938,0.563,4,16
1.87,30,2.857,7,56,140,140,1,0.4,20,20
1.5,10,1.286,7,15,63,39,0.619,0.238,9,21
2.33,3,0.571,7,7,28,24,0.857,0.25,4,28
1.77,13,1.571,7,23,77,50,0.649,0.299,11,11
2.44,32,2.25,8,78,144,141,0.979,0.542,18,2
1.81,42,2.1,10,76,210,196,0.933,0.362,21,21
1.58,197,16.444,9,313,1332,891,0.669,0.236,148,9
1.76,21,1.857,7,37,91,89,0.978,0.407,13,13
1.58,58,5,8,92,320,290,0.906,0.288,40,9
1.86,190,11.9,10,353,1190,959,0.805,0.296,119,0.805
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
1.27,575,66.875,8,732,4280,2844,0.662,0.171,535,0
1.71,7,1.571,7,12,77,43,0.558,0.156,11,11
1.53,15,1.833,6,23,66,66,1,0.348,11,11
1.35,54,4.429,7,73,217,217,1,0.336,31,217
1.6,73,5.444,9,117,441,328,0.744,0.265,49,3
