mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.33,18,1.429,7,24,70,55,0.786,0.343,10,2
1.33,15,2,7,20,98,98,1,0.204,14,98
1.77,13,1.857,7,23,91,91,1,0.253,13,13
1.57,28,2.571,7,44,126,126,1,0.349,18,126
1.88,17,1.25,8,32,80,80,1,0.4,10,80
1.33,15,1.833,6,20,66,64,0.97,0.303,11,11
1.69,32,2.714,7,54,133,133,1,0.406,19,133
2.22,27,2.111,9,60,171,147,0.86,0.351,19,0.333
1.81,27,1.625,8,49,104,104,1,0.471,13,104
1.97,65,4.1,10,128,410,301,0.735,0.312,41,2
1.35,31,4.6,5,42,115,105,0.913,0.365,23,23
2.11,9,1.4,5,19,35,35,1,0.543,7,7
2.05,40,3.375,8,82,216,216,1,0.38,27,11
1.94,386,23.818,11,747,2882,2154,0.749,0.259,262,17
1.82,22,2.429,7,40,119,108,0.908,0.336,17,0.905
2.13,155,11.889,9,330,963,632,0.656,0.343,107,8
2.22,27,2.333,9,60,189,161,0.85,0.317,21,3
1.31,55,4.875,8,72,312,233,0.747,0.231,39,0.932
2.18,11,0.875,8,24,56,56,1,0.429,7,7
1.27,575,49.9,10,731,4990,2993,0.6,0.147,499,3
1.64,28,2.571,7,46,126,120,0.952,0.365,18,10
2.08,12,1.125,8,25,72,65,0.903,0.347,9,0.727
2.5,6,1.4,5,15,35,31,0.886,0.429,7,21
1.35,20,1.571,7,27,77,74,0.961,0.351,11,56
1.75,8,1.4,5,14,35,33,0.943,0.4,7,20
1.81,21,2.429,7,38,119,111,0.933,0.319,17,14
2.86,7,1.125,8,20,72,36,0.5,0.278,9,72
1.93,30,2.857,7,58,140,140,1,0.414,20,20
2.42,55,5,8,133,320,318,0.991,0.416,40,320
2.04,26,1.6,10,53,160,120,0.75,0.331,16,0.75
1.86,21,1.5,8,39,96,86,0.896,0.406,12,0.5
1.39,120,14,8,167,896,704,0.786,0.187,112,0.5
1.36,25,2.571,7,34,126,90,0.714,0.27,18,113
1.36,44,4.857,7,60,238,238,1,0.252,34,238
2.07,29,2.25,8,60,144,134,0.931,0.417,18,2
2.02,84,4.667,12,169,672,524,0.78,0.252,56,9
1.93,84,7.111,9,162,576,471,0.818,0.281,64,0.818
1.82,11,1.143,7,20,56,53,0.946,0.357,8,8
1.88,8,1,7,15,49,47,0.959,0.306,7,49
1.88,59,3.8,10,111,380,341,0.897,0.292,38,0.897
1.87,15,2.167,6,28,78,71,0.91,0.359,13,9
1.64,14,2.167,6,23,78,70,0.897,0.295,13,78
1.57,63,4.857,7,99,238,236,0.992,0.415,34,238
2.2,5,0.667,6,11,24,24,1,0.458,4,24
2.07,14,2.286,7,29,112,112,1,0.259,16,112
1.81,42,2.3,10,76,230,181,0.791,0.33,23,9
1.38,24,3.167,6,33,114,90,0.789,0.289,19,2
1.71,7,0.857,7,12,42,36,0.857,0.286,6,42
1.71,14,2.6,5,24,65,49,0.754,0.365,13,2
1.26,222,19.444,9,279,1575,983,0.624,0.177,175,7
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
1.39,47,3.556,9,65,288,225,0.781,0.226,32,2
2.03,135,11.333,9,274,918,805,0.877,0.299,102,0.857
1.86,7,1,7,13,49,29,0.592,0.265,7,1
1.81,57,3.3,10,103,330,250,0.758,0.311,33,6
1.36,25,1.625,8,34,104,103,0.99,0.327,13,97
2.08,12,2.6,5,25,65,61,0.938,0.385,13,9
2.13,24,2.625,8,51,168,123,0.731,0.303,21,168
1.87,121,13.143,7,226,644,569,0.884,0.351,92,0.
1.34,596,59.222,9,799,4797,2841,0.592,0.167,533,15
1.31,26,3.333,6,34,120,111,0.925,0.283,20,79
1.44,27,3.429,7,39,168,130,0.774,0.232,24,24
1.44,9,1.167,6,13,42,36,0.857,0.31,7,0.571
1.31,39,4.286,7,51,210,176,0.838,0.243,30,98
1.91,116,9.222,9,222,747,561,0.751,0.297,83,6
2.09,11,1.125,8,23,72,46,0.639,0.319,9,0.771
2.18,11,1.125,8,24,72,57,0.792,0.333,9,9
2.09,11,1.429,7,23,70,44,0.623,0.329,10,10
1.43,67,6.714,7,96,329,274,0.833,0.292,47,2
2.17,6,0.5,8,13,32,25,0.781,0.406,4,1
1.67,15,1.833,6,25,66,54,0.818,0.379,11,4
1.39,18,2.6,5,25,65,61,0.938,0.385,13,9
2.1,10,0.875,8,21,56,56,1,0.375,7,56
2.47,64,5.222,9,158,423,383,0.905,0.373,47,3
2.67,3,1.4,5,8,35,21,0.6,0.229,7,21
2.11,19,2.125,8,40,136,85,0.623,0.294,17,0.786
2.2,20,1.5,8,44,96,96,1,0.458,12,96
1.36,42,3.857,7,57,189,146,0.772,0.302,27,9
2.75,4,0.833,6,11,30,26,0.867,0.367,5,30
2.23,40,3.375,8,89,216,216,1,0.411,27,216
2.2,30,2.333,9,66,189,171,0.905,0.349,21,0.
2.03,118,9,9,240,729,632,0.866,0.329,81,9
2.23,66,3.5,10,147,350,289,0.826,0.42,35,4
1.5,46,3.222,9,69,261,160,0.613,0.265,29,0.
1.38,8,1.167,6,11,42,39,0.929,0.262,7,7
1.81,57,3.778,9,103,306,250,0.817,0.337,34,9
2.2,137,10.222,9,302,828,790,0.955,0.365,92,0.783
1.93,124,8.444,9,239,684,603,0.882,0.349,76,0.882
1.82,51,3.4,10,93,340,272,0.8,0.273,34,2
2.2,5,0.667,6,11,24,24,1,0.458,4,24
1.77,13,1.286,7,23,63,56,0.889,0.365,9,63
1.58,12,1.6,5,19,40,39,0.975,0.475,8,38
2.2,10,2.2,5,22,55,45,0.818,0.4,11,0.545
1.67,21,1.5,8,35,96,89,0.927,0.365,12,0.923
1.33,12,2.6,5,16,65,54,0.831,0.246,13,65
1.36,135,11.889,9,184,963,713,0.739,0.191,107,0.739
2.11,19,1.5,8,40,96,93,0.969,0.417,12,0.417
2.11,18,1.5,8,38,96,81,0.844,0.396,12,9
2.1,48,4.5,8,101,288,225,0.781,0.35,36,288
1.93,80,6.556,9,154,531,443,0.835,0.29,59,443
2.11,19,2,7,40,98,96,0.98,0.408,14,98
1.41,69,6.714,7,97,329,236,0.717,0.294,47,2
2.2,30,2.333,9,66,189,171,0.905,0.351,21,0.
2.42,126,9.111,9,304,738,693,0.939,0.412,82,11
1.84,116,7.9,10,213,790,620,0.784,0.27,79,0.786
2.11,130,10.333,9,274,837,765,0.91,0.327,93,0.75
1.64,14,1.833,6,23,66,44,0.667,0.348,11,11
