fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.4,737,2,1061923,78,4.4,114,1,91,2392,61724,0.4,12325
0.4,1937,3,1528755,134,2.6,123,0,91,1836,96646,0.4,84584
0.8,185,1,998364,139,1.3,206,0,84,3469,107732,1,349894
1.8,5023,3,1828699,45,2.4,84,1,93,800,135494,1.8,299827
1.8,12077,4,1884030,19,1.6,43,1,92,566,11764,1.6,44143
0.2,6161,1,1726408,70,2,120,0,96,1324,6116,0.2,1216
2.6,438,26,1624590,218,3.8,254,7,84,3382,118569,5.8,357905
3.4,480,5,1067037,292,1,313,0,86,1904,19059,1,133461
0.2,2046,22,1642926,59,2,60,29,97,1873,52693,0.2,4773
0.4,162,2,1015463,47,1.3,50,0,97,761,13543,1.8,2130
0.4,1181,49,1105947,128,1.3,113,59,91,1874,29613,0.4,1665
2,398,3,1217598,238,2.4,392,0,85,3992,44662,2,189671
2.79,146,7,1004453,273,2.2,358,2,80,4246,54008,3.79,179635
0.2,6764,1,1822459,31,1.4,53,1,97,210,257278,0.2,279001
2.2,175,7,1067270,81,2,102,0,90,1534,6221,2.99,171314
1.8,6912,57,1860856,22,1.4,21,0,93,687,57878,3.01,303675
0.2,3702,13,1346824,124,3.6,232,4,94,3185,178492,0.2,255812
0.8,6132,4,1856736,15,1,13,2,97,234,11215,0.4,14481
2,133,60,1016803,96,4.2,131,73,85,3005,31396,1.8,47890
0.2,2740,1,1051534,148,1,171,0,92,2414,60014,0.2,59875
0.2,6297,19,1857310,29,1,13,24,98,205,27060,0.2,7545
0.2,92,8,8,83,205,125,6,0,1651,27983,0.2,12146
0.4,2180,0,994131,104,2,151,0,91,1691,18703,1.8,23410
0.2,5946,13,1864240,38,1.2,38,19,96,419,11716,0.2,19140
0.2,8351,2,1865738,16,1.4,43,1,97,284,11296,0.2,261161
0.6,146,2,1038672,101,2.4,175,0,91,2181,67121,1.2,201428
0.6,219,1,991712,46,1.5,93,0,92,1027,76199,0.6,199463
0.6,269,2,1033670,110,1.5,140,0,91,1214,71852,0.6,127451
