fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.6,3125,1,1707618,62,2.2,90,1,96,963,14319,0.6,91754
0.2,991,0,1761512,35,1.2,43,0,93,380,949,0.2,984
1.8,600,11,1540770,86,3.4,137,1,89,2794,46936,1.8,159150
1.4,193,21,1078453,207,5.2,254,4,85,9442,49688,4.4,191709
0.2,843,27,1760616,82,2.4,111,37,93,1226,28976,0.2,56128
2.8,18755,4,1873638,14,1.5,43,1,86,429,14860,7.8,166357
6.41,134,5,1108418,131,1.6,198,0,74,3166,64504,18.04,168952
1.2,456,3,1058054,103,1,131,0,88,2417,71620,2.81,193434
0.8,207,8,1719907,67,2,72,6,93,496,49585,2,58479
3.8,2613,12,1794333,37,1.4,71,8,79,775,40041,4.2,125517
0.2,647,3,1748749,30,1,35,2,98,267,14033,0.2,9632
2.6,315,5,1130874,204,2,387,2,81,2929,215294,2.6,288065
0.4,213,10,978721,166,1,213,10,88,3924,29018,0.4,15944
0.4,1549,5,1023907,86,1.3,102,3,95,1065,27168,0.6,8540
0.2,140,1,1034957,62,1.5,114,0,93,1333,21894,0.2,141952
4.21,163,146,1018099,340,1,495,36,62,4654,247350,9.82,617073
0.2,446,3,1060850,129,1.6,118,2,93,1452,25934,0.2,54165
0.2,2094,1,1642685,62,2,62,0,98,1965,52915,0.2,7315
0.4,6153,3,1723610,386,2.2,544,1,89,3384,38071,1.79,26014
0.8,1616,35,1708194,36,1.4,62,47,94,628,9809,1,181004
6.21,1526,21,1037688,208,1.6,445,10,75,3047,429810,7.21,654086
1.4,577,7,1309229,178,6.4,289,2,86,3252,107777,1.6,131226
0.8,1086,13,977825,141,1.5,161,9,91,1378,26040,1.2,108636
0.6,432,14,1045750,117,1.8,146,12,91,1714,49598,0.4,174069
2.2,402,28,1006272,330,4.8,351,4,68,5380,756590,1.4,416770
0.6,17,27,13,241,655,322,17,0,2414,329191,1.2,373412
0.2,154,1,1124693,67,2,87,0,94,1758,20539,0.2,4382
1.6,155,9,1300448,178,4.6,263,3,86,2562,145190,1.6,326297
0.2,1074,14,1081952,84,1.7,204,14,94,1448,29623,0.2,34116
1,199,51,1006,175,111,220,59,84,1258,127713,2,240480
0.2,473,1,979804,67,2.2,126,1,96,1173,21694,0.2,15351
0.2,473,13,985461,1673,2.2,1854,12,87,8866,70699,0.2,50069
1.6,7544,3,1861499,24,1,31,1,90,388,58793,1.6,49659
2.8,280,285,1066042,367,1.4,417,79,79,2780,312911,4.4,278259
0.2,1997,2,1644750,67,2,70,1,97,1738,51313,0.2,7281
0.4,274,3,1069417,320,2,297,0,89,3868,77856,0.4,48385
0.2,392,2,1709522,108,2,90,1,95,3363,47814,0.2,12711
