,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,real_identifier
0,6.3,3.1,5.8,2.2,2.0,0
1,5.9,3.0,4.9,1.8,1.0,0
2,5.2,4.0,1.6,0.4,0.0,0
3,7.1,2.7,6.1,1.9,2.0,0
4,5.3,3.6,1.7,0.5,0.0,0
5,6.5,3.2,6.2,2.7,2.0,0
6,5.1,3.7,1.4,0.6,0.0,0
7,6.9,3.0,4.9,1.6,1.0,0
8,6.9,2.9,5.0,1.7,1.0,0
9,6.2,2.9,4.1,1.4,1.0,0
10,5.7,2.9,4.9,1.6,1.0,0
11,6.3,3.1,5.1,1.7,1.0,0
12,5.9,2.7,4.8,1.3,1.0,0
13,6.2,3.0,5.0,1.5,1.0,0
14,5.6,2.8,4.6,1.4,1.0,0
15,4.7,3.2,1.6,0.2,0.0,0
16,6.1,2.9,4.9,1.6,1.0,0
17,5.8,2.7,4.7,1.3,1.0,0
18,4.9,3.1,1.5,0.3,0.0,0
19,5.5,3.0,1.4,0.4,0.0,0
20,5.8,3.1,4.2,1.2,1.0,0
21,4.9,3.5,1.7,0.3,0.0,0
22,6.1,2.7,4.6,1.6,2.0,0
23,5.3,3.2,1.3,0.3,0.0,0
24,4.7,3.8,1.8,0.4,0.0,0
25,6.0,2.5,4.1,1.1,1.0,0
26,5.2,3.6,1.5,0.3,0.0,0
27,5.9,3.0,4.4,1.4,2.0,0
28,4.5,3.3,1.2,0.2,0.0,0
29,5.7,3.4,1.9,0.5,0.0,0
30,6.1,2.9,4.7,1.6,1.0,0
31,5.9,3.2,4.3,1.4,1.0,0
32,5.5,3.1,1.8,0.3,0.0,0
33,6.3,2.8,5.3,2.0,2.0,0
34,5.6,3.0,4.1,1.3,1.0,0
35,6.2,3.4,5.0,1.9,2.0,0
36,5.3,3.6,1.9,0.4,0.0,0
37,5.8,2.9,4.4,1.5,1.0,0
38,6.0,3.1,4.8,1.7,1.0,0
39,5.7,3.3,1.6,0.2,0.0,0
40,6.4,3.4,5.3,2.0,2.0,0
41,5.5,3.1,1.8,0.5,0.0,0
42,6.1,2.9,5.2,2.1,2.0,0
43,5.8,3.3,1.9,0.7,0.0,0
44,5.1,2.7,3.8,1.2,1.0,0
45,6.8,3.2,5.6,2.2,2.0,0
46,5.6,3.0,1.7,0.4,0.0,0
47,6.3,2.8,5.1,1.9,2.0,0
48,5.9,3.5,1.6,0.3,0.0,0
49,6.2,2.6,5.4,2.0,2.0,0
50,6.2,2.9,4.8,1.6,1.0,0
51,6.9,3.1,5.5,2.1,2.0,0
52,5.8,2.7,4.2,1.4,1.0,0
53,6.1,2.6,4.9,1.7,2.0,0
54,6.4,3.2,5.3,2.0,2.0,0
55,5.9,2.8,4.6,1.5,1.0,0
56,6.6,3.0,5.1,1.9,2.0,0
57,6.0,2.9,4.8,1.6,1.0,0
58,6.7,3.3,5.6,2.2,2.0,0
59,5.7,2.6,4.1,1.3,1.0,0
60,5.7,2.9,4.1,1.3,1.0,0
61,6.2,3.1,5.3,1.7,2.0,0
62,5.1,3.4,1.4,0.2,0.0,0
63,5.8,2.8,4.4,1.4,1.0,0
64,5.4,3.0,1.2,0.2,0.0,0
65,6.0,2.9,4.8,1.5,1.0,0
66,5.9,3.2,5.5,1.8,2.0,0
67,5.2,3.5,1.3,0.2,0.0,0
68,5.6,2.7,4.3,1.3,1.0,0
69,5.5,3.1,1.1,0.1,0.0,0
70,5.8,3.2,4.8,1.4,1.0,0
71,6.1,2.9,5.5,1.9,2.0,0
72,5.3,3.5,1.6,0.3,0.0,0
73,5.9,3.8,1.8,0.5,0.0,0
74,6.5,3.0,5.0,1.6,2.0,0
75,4.8,3.2,1.6,0.3,0.0,0
76,6.0,2.8,5.2,1.7,2.0,0
77,5.2,2.6,3.2,1.2,1.0,0
78,4.9,3.6,1.5,0.4,0.0,0
79,6.3,2.4,4.7,1.4,1.0,0
80,6.3,3.1,5.4,2.0,2.0,0
81,5.4,3.3,1.8,0.3,0.0,0
82,7.0,3.2,6.0,2.3,2.0,0
83,6.1,2.9,5.2,2.0,2.0,0
84,5.8,3.5,1.9,0.4,0.0,0
85,6.8,3.1,5.6,2.1,2.0,0
86,5.2,3.6,1.7,0.3,0.0,0
87,6.6,3.0,5.5,2.1,2.0,0
88,5.5,3.4,1.8,0.3,0.0,0
89,6.2,3.1,5.3,2.0,2.0,0
90,5.8,3.1,5.1,2.0,2.0,0
91,4.8,3.3,1.5,0.3,0.0,0
92,6.5,3.2,5.6,2.2,2.0,0
93,5.2,3.4,1.6,0.4,0.0,0
94,6.1,3.0,5.3,2.1,2.0,0
95,4.6,3.1,1.4,0.2,0.0,0
96,5.9,3.5,5.2,2.0,2.0,0
97,4.9,3.2,1.5,0.3,0.0,0
98,6.3,3.3,5.5,2.2,2.0,0
99,5.5,3.4,1.6,0.4,0.0,0
100,5.3,3.1,1.6,0.3,0.0,0
101,6.2,2.9,4.8,1.5,1.0,0
102,5.8,3.3,1.8,0.4,0.0,0
103,7.1,3.1,6.1,2.2,2.0,0
104,5.5,3.6,1.5,0.2,0.0,0
105,6.4,2.7,4.9,1.6,1.0,0
106,5.0,3.2,1.3,0.2,0.0,0
107,6.9,3.3,5.7,2.1,2.0,0
108,5.9,3.4,1.7,0.3,0.0,0
109,6.1,2.8,4.6,1.4,1.0,0
110,5.8,3.1,1.9,0.6,0.0,0
111,6.2,2.8,4.1,1.2,1.0,0
112,5.5,3.5,1.8,0.5,0.0,0
113,7.3,2.7,6.2,2.1,2.0,0
114,5.1,3.2,1.4,0.3,0.0,0
115,6.9,3.3,5.1,1.9,2.0,0
116,6.5,3.0,4.6,1.5,1.0,0
117,5.3,3.8,1.7,0.4,0.0,0
118,7.1,2.9,6.5,2.2,2.0,0
119,6.1,3.4,4.9,1.7,1.0,0
120,5.5,3.0,1.8,0.4,0.0,0
121,7.2,3.2,6.0,2.1,2.0,0
122,5.3,3.5,1.7,0.5,0.0,0
123,4.9,3.1,1.9,0.6,0.0,0
124,7.6,2.9,6.3,2.0,2.0,0
125,5.2,3.2,1.6,0.4,0.0,0
126,6.5,3.3,5.8,2.5,2.0,0
127,5.9,2.9,4.3,1.4,1.0,0
128,5.6,2.8,4.0,1.3,1.0,0
129,5.4,2.7,3.7,1.1,1.0,0
130,6.2,3.1,5.5,2.1,2.0,0
131,5.9,2.8,4.8,1.8,1.0,0
132,6.5,3.2,5.8,2.5,2.0,0
133,5.3,3.5,1.8,0.3,0.0,0
134,6.8,3.0,5.1,1.9,2.0,0
135,5.6,2.6,4.3,1.4,1.0,0
136,6.1,3.3,5.4,2.2,2.0,0
137,5.4,3.1,1.7,0.3,0.0,0
138,6.9,2.9,5.2,2.0,2.0,0
139,5.7,2.5,4.1,1.2,1.0,0
140,5.8,3.1,4.3,1.2,1.0,0
141,6.1,2.8,4.9,1.6,1.0,0
142,5.3,3.4,1.2,0.3,0.0,0
143,6.5,3.0,5.2,1.9,2.0,0
144,5.0,3.6,1.4,0.3,0.0,0
145,6.2,2.5,4.7,1.4,1.0,0
146,5.9,3.3,1.1,0.2,0.0,0
147,6.8,3.2,5.8,2.0,2.0,0
148,5.4,3.5,1.3,0.3,0.0,0
149,6.0,2.9,4.5,1.3,1.0,0
0,5.8,2.8,5.1,2.4,2.0,1
1,6.0,2.2,4.0,1.0,1.0,1
2,5.5,4.2,1.4,0.2,0.0,1
3,7.3,2.9,6.3,1.8,2.0,1
4,5.0,3.4,1.5,0.2,0.0,1
5,6.3,3.3,6.0,2.5,2.0,1
6,5.0,3.5,1.3,0.3,0.0,1
7,6.7,3.1,4.7,1.5,1.0,1
8,6.8,2.8,4.8,1.4,1.0,1
9,6.1,2.8,4.0,1.3,1.0,1
10,6.1,2.6,5.6,1.4,2.0,1
11,6.4,3.2,4.5,1.5,1.0,1
12,6.1,2.8,4.7,1.2,1.0,1
13,6.5,2.8,4.6,1.5,1.0,1
14,6.1,2.9,4.7,1.4,1.0,1
15,4.9,3.1,1.5,0.1,0.0,1
16,6.0,2.9,4.5,1.5,1.0,1
17,5.5,2.6,4.4,1.2,1.0,1
18,4.8,3.0,1.4,0.3,0.0,1
19,5.4,3.9,1.3,0.4,0.0,1
20,5.6,2.8,4.9,2.0,2.0,1
21,5.6,3.0,4.5,1.5,1.0,1
22,4.8,3.4,1.9,0.2,0.0,1
23,4.4,2.9,1.4,0.2,0.0,1
24,6.2,2.8,4.8,1.8,2.0,1
25,4.6,3.6,1.0,0.2,0.0,1
26,5.1,3.8,1.9,0.4,0.0,1
27,6.2,2.9,4.3,1.3,1.0,1
28,5.0,2.3,3.3,1.0,1.0,1
29,5.0,3.4,1.6,0.4,0.0,1
30,6.4,3.1,5.5,1.8,2.0,1
31,5.4,3.0,4.5,1.5,1.0,1
32,5.2,3.5,1.5,0.2,0.0,1
33,6.1,3.0,4.9,1.8,2.0,1
34,6.4,2.8,5.6,2.2,2.0,1
35,5.2,2.7,3.9,1.4,1.0,1
36,5.7,3.8,1.7,0.3,0.0,1
37,6.0,2.7,5.1,1.6,1.0,1
38,5.9,3.0,4.2,1.5,1.0,1
39,5.8,2.6,4.0,1.2,1.0,1
40,6.8,3.0,5.5,2.1,2.0,1
41,4.7,3.2,1.3,0.2,0.0,1
42,6.9,3.1,5.1,2.3,2.0,1
43,5.0,3.5,1.6,0.6,0.0,1
44,5.4,3.7,1.5,0.2,0.0,1
45,5.0,2.0,3.5,1.0,1.0,1
46,6.5,3.0,5.5,1.8,2.0,1
47,6.7,3.3,5.7,2.5,2.0,1
48,6.0,2.2,5.0,1.5,2.0,1
49,6.7,2.5,5.8,1.8,2.0,1
50,5.6,2.5,3.9,1.1,1.0,1
51,7.7,3.0,6.1,2.3,2.0,1
52,6.3,3.3,4.7,1.6,1.0,1
53,5.5,2.4,3.8,1.1,1.0,1
54,6.3,2.7,4.9,1.8,2.0,1
55,6.3,2.8,5.1,1.5,2.0,1
56,4.9,2.5,4.5,1.7,2.0,1
