,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,real_identifier
0,1,85,292,11,108,20,0,0,100,-7,7,8,22,2,23,3,1,1,10,-8,2,2,0,36,0
1,0,72,50,16,30,8,1,1,88,5,0,6,9,1,44,-7,2,2,68,70,2,3,1,89,0
2,1,88,186,24,92,28,0,0,100,-7,7,8,30,1,30,18,0,0,3,-8,2,2,0,33,0
3,0,58,43,15,25,7,1,1,86,7,0,6,8,1,50,-7,2,2,75,80,2,3,1,88,0
4,1,84,278,10,104,19,0,0,100,-7,7,8,21,2,24,2,1,1,12,-8,2,2,0,38,0
5,0,66,56,17,32,9,1,1,89,6,0,6,10,1,40,-7,2,2,72,78,2,3,1,90,0
6,1,90,203,25,96,29,0,0,100,-7,7,8,31,1,29,19,0,0,4,-8,2,2,0,32,0
7,0,62,48,16,28,8,1,1,88,7,0,6,9,1,44,-7,2,2,74,76,2,3,1,89,0
8,1,86,210,9,99,20,0,0,100,-7,7,8,23,2,22,1,1,1,11,-8,2,2,0,39,0
9,0,64,53,18,31,9,1,1,90,6,0,6,10,1,40,-7,2,2,70,74,2,3,1,90,0
10,0,83,191,11,65,18,0,0,94,-3,5,7,19,1,26,3,1,1,58,-6,3,2,1,89,0
11,1,76,247,8,96,25,0,0,92,1,4,6,27,2,22,2,2,2,49,55,6,3,0,81,0
12,0,60,134,6,51,16,0,0,93,-4,6,7,17,1,29,1,1,1,67,-5,4,2,1,88,0
13,1,71,201,9,73,20,0,0,95,2,5,6,21,1,24,3,2,2,41,58,5,3,0,86,0
14,0,68,162,7,59,19,0,0,90,0,5,6,20,2,25,2,1,1,55,-6,4,2,1,85,0
15,1,85,270,10,101,26,0,0,96,1,4,6,27,2,23,3,2,2,48,57,6,3,0,83,0
16,0,62,145,5,54,17,0,0,94,-2,6,7,18,1,28,2,1,1,63,-5,4,2,1,89,0
17,1,78,223,9,84,24,0,0,92,2,5,6,25,2,24,3,2,2,43,59,6,3,0,84,0
18,0,66,178,8,64,20,0,0,90,1,5,6,21,2,26,2,1,1,53,-6,5,2,1,86,0
19,1,80,251,10,95,27,0,0,96,1,4,6,28,2,24,3,2,2,46,58,6,3,0,83,0
20,0,71,201,13,95,15,0,0,96,-7,5,7,16,2,38,3,1,1,53,-9,3,2,1,60,0
21,1,85,314,20,141,20,0,0,98,-7,6,8,21,1,42,2,0,0,29,-8,2,3,0,55,0
22,1,78,241,11,105,12,0,0,92,10,5,6,13,1,31,1,1,1,41,-8,2,1,1,58,0
23,0,62,143,9,73,10,0,0,90,12,4,6,11,1,27,-7,0,0,56,-9,2,1,2,54,0
24,1,88,269,14,129,18,0,0,96,-7,6,8,19,0,39,4,1,1,32,-8,2,2,0,52,0
25,0,70,187,10,86,14,0,0,94,9,5,7,15,1,35,2,0,0,51,-9,3,2,1,60,0
26,1,83,299,16,137,19,0,0,98,-7,6,8,20,0,43,1,0,0,28,-8,2,3,0,55,0
27,1,76,223,12,103,13,0,0,92,11,5,6,14,1,33,-7,0,0,44,-9,2,1,2,57,0
28,0,65,159,8,76,11,0,0,91,13,4,6,12,1,29,3,1,1,55,-9,2,1,1,54,0
29,1,90,283,18,134,21,0,0,98,-7,6,8,22,0,40,2,0,0,30,-8,2,2,0,53,0
30,1,83,201,4,91,28,0,0,96,18,5,7,29,3,41,3,3,3,42,61,10,4,5,86,0
31,0,59,68,1,34,14,1,1,93,12,6,9,15,3,47,2,4,3,51,65,6,3,1,90,0
32,1,81,243,2,82,39,0,0,97,15,5,7,40,4,38,4,2,2,39,58,11,5,6,88,0
33,1,72,187,3,76,25,0,0,96,20,6,8,26,2,42,5,1,1,46,62,9,4,5,85,0
34,0,65,98,2,44,17,1,1,94,14,6,9,18,3,50,3,3,2,53,66,7,3,2,89,0
35,1,85,278,1,95,41,0,0,98,17,5,7,42,4,40,4,2,2,41,59,12,5,6,88,0
36,1,78,219,2,85,36,0,0,97,19,6,8,37,3,39,5,1,1,45,61,10,5,5,86,0
37,0,63,82,1,39,16,1,1,95,16,6,9,17,3,53,3,3,2,54,67,8,3,2,91,0
38,1,80,251,2,88,40,0,0,98,18,5,7,41,4,41,4,2,2,42,60,12,5,6,88,0
39,1,74,203,3,80,32,0,0,97,21,6,8,33,2,38,5,1,1,46,62,10,5,5,86,0
40,0,74,191,14,61,24,0,0,96,-7,7,8,25,2,32,0,1,1,41,67,3,5,1,56,0
41,1,82,249,10,93,28,0,0,97,0,4,6,29,1,28,9,0,0,19,51,4,3,1,59,0
42,0,60,129,16,45,15,1,1,87,3,5,7,20,0,40,0,2,2,85,42,2,5,0,55,0
43,1,77,219,5,85,32,0,0,94,-7,7,8,33,3,33,1,1,1,62,76,5,2,2,55,0
44,0,72,181,12,58,22,0,0,95,0,4,6,23,2,30,0,1,1,46,61,3,4,1,61,0
45,1,79,266,8,91,35,0,0,97,-7,7,8,36,1,25,9,0,0,28,55,4,3,1,58,0
46,0,65,151,15,50,18,1,1,89,2,5,7,22,0,36,0,2,2,79,45,2,5,0,55,0
47,1,75,204,11,79,29,0,0,96,0,4,6,30,2,27,1,1,1,53,69,4,3,1,57,0
48,0,59,139,17,42,16,1,1,86,4,5,7,21,0,38,0,2,2,88,44,2,5,0,55,0
49,1,81,241,9,89,34,0,0,98,-7,7,8,35,1,26,9,0,0,31,56,4,3,1,60,0
50,1,85,210,10,90,22,0,0,98,-7,7,8,22,2,41,8,0,0,45,61,6,4,2,91,0
51,0,72,322,25,115,19,2,2,88,17,6,3,21,1,36,10,1,1,30,5,8,2,1,86,0
52,1,81,278,5,95,25,0,0,100,-7,7,8,25,4,44,0,0,0,58,72,9,5,3,96,0
53,0,68,201,15,85,20,1,1,90,11,6,2,22,2,39,9,2,2,25,3,7,3,1,85,0
54,1,89,230,8,100,24,0,0,99,-7,7,8,24,3,42,7,0,0,51,68,8,5,2,94,0
55,0,75,310,20,110,18,2,2,86,19,6,3,20,1,35,11,1,1,32,6,9,2,1,88,0
56,1,79,250,6,90,26,0,0,100,-7,7,8,26,5,45,0,0,0,60,74,10,6,3,98,0
57,0,70,220,12,90,21,1,1,91,13,6,2,23,2,40,8,2,2,28,4,8,3,1,87,0
58,1,87,240,9,105,27,0,0,100,-7,7,8,27,4,43,6,0,0,54,70,9,6,2,96,0
59,0,76,300,22,115,19,2,2,87,20,6,3,21,1,36,12,1,1,34,7,10,2,1,90,0
60,0,73,91,5,49,25,0,0,96,-7,5,6,26,3,19,0,1,1,41,74,8,2,2,77,0
61,1,82,148,19,66,9,0,0,89,22,5,5,9,1,44,-7,1,1,17,69,2,3,1,78,0
62,0,65,107,9,54,31,1,1,87,31,6,6,32,2,16,0,0,0,35,62,11,2,1,65,0
63,1,78,129,14,61,12,0,0,92,20,5,5,13,1,38,-7,1,1,23,72,3,2,0,80,0
64,0,69,96,6,48,20,0,0,95,-7,5,6,21,2,14,0,2,2,44,85,6,1,3,81,0
65,1,85,162,21,71,6,0,0,83,24,6,6,6,0,50,-7,1,1,15,67,1,2,0,75,0
66,0,63,102,8,52,29,1,1,86,29,6,6,30,3,18,0,0,0,38,64,10,2,1,67,0
67,1,80,141,16,65,10,0,0,90,21,5,5,11,1,40,-7,1,1,25,73,3,2,0,82,0
68,0,72,92,5,50,24,0,0,96,-7,5,6,25,2,13,0,2,2,46,84,7,1,3,80,0
69,1,74,124,11,59,15,0,0,93,19,5,5,16,2,31,-7,1,1,28,76,4,2,0,81,0
70,1,78,102,5,51,20,0,0,100,-7,7,8,20,2,35,0,1,1,15,-6,2,1,0,40,0
