proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
560,3.45,2.75,17.5,1.06,14.4,2.6,0.39,1.68,109,1.68,1.32,1,2.7
520,2.8,2.4,21.0,0.93,13.6,2.6,0.48,1.55,98,2.1,1.58,1,2.4
510,3.3,1.1,16.0,0.7,10.0,2.45,0.28,2.2,96,2.8,1.5,1,1.4
750,4.8,2.1,17.6,1.1,13.37,2.6,0.23,1.16,94,2.45,2.6,1,1.24
510,3.5,2.4,19.0,1.03,12.5,2.1,0.28,1.28,96,2.4,1.4,1,2.7
720,3.5,1.3,20.0,0.4,13.5,2.7,0.3,1.4,98,2.1,2.6,1,1.2
1285,3.7,2.17,22.6,0.78,12.38,2.47,0.28,2.06,85,1.5,1.4,0,0.76
720,3.2,2.6,20.0,0.6,11.5,3.07,0.22,1.27,93,2.6,1.65,0,1.68
510,3.2,2.6,19.0,1.03,12.5,2.1,0.28,1.29,96,2.4,1.4,1,2.7
780,2.5,2.25,22.5,0.64,13.2,2.62,0.45,1.53,110,2.28,1.42,1,2.1
530,3.2,2.48,19.5,1.02,12.5,2.1,0.32,1.43,94,1.95,1.1,0,1.8
690,2.5,1.05,19.0,0.56,12.2,2.75,0.38,1.42,97,1.3,1.48,1,1.05
740,3.5,1.2,18.0,0.7,9.5,2.45,0.3,2.1,95,2.2,1.5,1,1.6
780,2.4,2.3,22.0,0.62,13.1,2.63,0.43,1.45,110,2.45,1.4,1,2.1
720,3.8,2.16,18.0,0.84,13.52,2.55,0.3,1.5,98,3.25,1.5,2,1.3
690,3.1,2.7,20.0,1.25,14.6,2.7,0.38,2.08,118,2.6,1.85,1,2.2
580,2.7,2.38,21.5,1.08,13.7,2.3,0.25,1.6,89,2.5,1.95,0,1.7
860,2.6,2.52,17.3,1.12,13.65,2.9,0.34,0.53,106,1.6,2.5,1,2.2
710,2.8,2.1,17.0,0.57,11.0,2.5,0.3,2.05,98,2.5,1.62,1,1.4
720,5.1,2.5,19.2,1.02,13.25,2.7,0.28,1.46,87,2.3,2.7,1,1.6
650,2.8,1.7,18.0,0.78,13.1,2.67,0.36,1.41,96,3.4,0.41,0,1.68
1045,3.1,2.1,14.0,0.48,13.2,2.5,0.28,1.8,95,2.85,2.88,1,1.05
710,4.8,1.1,22.0,0.41,13.5,2.6,0.3,1.3,91,1.7,2.6,1,1.85
570,3.65,2.4,19.0,1.07,14.4,2.5,0.38,1.78,102,2.55,1.88,1,2.4
610,2.5,1.92,18.5,0.63,12.5,2.55,0.3,2.1,96,2.6,1.28,1,1.3
860,3.6,2.68,18.0,0.84,12.7,2.88,0.2,1.5,104,2.5,1.65,1,2.28
560,3.8,2.62,19.0,1.08,13.6,2.3,0.27,1.5,87,2.2,2.25,1,1.35
1010,4.8,2.36,16.7,1.16,13.2,3.2,0.34,0.68,103,2.1,2.5,1,1.3
750,2.9,1.6,19.0,0.62,9.0,2.7,0.24,1.6,96,2.9,1.5,1,1.35
750,2.7,1.72,17.0,0.73,13.2,2.55,0.4,1.37,97,2.8,0.39,0,1.6
