state_code,bird,lon,lat,lat_zone
50,26,-110.11,44.27,2
15,19,-85.46,40.51,2
46,16,-72.9,42.79,2
33,18,-117.2,39.15,2
28,26,-101.16,46.82,2
4,7,-116.42,34.61,2
50,26,-110.89,42.77,2
34,12,-75.63,43.02,2
15,19,-87.49,40.58,2
27,19,-80.81,36.11,2
40,8,-82.09,33.61,2
32,14,-108.25,32.39,2
27,19,-83.23,35.08,2
13,18,-115.39,44.99,2
31,13,-75.19,39.31,2
42,20,-87.54,35.18,2
41,24,-102.89,45.53,2
27,19,-78.5,35.41,2
1,29,-85.08,32.44,2
18,3,-92.47,32.63,2
2,20,-91.83,34.21,2
31,13,-74.82,39.63,2
49,19,-81.52,37.52,2
36,25,-97.74,34.04,2
46,16,-72.28,44.21,2
31,13,-74.84,40.62,2
14,19,-89.15,40.66,2
3,5,-111.47,36.39,2
32,14,-106.79,35.32,2
17,19,-88.26,37.28,2
15,19,-86.11,40.37,2
7,21,-77.07,38.9,2
33,18,-119,39.36,2
0,28,-154.27,67.46,0
15,19,-87.08,39.12,2
3,5,-110.84,31.53,2
36,25,-99.43,35.26,2
5,17,-104.6,40.44,2
40,8,-80.85,34.32,2
36,25,-99.23,35.14,2
37,26,-117.66,45.46,2
38,19,-76.73,41.92,2
15,19,-85.89,38.42,2
11,15,-155.78,19.51,1
39,23,-71.24,41.48,2
30,22,-71.34,44.89,2
7,21,-77.03,38.88,2
25,20,-89.61,33.08,2
44,6,-110.43,37.01,2
11,15,-155.43,19.49,1
23,10,-94.27,46.13,2
45,19,-79.83,37.4,2
27,19,-77.64,35.39,2
42,20,-85.37,36.13,2
4,7,-118.02,34.96,2
44,6,-114.03,39.76,2
2,20,-91.75,35.68,2
38,19,-75.4,41.2,2
17,19,-88.03,36.89,2
36,25,-98.49,36.13,2
19,2,-71.5,42.58,2
13,18,-117.1,44.62,2
45,19,-79.27,38.34,2
32,14,-108.51,34.26,2
15,19,-86.34,38.56,2
41,24,-99,45.49,2
13,18,-116.46,42.63,2
10,4,-84.8,33.45,2
32,14,-106.24,34.64,2
17,19,-82.93,36.89,2
38,19,-76.05,40.54,2
41,24,-101.27,45.26,2
0,28,-154.91,70.01,0
28,26,-101.79,48.84,2
40,8,-81.36,33.87,2
23,10,-95.27,45.92,2
17,19,-85.22,38.34,2
15,19,-85.3,40.91,2
33,18,-114.8,36.26,2
26,26,-112.99,48.06,2
19,2,-71.5,42.58,2
13,18,-117.1,44.62,2
45,19,-79.27,38.34,2
32,14,-108.51,34.26,2
15,19,-86.34,38.56,2
41,24,-99,45.49,2
13,18,-116.46,42.63,2
10,4,-84.8,33.45,2
32,14,-106.24,34.64,2
17,19,-82.93,36.89,2
47,27,-120.72,47.56,2
22,0,-85.06,43.79,2
1,29,-86.01,34.65,2
12,13,-95.24,42.05,2
18,3,-93.12,30.22,2
49,19,-81.8,38.88,2
20,1,-75.8,39.58,2
32,14,-106.04,34.68,2
5,17,-108.06,40.32,2
43,20,-99.58,30.29,2
12,13,-93.91,41.97,2
47,27,-124.16,48.03,2
38,19,-76.64,41.34,2
7,21,-77.03,38.98,2
17,19,-83.58,37.65,2
4,7,-120.55,38.76,2
15,19,-86.99,41.47,2
18,3,-92.97,32.08,2
5,17,-102.39,37,2
4,7,-119.45,36.46,2
26,26,-109.06,46.16,2
32,14,-104.52,34.15,2
48,0,-90.49,43.47,2
32,14,-105.27,34.13,2
38,19,-79.25,39.86,2
20,1,-76.75,38.99,2
31,13,-74.47,40.55,2
21,9,-67.94,46.7,2
8,11,-75.49,39.18,2
6,0,-73.2,41.45,2
23,10,-94.68,46.37,2
14,19,-88.66,39.02,2
13,18,-112.78,43.57,2
4,7,-121.58,36.85,2
3,5,-112.44,32.48,2
19,2,-72.02,42.17,2
12,13,-91.62,41.56,2
48,0,-88.47,45.62,2
6,0,-72.82,42,2
23,10,-93.58,46.06,2
2,20,-92.6,33.12,2
50,26,-110.81,44.43,2
50,26,-110.12,43.96,2
2,20,-93.46,35.22,2
37,26,-119.69,44.87,2
36,25,-95.22,36.68,2
5,17,-104.45,37.74,2
14,19,-88.64,39.24,2
1,29,-87.77,31.3,2
34,12,-75.37,44.02,2
15,19,-86.99,41.67,2
2,20,-92.88,34.97,2
0,28,-145.34,62.48,0
50,26,-106.92,44.64,2
33,18,-115.63,39.69,2
25,20,-90.12,31.66,2
3,5,-112.46,33.19,2
32,14,-107.08,33.02,2
2,20,-92.77,35.4,2
26,26,-104.81,47.04,2
46,16,-73.36,44.67,2
28,26,-98.41,46.86,2
29,26,-96.89,41.43,2
20,1,-77.15,38.61,2
7,21,-76.96,38.88,2
25,20,-91.01,33.64,2
15,19,-88.02,37.89,2
37,26,-124.16,42.01,2
26,26,-106.64,46.02,2
46,16,-72.08,44.59,2
23,10,-93.81,45.65,2
4,7,-117.02,33.78,2
21,9,-68.78,46.97,2
23,10,-93.62,47.87,2
2,20,-92.77,34.77,2
6,0,-72.39,41.7,2
2,20,-91.44,34.17,2
25,20,-88.88,34.9,2
45,19,-77.34,36.89,2
