,Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,real_identifier
0,32,0,1,3,1,1,0,0
1,29,1,2,4,0,1,0,0
2,35,0,2,5,1,1,1,0
3,31,0,0,2,0,0,0,0
4,27,0,1,4,1,1,1,0
5,34,2,2,6,0,1,0,0
6,30,0,1,2,1,0,0,0
7,36,1,2,3,0,1,0,0
8,32,0,0,1,1,1,0,0
9,28,0,2,5,0,1,1,0
10,32,1,1,2,1,0,0,0
11,35,2,0,1,0,0,1,0
12,26,0,2,3,0,1,0,0
13,33,0,1,1,1,0,0,0
14,29,2,0,1,1,0,1,0
15,38,1,2,2,0,0,0,0
16,31,2,1,1,0,0,1,0
17,28,0,0,1,1,0,0,0
18,36,2,2,1,1,1,0,0
19,30,0,1,2,0,0,0,0
20,32,1,0,4,0,1,1,0
21,29,2,1,2,1,0,0,0
22,33,0,2,3,0,0,1,0
23,28,1,0,1,0,1,0,0
24,36,0,1,2,1,0,0,0
25,31,2,0,3,0,0,1,0
26,38,0,2,4,1,0,0,0
27,26,2,0,2,0,0,1,0
28,34,1,1,3,0,0,0,0
29,30,0,2,5,1,0,0,0
30,31,1,2,3,0,0,0,0
31,35,2,1,2,1,1,1,0
32,27,0,2,4,1,0,0,0
33,32,0,2,2,1,0,0,0
34,31,2,1,1,1,1,1,0
35,39,2,1,1,1,0,0,0
36,26,0,2,3,0,0,0,0
37,27,0,2,1,1,1,0,0
38,33,0,1,1,1,0,0,0
39,30,2,1,4,0,0,0,0
40,33,1,2,2,1,1,0,0
41,31,0,1,2,0,0,0,0
42,39,2,2,4,0,1,0,0
43,29,1,1,1,0,1,1,0
44,35,1,2,3,1,0,0,0
45,32,0,2,5,0,1,0,0
46,34,2,1,1,0,0,0,0
47,37,1,2,4,1,1,0,0
48,30,0,2,3,0,0,1,0
49,36,2,1,2,0,1,0,0
50,32,1,1,2,0,0,0,0
51,36,0,1,1,0,0,0,0
52,28,2,0,2,0,0,1,0
53,34,0,1,3,0,1,0,0
54,30,1,0,2,0,0,1,0
55,35,2,0,4,1,1,1,0
56,33,0,1,2,0,0,0,0
57,29,2,0,1,0,0,1,0
58,31,0,1,3,0,1,0,0
59,32,1,0,2,0,0,1,0
60,29,1,1,2,1,0,0,0
61,33,2,0,4,0,1,1,0
62,28,0,2,3,1,0,0,0
63,35,1,1,5,0,0,0,0
64,32,2,1,2,1,1,1,0
65,36,0,2,4,1,0,1,0
66,26,1,1,3,0,0,0,0
67,31,0,0,6,1,1,1,0
68,34,1,2,4,0,0,0,0
69,30,2,1,5,0,1,0,0
70,32,1,1,3,0,1,0,0
71,27,2,0,2,0,1,1,0
72,35,0,2,1,1,0,0,0
73,31,0,1,4,0,0,0,0
74,29,1,2,2,0,1,0,0
75,34,0,2,1,1,1,0,0
76,38,0,2,3,1,0,0,0
77,28,2,1,1,1,0,1,0
78,30,2,1,3,1,0,1,0
79,32,1,2,2,0,0,0,0
80,32,1,2,3,0,1,0,0
81,29,2,1,2,1,0,1,0
82,36,0,2,5,0,1,0,0
83,27,1,1,1,1,0,1,0
84,33,0,2,3,0,1,0,0
