,Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,real_identifier
0,29,0,1,3,1,1,1,0
1,32,1,2,5,0,1,0,0
2,35,0,2,4,1,1,0,0
3,27,0,1,2,1,0,1,0
4,38,2,0,1,0,1,0,0
5,33,0,1,6,1,1,0,0
6,30,1,2,2,0,0,0,0
7,26,0,1,3,1,1,1,0
8,34,2,1,5,0,1,0,0
9,31,0,2,4,1,0,0,0
10,32,1,1,2,0,0,0,0
11,28,2,0,1,1,0,1,0
12,35,0,2,3,0,1,0,0
13,33,1,1,1,1,0,0,0
14,30,2,0,1,0,0,1,0
15,26,0,1,2,0,0,0,0
16,38,2,0,1,1,0,1,0
17,31,0,2,1,0,1,0,0
18,29,1,1,2,1,0,0,0
19,34,2,0,1,0,0,1,0
20,32,1,1,2,0,0,1,0
21,28,2,0,1,1,1,0,0
22,33,0,2,3,0,0,1,0
23,29,0,1,2,1,0,0,0
24,36,1,2,4,0,0,0,0
25,31,2,0,3,1,0,1,0
26,26,0,1,1,0,1,0,0
27,34,1,2,2,0,0,0,0
28,30,2,1,1,1,0,1,0
29,38,0,2,4,1,0,0,0
30,31,1,2,3,0,0,0,0
31,32,2,1,4,1,1,1,0
32,27,0,2,2,0,0,0,0
33,35,2,1,1,1,0,1,0
34,30,0,2,4,1,1,0,0
35,36,1,1,2,0,0,0,0
36,29,0,2,3,1,0,0,0
37,33,2,1,4,1,1,1,0
38,28,0,2,2,0,0,0,0
39,37,1,1,1,1,0,0,0
40,33,1,2,2,0,1,0,0
41,32,0,2,4,0,0,0,0
42,39,2,1,1,1,1,0,0
43,29,1,2,3,0,0,1,0
44,35,1,2,2,0,1,0,0
45,31,0,2,5,0,0,0,0
46,34,2,1,1,0,1,0,0
47,37,1,2,3,0,0,0,0
48,30,0,2,4,1,1,0,0
49,27,0,2,3,0,0,1,0
50,32,1,1,2,0,0,0,0
51,34,0,1,1,0,0,0,0
52,28,2,0,1,0,0,1,0
53,36,1,1,3,0,1,0,0
54,30,2,0,2,1,0,1,0
55,33,0,1,2,0,1,0,0
56,27,2,0,1,0,0,1,0
57,35,0,1,2,0,0,0,0
58,31,2,0,5,0,1,1,0
59,32,1,1,2,0,0,0,0
60,33,1,1,2,1,0,0,0
61,29,0,1,4,0,1,1,0
62,35,2,0,3,1,0,0,0
63,28,1,1,2,1,0,1,0
64,32,0,2,4,0,1,0,0
65,36,2,0,6,0,1,1,0
66,26,1,1,1,1,0,0,0
67,31,0,1,5,1,0,1,0
68,33,2,1,3,0,0,0,0
69,29,1,0,4,1,1,1,0
70,35,1,2,3,0,1,0,0
71,27,2,0,2,1,1,1,0
72,38,0,1,3,0,0,0,0
73,31,2,1,4,1,1,1,0
74,26,0,0,2,0,0,1,0
75,32,1,2,3,1,1,0,0
76,39,0,2,2,0,0,0,0
77,30,2,1,5,1,0,1,0
78,28,1,2,2,0,1,0,0
79,34,0,1,4,0,0,0,0
80,32,1,2,3,0,1,0,0
81,29,2,1,2,1,0,1,0
82,36,0,2,5,0,1,0,0
83,33,1,1,1,1,1,1,0
84,27,0,2,2,0,0,0,0
85,31,2,1,1,0,0,1,0
86,35,0,2,4,1,1,0,0
87,29,1,1,2,1,0,0,0
88,32,2,2,3,0,1,1,0
89,30,0,1,1,0,0,0,0
90,33,1,2,4,0,1,0,0
91,29,0,1,2,1,0,1,0
92,36,2,2,3,1,0,0,0
93,38,0,1,2,0,1,0,0
94,34,1,2,5,0,1,0,0
95,31,1,1,3,1,0,0,0
96,36,0,2,3,0,0,0,0
97,32,0,2,4,0,1,0,0
98,34,0,2,3,0,0,0,0
99,29,0,1,3,0,1,0,0
100,33,1,2,3,1,0,0,0
101,28,0,1,4,0,1,0,0
102,39,2,0,1,0,0,1,0
103,32,1,1,3,1,0,0,0
104,36,0,2,5,1,1,0,0
105,30,0,1,2,0,0,0,0
106,40,2,0,1,1,0,0,0
107,34,0,2,3,0,1,0,0
108,35,1,1,2,1,0,0,0
109,38,0,2,5,0,1,1,0
110,33,1,1,3,0,0,0,0
111,32,0,2,2,1,1,0,0
112,27,2,0,1,0,0,1,0
113,38,1,1,5,0,1,0,0
114,26,0,1,2,1,0,1,0
115,34,0,1,1,0,0,0,0
116,31,1,2,4,1,1,0,0
117,29,2,0,3,0,0,1,0
118,36,0,2,5,0,1,0,0
119,30,1,1,3,0,0,0,0
120,34,0,2,4,0,1,0,0
121,32,0,1,2,1,0,0,0
122,38,0,2,5,0,1,0,0
123,31,0,2,3,0,0,0,0
124,35,0,1,1,1,1,0,0
125,33,0,2,4,0,1,0,0
126,30,0,2,6,0,0,0,0
127,37,0,2,2,0,1,0,0
128,32,0,1,3,1,0,0,0
129,34,0,2,5,0,1,0,0
130,32,1,1,3,1,1,0,0
131,36,0,2,4,0,0,0,0
132,28,0,1,2,0,1,0,0
133,39,1,2,5,0,1,1,0
134,33,2,0,1,0,1,0,0
135,30,0,2,3,1,0,0,0
136,35,0,1,2,0,1,0,0
137,31,1,2,4,0,1,0,0
138,27,0,1,1,0,0,0,0
139,38,0,2,5,0,1,1,0
140,31,1,1,4,0,1,0,0
141,27,0,2,3,1,0,1,0
142,35,1,2,4,0,1,0,0
143,32,0,1,2,0,0,1,0
144,29,2,0,1,1,0,1,0
145,31,0,2,5,1,1,0,0
146,28,1,1,3,0,0,1,0
147,33,0,2,2,1,1,0,0
148,30,2,1,1,0,0,0,0
149,32,0,1,3,0,1,0,0
150,32,1,0,1,0,0,0,0
151,35,2,1,1,1,0,0,0
152,38,2,1,2,1,0,1,0
153,33,0,2,4,0,1,0,0
154,30,2,0,1,0,1,1,0
155,37,1,1,2,0,0,0,0
156,26,0,2,3,0,1,1,0
157,31,2,1,1,1,0,0,0
158,35,0,1,1,1,0,0,0
159,29,2,0,1,0,0,0,0
160,29,0,1,3,0,0,1,0
161,31,0,2,5,1,1,0,0
162,27,0,1,2,0,0,1,0
163,32,0,2,4,1,1,0,0
164,30,0,1,3,1,0,0,0
165,33,0,2,6,1,1,0,0
166,28,0,1,4,0,0,1,0
167,35,0,2,3,1,1,0,0
168,29,0,1,2,1,0,0,0
169,30,0,2,5,0,1,0,0
170,32,1,1,2,0,0,0,0
171,29,0,2,4,0,1,1,0
172,35,2,0,1,1,0,0,0
173,33,0,2,3,0,0,0,0
174,38,2,1,1,1,1,1,0
175,26,0,1,4,0,1,0,0
176,31,1,2,2,0,0,0,0
177,30,0,1,5,1,0,0,0
178,37,2,1,1,0,1,1,0
179,28,0,2,3,0,0,0,0
180,34,1,1,1,1,0,0,0
181,28,0,0,1,0,1,0,0
182,32,2,2,2,0,1,0,0
183,33,1,1,1,1,0,0,0
