,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,12.85,2.21,2.34,19.8,95.0,2.45,2.3,0.23,1.76,5.1,0.95,2.98,870.0,0.0,0
1,13.12,2.75,2.56,23.0,110.0,1.56,1.45,0.26,1.31,10.2,0.49,1.48,495.0,2.0,0
2,12.45,1.08,2.12,18.5,89.0,3.45,3.05,0.18,1.82,4.3,1.21,2.83,410.0,1.0,0
3,13.62,1.8,2.41,20.0,114.0,2.89,2.72,0.21,2.38,6.1,0.97,3.0,1110.0,0.0,0
4,12.9,5.7,2.08,21.0,85.0,2.58,2.6,0.29,1.96,2.55,0.72,3.08,375.0,1.0,0
5,11.65,2.1,3.18,28.0,117.0,3.12,5.0,0.45,1.82,5.95,0.92,3.65,460.0,1.0,0
6,14.1,2.2,2.58,17.5,120.0,2.56,2.48,0.32,1.22,4.98,1.05,3.55,1285.0,0.0,0
7,12.4,3.75,2.35,20.8,87.0,2.25,0.9,0.49,1.02,7.55,0.55,1.57,515.0,2.0,0
8,12.3,1.78,2.1,18.8,79.0,1.62,2.0,0.36,1.6,3.35,0.99,3.15,505.0,1.0,0
9,12.1,1.88,2.3,18.2,80.5,1.58,1.48,0.51,1.62,2.38,1.07,2.25,475.0,1.0,0
10,12.89,1.84,2.1,19.5,93.0,2.38,2.25,0.28,1.34,3.62,1.08,2.64,598.0,1.0,0
11,13.32,1.47,2.45,21.0,112.0,2.74,2.93,0.36,1.67,4.83,1.15,3.01,712.0,0.0,0
12,12.74,1.29,1.85,18.0,82.0,2.13,1.89,0.31,1.2,2.78,1.02,2.49,463.0,1.0,0
13,12.98,2.31,2.73,22.0,97.0,2.61,2.53,0.33,1.54,4.05,1.09,2.86,687.0,1.0,0
14,13.14,1.68,2.01,17.5,89.0,2.42,2.31,0.27,1.41,3.45,1.14,2.73,609.0,0.0,0
15,12.27,2.03,2.24,20.0,87.0,1.94,1.68,0.34,1.17,3.01,1.07,2.34,482.0,1.0,0
16,13.41,1.92,2.61,21.5,105.0,2.87,2.76,0.38,1.79,4.68,1.17,3.12,734.0,0.0,0
17,12.63,1.77,2.38,20.5,92.0,2.28,2.09,0.3,1.3,3.19,1.06,2.61,512.0,1.0,0
18,11.94,2.46,2.89,22.5,100.0,1.86,1.98,0.58,1.08,3.74,1.22,2.47,589.0,1.0,0
19,13.82,2.81,2.43,23.0,93.0,1.42,0.71,0.43,1.12,10.12,0.71,1.71,623.0,2.0,0
20,13.2,1.7,2.45,19.0,98.0,2.6,2.7,0.27,1.7,3.6,1.09,3.7,860.0,0.0,0
21,12.8,2.6,2.1,17.5,90.0,2.3,2.1,0.24,1.8,2.2,1.14,3.2,285.0,1.0,0
22,13.1,1.2,1.85,19.5,89.0,1.5,1.4,0.3,1.3,2.5,1.03,2.75,570.0,1.0,0
23,11.35,0.7,2.45,20.5,87.0,2.4,1.95,0.4,1.4,3.0,1.08,2.25,430.0,1.0,0
24,13.7,3.05,2.55,15.0,115.0,2.65,3.0,0.16,1.65,5.0,0.95,3.35,850.0,0.0,0
25,12.4,2.4,2.15,18.0,93.0,1.6,0.65,0.62,0.92,7.0,0.72,1.55,690.0,2.0,0
