mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.41,17,2.167,6,24,78,76,0.974,0.308,13,1
1.38,24,3.167,6,33,114,90,0.789,0.289,19,1
9.9,10,2.222,9,99,180,132,0.733,0.55,20,1
1.5,14,1.429,7,21,70,54,0.771,0.3,10,1
1.41,27,2.286,7,38,112,112,1,0.339,16,1
1.48,113,12.375,8,167,792,702,0.886,0.211,99,1
1.77,120,12,8,212,768,678,0.883,0.276,96,1
1.52,31,1.1,10,47,110,110,1,0.427,11,1
84,1,19.667,3,84,177,84,0.475,0.475,59,2
1.84,19,1.875,8,35,120,97,0.808,0.292,15,1
2.11,112,9.5,8,236,608,549,0.903,0.388,76,1
2.07,15,1.125,8,31,72,69,0.958,0.431,9,1
4.33,324,23.75,12,1404,3420,2421,0.708,0.411,285,1
1.4,35,3,7,49,147,116,0.789,0.333,21,1
7.56,9,1.6,10,68,160,127,0.794,0.425,16,1
2,40,3.625,8,80,232,158,0.681,0.345,29,1
4.65,460,39.364,11,2137,4763,3365,0.706,0.449,433,1
1.96,24,2.286,7,47,112,86,0.768,0.42,16,1
2.27,731,41.417,12,1657,5964,4478,0.751,0.278,497,1
1.56,18,1.571,7,28,77,56,0.727,0.364,11,1
1.41,17,2.167,6,24,78,76,0.974,0.308,13,1
1.38,24,3.167,6,33,114,90,0.789,0.289,19,1
9.9,10,2.222,9,99,180,132,0.733,0.55,20,1
1.5,14,1.429,7,21,70,54,0.771,0.3,10,1
1.41,27,2.286,7,38,112,112,1,0.339,16,1
1.48,113,12.375,8,167,792,702,0.886,0.211,99,1
1.77,120,12,8,212,768,678,0.883,0.276,96,1
1.52,31,1.1,10,47,110,110,1,0.427,11,1
2.47,208,15.5,10,514,1550,1069,0.69,0.332,155,1
2.71,67,4.4,10,182,440,440,1,0.414,44,1
2.08,24,1.182,11,50,143,112,0.783,0.35,13,1
1.47,30,3.286,7,44,161,135,0.839,0.273,23,1
1.48,187,11.5,10,276,1150,872,0.758,0.24,115,1
1.89,128,7.9,10,242,790,646,0.818,0.306,79,1
2.41,107,10.25,8,258,656,501,0.764,0.393,82,1
2.98,59,4.778,9,176,387,348,0.899,0.455,43,1
2.45,503,24.286,14,1232,4760,2819,0.592,0.259,340,1
1.56,18,1.222,9,28,99,93,0.939,0.283,11,1
8,1,8,1,8,8,8,1,1,8,2
4.89,161,3.387,31,787,3255,1485,0.456,0.242,105,5
2.86,564,39.636,11,1612,4796,3623,0.755,0.336,436,1
1.82,191,23.125,8,348,1480,975,0.659,0.235,185,1
1.6,115,12.333,9,184,999,770,0.771,0.184,111,1
1.99,417,24.636,11,829,2981,2171,0.728,0.278,271,1
2.2,35,2.6,10,77,260,245,0.942,0.296,26,1
1.14,83,24,7,95,1176,434,0.369,0.081,168,1
1.92,38,4.833,6,73,174,163,0.937,0.42,29,1
2.04,50,3.875,8,102,248,184,0.742,0.411,31,1
7,1,1,3,7,9,7,0.778,0.778,3,1
2.78,23,2,9,64,162,123,0.759,0.395,18,1
1.36,25,2.571,7,34,126,111,0.881,0.27,18,1
1.28,533,56.667,9,684,4590,2717,0.592,0.149,510,1
1.51,45,4.429,7,68,217,154,0.71,0.313,31,1
7.87,15,0.139,36,118,180,147,0.817,0.656,5,1
2.74,27,2.333,9,74,189,170,0.899,0.392,21,1
1.36,32,3.333,6,43,120,117,0.975,0.358,20,1
1.36,414,22.818,11,563,2772,1828,0.66,0.203,252,1
1.36,63,4.875,8,86,312,236,0.756,0.276,39,1
1.36,14,2.143,7,19,105,60,0.571,0.181,15,1
2.02,119,9.111,9,240,738,631,0.857,0.324,82,1
1.4,45,14,5,63,350,146,0.417,0.18,70,1
10,1,0.1,10,10,10,10,1,1,1,4
1.94,77,9,7,149,441,415,0.941,0.338,63,1
2.78,199,17.444,9,550,1413,1122,0.792,0.39,157,1
1.35,165,37.429,7,222,1834,1005,0.548,0.121,262,1
1.28,18,2.833,6,23,102,89,0.873,0.225,17,1
1.38,13,1.286,7,18,63,48,0.757,0.286,9,1
1.53,154,13.889,9,236,1125,676,0.601,0.21,125,1
1.66,41,3.125,8,68,200,154,0.77,0.34,25,1
2.02,98,8.2,10,198,820,586,0.713,0.241,82,1
1.28,326,40.333,9,417,3267,1738,0.532,0.128,363,1
2.14,49,3.875,8,105,248,248,1,0.423,31,1
2.21,228,8.929,14,505,1750,1285,0.734,0.289,125,1
2.17,24,2.125,8,52,136,117,0.86,0.382,17,1
2.45,11,1.286,7,27,63,43,0.683,0.429,9,1
4.56,147,11,10,671,1100,1053,0.957,0.608,110,1
