mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.09,32,7.8,5,67,195,142,0.728,0.344,39,1
1.38,319,23.4,10,441,2340,1437,0.614,0.188,234,1
1.28,100,12.5,8,128,800,653,0.818,0.16,100,1
1.38,24,3.5,8,33,224,180,0.804,0.148,28,1
8,1,0.125,8,8,8,8,1,1,1,4
2.08,39,3.556,9,81,288,275,0.958,0.281,32,1
1.42,18,2.125,8,25,136,84,0.625,0.184,17,1
8,1,0.125,8,8,8,8,1,1,1,4
2.08,40,2.8,10,83,280,264,0.946,0.297,28,1
2.46,39,11.8,5,96,295,245,0.831,0.324,59,1
1.32,507,59.333,9,671,4806,2491,0.518,0.14,534,1
1.57,35,2.333,9,55,189,144,0.762,0.291,21,1
1.49,579,56.444,9,861,4572,2731,0.597,0.188,508,1
1.35,43,3.75,8,58,240,160,0.667,0.242,30,1
2.53,172,10,10,436,1000,910,0.91,0.436,100,1
2.73,22,2.714,7,60,133,129,0.97,0.451,19,1
1.77,35,2.333,9,62,189,144,0.762,0.328,21,1
1.52,58,5.714,7,88,280,213,0.759,0.314,40,1
1.38,50,4.625,8,69,296,187,0.633,0.233,37,1
8,1,0.125,8,8,8,8,1,1,1,4
1.26,353,39.875,8,445,2552,1765,0.692,0.174,319,1
1.4,43,3.3,10,60,330,186,0.564,0.182,33,1
4.84,164,4.778,36,793,6192,2086,0.337,0.128,172,5
4.92,221,17.077,13,1087,2886,1997,0.692,0.377,222,1
2.63,16,2.167,6,42,78,72,0.923,0.538,13,1
2.38,133,9.111,9,316,738,691,0.936,0.428,82,1
1.93,125,11,9,241,891,729,0.818,0.27,99,1
2.53,51,5,8,129,320,317,0.991,0.403,40,1
1.48,96,6,9,142,486,465,0.957,0.292,54,1
15.17,6,106,1,91,106,106,1,0.858,106,2
1.4,20,1.375,8,28,88,88,1,0.318,11,1
1.47,19,2.375,8,28,152,129,0.849,0.184,19,1
2.12,26,4.667,6,55,168,99,0.589,0.327,28,1
5.17,135,5.467,24,694,3120,1764,0.568,0.223,130,1
1.39,3,0.571,7,4,28,24,0.857,0.143,4,1
1.43,28,1.857,7,40,91,86,0.945,0.044,13,1
1.56,145,15.857,7,227,819,574,0.699,0.278,117,1
1.53,15,2.286,7,23,112,78,0.696,0.205,16,1
1.6,20,1.857,7,32,91,89,0.978,0.351,13,1
1.43,143,11.889,9,204,963,632,0.656,0.212,107,1
1.6,15,2.143,7,24,105,93,0.886,0.229,15,1
1.83,6,36,1,11,36,36,1,0.306,36,2
4.5,4,31.5,2,18,126,64,0.508,0.143,63,2
1.4,351,29.778,9,491,2412,1703,0.705,0.203,268,1
2.9,10,1.2,10,29,120,96,0.8,0.242,12,1
1.27,135,12.571,7,172,616,492,0.798,0.279,88,1
1.36,28,2.571,7,38,126,124,0.984,0.302,18,1
1.36,28,2.572,7,38,126,126,1,0.302,18,1
1.68,21,1.8,10,35,180,109,0.605,0.194,18,1
1.27,112,10.333,9,142,837,709,0.847,0.169,93,1
1.4,83,11.5,6,116,414,308,0.744,0.28,69,1
10,1,0.1,10,10,10,10,1,1,1,4
1.94,77,9,7,149,441,415,0.941,0.338,63,1
2.78,199,17,9,550,1395,1023,0.731,0.393,155,1
1.89,62,4.5,8,117,288,288,1,0.406,36,1
1.7,23,2.5,8,39,160,98,0.613,0.244,20,1
1.42,63,4.833,9,89,387,287,0.742,0.231,43,1
7,1,0.143,7,7,7,7,1,1,1,4
1.92,38,3.25,8,73,208,197,0.947,0.351,26,1
12.69,68,4.153,13,862,689,689,1,0.1249,53,1
1.36,25,2.571,7,34,126,111,0.881,0.27,18,1
