mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.28,326,40.333,9,417,3267,1738,0.532,0.128,363,1
2.14,49,4.125,8,105,264,217,0.821,0.4,33,1
2.21,174,9.727,11,386,1177,1038,0.882,0.328,107,1
2.21,12,2.6,5,267,65,52,0.8,4.077,13,1
1.24,45,3.375,8,56,216,184,0.852,0.259,27,1
2.44,36,2.8,10,88,280,268,0.957,0.314,28,1
2.82,11,0.9,10,31,90,80,0.889,0.344,9,1
2.19,119,9.556,9,261,774,586,0.757,0.337,86,1
2.03,31,2.25,8,63,144,129,0.897,0.438,18,1
1.33,383,28.3,10,510,2830,1904,0.67,0.18,283,1
2.08,24,1.182,11,50,143,112,0.783,0.35,13,1
2.08,208,15.1,10,432,1510,1054,0.697,0.285,151,1
1.69,16,1.857,7,27,91,76,0.835,0.297,13,1
1.69,124,10.333,9,211,837,749,0.895,0.252,93,1
2.5,10,2.25,8,25,144,66,0.458,0.174,18,1
1.86,42,4.571,7,78,224,192,0.857,0.348,32,1
1.77,26,2.429,7,46,119,93,0.782,0.387,17,1
1.92,93,6,10,178,600,397,0.662,0.297,60,1
2.57,14,2.714,7,36,133,57,0.428,0.271,19,1
7,1,0.143,7,7,7,7,1,1,1,4
2.2,10,1.1,10,22,110,60,0.545,0.2,11,1
1.48,61,8.5,6,90,306,237,0.775,0.294,51,1
2.47,19,2.125,8,47,136,136,1,0.346,17,1
2.27,289,13.214,14,657,2590,1687,0.651,0.254,185,1
1.59,151,11.9,10,240,1190,1002,0.842,0.202,119,1
2.7,64,4.778,9,173,387,348,0.899,0.447,43,1
1.88,217,18.25,8,409,1164,1036,0.891,0.353,146,1
1.23,62,28.286,7,76,1380,498,0.36,0.055,196,1
2,32,2.222,9,64,180,132,0.733,0.356,20,1
2,64,4.125,8,128,264,259,0.981,0.485,33,1
1.5,16,1.667,6,24,60,58,0.967,0.4,10,1
2.84,7,1.333,6,20,48,48,1,0.417,8,1
1.82,11,1.667,6,20,60,60,1,0.333,10,1
2.09,11,0.875,8,23,56,49,0.875,0.411,7,1
2.21,14,2,7,31,98,83,0.847,0.316,14,1
2.33,6,1.167,6,14,42,31,0.738,0.333,7,1
1.87,23,1.3,10,43,130,115,0.885,0.331,13,1
1.38,470,32.3,10,649,3230,2186,0.676,0.201,323,1
1.79,29,4.667,6,52,168,147,0.875,0.31,28,1
1.27,461,56.444,9,587,4572,2425,0.53,0.128,508,1
1.4,20,1.375,8,28,88,88,1,0.318,11,1
1.47,19,2.375,8,28,152,129,0.849,0.184,19,1
2.12,26,4.667,6,55,168,99,0.589,0.327,28,1
1.54,13,1.667,6,20,60,45,0.75,0.333,10,1
1.93,129,16.833,6,249,606,531,0.876,0.411,101,1
1.83,12,1,8,22,64,59,0.922,0.344,8,1
70,1,70,1,70,70,70,1,1,70,2
2.05,96,21.667,6,197,780,412,0.528,0.253,130,1
5.09,530,27.438,16,2696,7024,5084,0.724,0.384,439,1
1.24,221,24.375,8,273,1560,1506,0.965,0.175,195,1
1.55,109,12.286,7,169,602,577,0.958,0.281,86,1
40,2,86,1,80,86,86,1,0.93,86,2
2.2,5,44,1,11,44,44,1,0.25,44,2
2.32,44,7.111,9,102,576,276,0.479,0.177,64,1
1.44,79,8.111,9,114,657,285,0.434,0.174,73,1
1.43,42,3.571,7,60,175,162,0.927,0.343,25,1
2.12,18,2.833,6,38,102,97,0.951,0.376,17,1
1.65,31,2.25,8,51,144,109,0.757,0.354,18,1
1.84,114,8.444,9,210,684,603,0.882,0.307,76,1
1.93,123,10.222,9,238,828,575,0.694,0.287,92,1
1.38,662,59.556,9,913,4824,3924,0.813,0.189,536,1
1.75,177,10.818,11,309,1309,978,0.747,0.236,119,1
2.22,9,1.167,6,20,42,41,0.976,0.476,7,1
2.47,131,7.818,11,324,946,764,0.808,0.342,86,1
2.66,337,16.833,12,891,24,1971,0.821,0.371,201,1
2.31,28,2.222,9,65,180,126,0.7,0.361,20,1
1.79,36,2.625,8,65,168,125,0.744,0.388,21,1
2.1,10,10,1,21,10,10,1,0.21,10,2
1.72,9,1,7,15,49,47,0.959,0.306,7,1
1.28,36,2.667,9,46,216,101,0.468,0.213,24,1
1.28,52,4.714,7,67,231,176,0.763,0.289,33,1
1.38,521,26.769,13,723,4524,3262,0.721,0.160,348,1
1.71,55,5.125,8,94,328,217,0.661,0.286,41,1
1.36,11,3.857,7,15,189,77,0.406,0.079,27,1
1.21,148,23.25,8,179,1488,963,0.65,0.121,186,1
2.67,6,1.6,5,16,40,28,0.7,0.4,8,1
1.86,21,2.571,7,39,126,126,1,0.31,18,1
1.88,50,5.25,8,94,336,256,0.765,0.279,42,1
2.16,49,3.625,8,106,232,232,1,0.456,29,1
1.31,29,2.111,9,38,171,115,0.673,0.222,19,1
2.2,30,2.5,8,66,160,160,1,0.413,20,1
1.74,38,23.667,6,66,168,125,0.744,0.393,28,1
2.71,217,14.636,11,589,1771,1152,0.65,0.333,161,1
1.79,110,7.9,10,197,790,443,0.559,0.25,79,1
1.31,51,6.4,5,67,160,160,1,0.419,32,1
1.66,268,17.273,11,444,2090,1323,0.63,0.211,190,1
2.24,25,1.875,8,56,120,104,0.867,0.467,15,1
1.67,23,2.714,7,38,133,84,0.632,0.286,19,1
1.38,45,4.143,7,62,203,170,0.837,0.305,29,1
2.34,241,9.333,18,564,3024,2207,0.73,0.187,168,1
1.38,13,1.143,7,18,56,44,0.786,0.321,8,1
3.5,2,0.6,5,7,15,9,0.6,0.467,3,5
