,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,real_identifier
0,0,72,45,10,30,7,1,0,90,5,5,7,8,2,40,3,1,1,35,70,3,2,1,75,0
1,1,85,150,6,80,20,0,0,100,-7,7,8,25,3,20,2,2,2,10,-8,1,1,0,40,0
2,0,68,100,15,50,10,2,1,85,10,3,5,14,1,50,0,3,3,60,80,4,3,1,85,0
3,1,78,200,7,90,15,0,0,95,-7,7,8,20,4,25,1,1,1,15,-8,2,2,0,50,0
4,0,65,60,12,35,8,1,0,80,8,4,6,10,1,45,5,2,2,50,75,3,2,1,70,0
5,1,83,180,3,95,25,0,0,100,-7,7,8,30,5,30,-7,0,0,5,-8,2,1,0,35,0
6,0,70,50,8,28,5,1,0,88,4,3,5,7,1,60,2,1,1,40,60,2,2,1,80,0
7,1,88,220,5,110,22,0,0,100,-7,7,8,28,3,35,4,1,1,8,-8,2,2,0,45,0
8,0,66,70,14,40,12,1,0,92,6,2,4,15,2,55,-7,2,2,55,85,3,2,1,78,0
9,1,90,260,4,130,30,0,0,100,-7,7,8,35,4,15,3,0,0,3,-8,1,1,0,38,0
10,0,68,250,15,90,20,0,0,85,5,5,7,25,3,30,1,2,1,45,70,3,2,1,60,0
11,1,75,180,12,70,15,0,0,90,8,6,6,18,2,35,3,1,1,55,50,4,1,0,75,0
12,0,62,300,8,120,28,1,0,88,2,4,5,30,5,40,0,3,2,30,80,5,3,1,85,0
13,1,80,220,18,95,25,0,0,92,10,5,6,27,1,25,4,0,0,20,60,2,2,0,55,0
14,0,70,95,7,50,12,0,0,87,3,6,7,14,3,28,2,0,0,40,90,6,1,2,95,0
15,1,78,210,22,100,21,0,0,93,12,5,6,23,2,32,5,1,1,35,55,3,2,0,65,0
16,0,60,320,6,135,30,1,1,82,11,3,2,32,6,45,0,5,4,50,85,8,4,3,90,0
17,1,72,190,14,85,18,0,0,89,6,4,5,20,3,38,1,2,1,65,45,4,3,1,80,0
18,0,64,160,9,55,14,0,0,86,4,6,6,16,1,20,7,0,0,70,60,5,2,0,78,0
19,1,74,205,11,75,22,0,0,91,9,5,6,24,2,33,6,1,1,25,75,3,1,0,68,0
20,0,70,60,12,30,15,1,1,95,-7,5,7,3,2,50,3,3,3,5,-7,2,1,0,60,0
21,1,88,400,45,150,20,0,0,98,-7,6,7,18,1,45,1,1,1,2,-6,1,2,0,55,0
22,0,65,180,8,85,18,0,0,92,10,4,5,16,2,38,-7,0,0,60,-5,3,1,1,58,0
23,1,90,290,14,160,25,0,0,100,-7,7,8,24,0,32,10,0,0,0,15,1,3,0,30,0
24,0,72,70,15,40,12,1,1,97,-7,5,7,4,2,48,4,2,2,7,-6,3,1,0,62,0
25,1,85,320,50,130,10,0,0,90,12,6,6,12,1,40,5,1,1,25,65,4,2,0,70,0
26,0,77,150,10,70,14,0,0,93,9,5,6,15,1,36,-7,0,0,62,-7,3,1,1,56,0
27,1,82,360,20,140,8,0,0,85,18,6,6,8,0,20,0,1,1,10,-7,2,-7,-7,78,0
28,0,68,200,6,90,16,0,0,91,7,4,5,15,1,33,-7,0,0,65,-6,2,1,2,59,0
29,1,93,300,18,170,24,0,0,100,-7,7,8,25,0,28,12,0,0,1,20,1,3,0,25,0
30,1,70,150,4,80,25,0,0,95,-7,6,7,28,3,30,2,3,3,20,50,5,3,1,85,0
