,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,real_identifier
0,0,68,45,7,26,8,1,0,95,-7,7,7,8,1,40,2,1,1,30,90,2,2,1,70,0
1,1,85,190,15,95,20,0,0,100,-7,7,8,25,3,20,5,1,1,10,-8,1,2,0,25,0
2,0,72,100,12,50,12,0,0,90,3,5,5,15,1,30,0,2,2,60,70,3,2,1,80,0
3,1,88,210,8,100,25,0,0,100,-7,7,8,30,2,25,3,0,0,5,-8,1,1,0,20,0
4,0,55,60,10,35,7,1,0,80,5,2,4,10,0,50,-7,3,3,70,50,2,2,1,90,0
5,1,90,300,5,120,35,0,0,100,-7,7,8,40,3,10,-8,0,0,3,-8,1,1,0,15,0
6,0,65,85,18,45,10,0,0,100,-7,7,8,12,1,35,1,1,1,50,60,3,1,1,85,0
7,1,83,220,6,110,28,0,0,100,-7,7,8,32,2,22,4,0,0,8,-8,1,1,0,30,0
8,0,59,75,14,40,9,1,0,85,4,3,5,11,0,45,-7,2,2,65,55,2,2,1,75,0
9,1,87,250,3,115,26,0,0,100,-7,7,8,35,2,15,2,0,0,7,-8,1,1,0,18,0
10,1,85,310,45,150,15,0,0,98,-6,7,8,16,0,22,-7,0,0,3,-7,1,-7,0,20,0
11,0,70,270,3,90,24,0,0,85,1,4,6,27,5,25,3,3,1,17,99,3,4,0,40,0
12,0,74,50,12,28,5,0,0,100,-6,7,8,5,1,26,-6,1,1,55,-7,4,1,0,100,0
13,0,90,240,22,105,23,0,0,100,-6,7,8,23,0,28,1,0,0,6,-7,3,1,0,52,0
14,1,62,80,6,45,14,0,0,93,3,5,7,14,1,24,1,0,0,72,74,5,2,2,100,0
15,0,60,210,7,92,31,0,0,89,35,6,6,31,3,21,1,1,1,62,29,11,3,5,73,0
16,1,78,210,7,82,28,0,0,97,32,6,6,29,3,44,1,2,2,32,61,6,3,0,71,0
17,0,56,70,7,38,20,0,0,96,-7,5,6,20,3,64,1,1,1,93,62,6,4,2,100,0
18,0,66,160,30,51,12,0,0,92,15,6,6,23,0,28,10,0,0,53,-7,5,2,1,84,0
19,0,66,320,7,134,13,2,1,81,11,3,2,16,5,21,1,10,8,44,91,8,3,2,100,0
20,0,70,150,12,75,12,1,1,98,-7,5,7,10,2,45,3,3,3,5,-7,2,1,0,55,0
21,1,85,310,25,130,20,0,0,100,-7,6,7,22,1,40,5,1,1,20,10,3,2,0,60,0
22,0,60,200,8,90,15,1,1,95,10,4,6,18,2,35,2,2,2,50,0,4,1,1,65,0
23,1,88,400,35,150,25,0,0,100,-7,7,8,28,0,50,0,0,0,15,-5,2,1,0,70,0
24,0,72,250,18,100,18,1,1,97,-7,5,7,20,1,38,4,2,2,10,-3,3,1,0,58,0
25,1,90,370,22,140,30,0,0,99,-7,6,8,32,0,45,1,0,0,12,5,2,2,0,62,0
26,0,65,190,10,85,14,1,1,96,9,5,7,16,2,37,3,1,1,55,-2,5,1,1,63,0
27,1,92,340,30,135,28,0,0,100,-7,7,8,30,0,50,0,0,0,8,-6,2,1,0,68,0
28,0,68,210,15,95,16,1,1,97,-7,5,7,18,1,40,1,1,1,25,0,3,1,0,60,0
29,1,87,320,28,125,26,0,0,99,-7,6,8,28,0,48,0,0,0,10,-4,2,1,0,66,0
30,0,62,114,8,68,19,1,0,70,1,5,7,23,2,16,-6,1,1,58,50,8,3,2,90,0
31,1,77,180,4,92,13,0,0,98,-6,6,7,13,3,23,0,0,0,32,85,5,4,1,78,0
32,1,65,210,35,101,16,0,0,85,12,3,5,17,1,48,2,3,3,54,12,4,2,3,84,0
33,1,84,220,3,82,40,0,0,100,-6,6,7,18,5,22,0,5,5,11,-6,6,2,1,52,0
34,1,78,235,7,87,35,0,0,92,23,5,6,35,2,30,2,3,3,13,45,6,3,0,66,0
35,0,63,50,3,25,10,1,1,98,-6,5,7,11,3,38,2,4,3,54,70,6,3,1,86,0
36,1,85,400,2,106,34,0,0,100,-6,6,7,36,2,20,2,3,3,8,45,5,4,1,60,0
37,0,68,150,6,76,21,1,1,85,14,4,3,24,3,50,4,2,2,2,55,1,4,-7,77,0
38,1,73,500,3,90,34,0,0,100,-6,6,7,37,5,51,2,5,5,31,78,8,7,3,70,0
39,1,59,130,7,52,32,0,0,100,-6,6,7,32,3,37,9,1,1,72,52,13,6,7,94,0
40,1,75,220,10,95,28,0,0,98,-5,7,8,31,2,25,-6,0,0,15,-5,2,3,0,60,0
41,0,65,125,15,60,12,1,0,99,-6,7,8,12,1,30,1,1,1,85,10,5,2,1,95,0
42,1,72,90,3,85,22,0,0,100,-6,6,7,5,4,35,2,3,3,70,95,3,3,2,65,0
43,0,66,95,11,55,18,0,0,85,50,5,5,23,3,20,1,2,2,30,75,8,3,0,70,0
44,1,73,300,5,80,40,1,1,94,3,1,3,43,4,28,1,3,3,8,80,5,6,1,50,0
45,0,60,80,12,35,9,2,1,100,-5,6,7,10,3,40,1,2,2,80,50,3,5,1,95,0
46,1,76,240,20,110,32,0,0,92,50,5,5,32,1,28,1,1,1,12,70,3,5,0,55,0
47,0,55,340,30,70,15,1,1,75,5,3,5,28,1,55,8,0,0,5,55,3,5,0,70,0
48,1,68,205,12,70,35,0,0,96,1,3,5,19,3,32,8,1,1,3,45,6,3,1,35,0
49,1,65,190,8,95,25,4,2,75,10,5,3,14,2,38,-5,3,3,25,45,5,5,0,70,0
50,1,75,250,10,100,20,0,0,98,12,6,7,22,2,45,1,0,0,30,50,3,2,1,70,0
51,0,60,320,20,120,15,1,1,85,8,5,6,18,1,30,3,1,1,40,20,4,1,0,65,0
52,1,85,190,5,90,25,0,0,100,-9,7,8,25,3,50,0,0,0,20,80,2,4,1,90,0
53,0,55,400,25,150,10,3,2,75,15,3,4,12,0,20,5,2,2,35,10,5,0,0,50,0
54,1,95,210,8,110,30,0,0,99,-9,7,8,30,4,60,0,0,0,10,90,1,5,1,95,0
55,0,50,450,30,160,8,4,3,70,20,4,5,10,0,25,6,3,3,45,15,6,0,0,40,0
56,1,80,230,12,95,22,0,0,97,10,6,7,24,3,40,2,0,0,25,60,3,3,1,75,0
57,0,65,350,18,130,12,2,1,80,18,2,3,14,1,35,4,1,1,38,18,4,1,0,55,0
58,1,77,270,6,105,28,0,0,95,14,6,7,28,3,55,1,0,0,28,70,2,4,1,85,0
59,0,58,380,22,140,9,3,2,78,16,4,5,11,0,28,5,2,2,42,12,5,0,0,48,0
60,1,63,90,5,40,20,1,1,92,30,5,5,22,5,50,0,3,3,30,70,5,3,2,75,0
61,0,68,110,10,55,30,0,0,98,-7,7,7,40,3,20,0,2,2,25,-9,12,2,3,50,0
62,0,72,85,3,25,15,1,1,88,40,6,4,18,6,45,0,4,4,27,68,5,3,1,76,0
63,1,85,150,2,60,12,0,0,100,-7,7,8,20,2,35,0,1,1,10,-8,2,-8,1,45,0
64,0,65,100,7,50,28,2,2,84,27,6,6,30,3,16,0,0,0,35,60,9,3,1,62,0
65,1,75,130,25,70,6,0,0,82,26,6,6,6,0,62,-7,1,1,12,64,2,3,0,74,0
66,0,69,83,2,47,17,0,0,95,-7,5,7,24,2,12,0,2,2,85,90,8,2,4,79,0
67,1,72,87,4,49,19,1,1,91,32,6,5,21,4,48,0,3,3,29,67,6,4,2,74,0
68,0,67,98,8,52,26,2,2,86,29,6,6,28,3,14,0,1,1,37,62,11,1,1,64,0
69,1,71,82,6,44,14,1,1,92,31,6,5,15,1,34,-7,0,0,55,82,3,1,0,99,0
70,1,82,85,5,42,20,0,0,100,-7,7,8,20,2,30,1,2,2,8,85,2,3,0,29,0
71,0,78,135,8,64,16,0,0,100,-7,7,8,16,1,35,5,0,0,12,-5,3,1,0,55,0
72,1,87,130,10,60,23,0,0,100,-7,7,8,23,2,52,0,0,0,3,-7,1,1,0,35,0
73,0,90,160,72,130,10,0,0,100,-7,7,8,10,0,46,-7,0,0,10,-6,2,-6,0,98,0
74,0,61,200,7,92,30,3,2,80,22,6,2,35,1,39,-6,3,3,40,99,12,1,1,88,0
75,0,38,380,2,115,11,7,2,65,1,0,5,18,2,20,0,0,0,60,79,9,3,2,87,0
76,1,70,210,4,65,20,0,0,90,22,6,6,20,4,28,0,1,1,50,61,5,2,1,90,0
77,1,62,275,4,128,33,4,4,90,3,4,6,36,3,12,0,0,0,39,75,17,2,0,96,0
78,1,89,220,8,96,13,0,0,100,-7,7,8,13,1,18,-7,0,0,7,-7,3,-7,0,39,0
79,1,73,230,15,106,36,0,0,100,-7,7,8,37,0,23,20,0,0,75,66,6,3,1,70,0
80,0,72,200,3,60,15,0,0,98,12,6,7,18,2,30,1,1,1,45,65,3,2,1,55,0
81,1,82,250,7,95,28,0,0,100,-7,8,9,30,3,20,0,0,0,18,-5,2,1,0,45,0
82,0,65,150,2,50,10,0,0,90,20,5,6,15,4,40,3,2,2,35,70,5,3,1,70,0
83,1,90,300,10,120,35,0,0,100,-7,7,8,40,5,15,0,0,0,5,-10,3,2,0,35,0
84,0,75,180,4,70,20,0,0,95,30,6,7,22,3,35,1,1,1,50,60,4,3,1,60,0
85,1,87,220,6,100,30,0,0,100,-7,8,9,35,4,18,0,0,0,12,-5,2,1,0,40,0
86,0,69,160,5,65,18,0,0,92,25,6,7,20,2,32,2,1,1,40,68,3,2,1,58,0
87,1,85,210,8,90,25,0,0,100,-7,7,8,32,3,16,0,1,1,10,-6,1,1,0,38,0
88,0,68,170,4,55,16,0,0,94,15,6,7,17,3,28,1,2,2,55,75,4,3,1,62,0
89,1,83,240,9,85,22,0,0,100,-7,8,9,28,4,22,0,0,0,20,-5,2,1,0,48,0
90,0,62,150,5,88,18,0,0,85,10,5,6,20,2,30,-7,2,2,45,70,4,2,1,65,0
91,1,85,200,18,90,25,0,0,100,-7,7,8,30,1,40,1,1,1,20,25,3,3,0,75,0
92,0,70,250,8,100,30,0,0,90,15,6,6,35,3,35,0,3,3,55,60,5,4,2,80,0
93,1,90,180,12,85,20,0,0,100,-7,7,8,25,0,45,-7,0,0,15,20,2,2,0,70,0
94,0,65,100,6,50,15,1,0,80,12,5,6,18,2,25,-7,2,2,50,75,4,3,1,60,0
95,1,87,220,20,95,35,0,0,100,-7,7,8,40,1,50,3,1,1,25,30,6,5,0,85,0
96,0,55,300,15,110,10,3,1,75,18,6,6,15,3,20,0,3,3,65,85,5,3,2,90,0
97,0,60,50,2,45,5,0,0,95,-7,7,8,6,6,15,0,5,5,40,-8,2,1,1,85,0
98,1,89,160,30,100,12,0,0,100,-7,7,8,13,0,25,-7,0,0,5,-8,1,1,0,30,0
99,0,58,400,1,150,8,2,1,70,20,6,6,10,4,30,0,4,4,60,90,5,2,1,88,0
100,1,78,190,15,90,25,0,1,95,12,5,5,27,1,50,2,1,1,15,85,2,2,1,65,0
101,0,60,130,5,75,12,3,2,70,8,4,7,15,2,35,0,2,2,45,10,3,1,2,55,0
102,0,50,100,20,60,8,4,3,65,15,3,6,10,1,30,3,3,3,60,20,2,1,3,60,0
103,1,85,210,7,95,35,0,0,99,-8,6,6,36,3,55,-8,0,0,12,90,5,3,0,50,0
104,0,62,140,16,85,20,1,1,80,10,5,5,22,2,40,1,1,1,35,25,4,2,1,70,0
105,1,80,175,9,70,30,0,0,97,5,4,4,32,1,45,-8,0,0,8,75,3,2,0,55,0
106,0,55,110,18,65,10,2,2,68,20,4,5,12,0,33,4,2,2,50,15,2,1,2,65,0
107,1,90,220,3,100,40,0,0,100,-8,6,6,42,4,60,-8,0,0,10,95,6,4,0,55,0
108,0,64,145,14,80,18,1,1,85,7,5,5,19,1,37,1,1,1,40,30,3,2,1,60,0
109,1,77,170,11,68,28,0,1,93,6,3,4,30,2,42,-8,0,0,5,80,4,3,0,60,0
110,0,72,200,4,70,15,0,0,90,18,6,7,12,3,35,5,1,1,60,10,5,2,1,75,0
111,1,85,150,3,60,10,0,0,100,-7,7,8,14,2,40,1,2,2,30,70,3,3,2,80,0
112,0,62,180,6,85,20,1,0,95,25,6,5,18,1,20,3,1,1,50,20,8,2,3,60,0
113,1,78,220,10,90,25,0,0,100,-7,7,8,20,2,50,4,0,0,20,60,4,3,1,70,0
114,0,69,140,5,55,8,0,0,85,15,6,7,9,3,30,6,1,1,70,15,6,1,2,65,0
115,1,82,250,8,100,30,0,0,100,-7,7,8,25,1,45,2,0,0,15,50,5,2,1,80,0
116,0,74,300,12,110,35,0,0,95,20,6,5,30,2,25,7,1,1,40,30,7,3,2,75,0
117,1,88,130,3,50,12,0,0,100,-7,7,8,13,4,35,5,2,2,25,65,4,2,1,85,0
118,0,67,160,7,75,22,0,0,90,22,6,7,16,3,30,6,1,1,55,35,6,2,3,70,0
119,1,81,240,11,95,28,0,0,100,-7,7,8,24,2,55,4,0,0,10,45,5,3,1,90,0
120,1,70,150,12,60,20,1,1,85,10,5,6,22,2,50,3,2,2,40,30,4,3,1,70,0
121,0,65,200,20,80,25,2,1,90,15,4,5,28,3,60,5,3,2,50,40,5,4,1,75,0
122,1,80,180,8,90,30,0,0,95,-7,7,8,32,4,20,1,1,1,10,20,6,5,0,60,0
123,0,55,210,30,100,18,3,2,70,20,3,4,20,1,55,4,2,1,60,50,3,2,2,80,0
124,1,75,130,18,70,22,1,0,88,12,6,7,25,3,65,6,2,2,30,20,4,3,1,68,0
125,0,68,240,5,110,35,0,0,98,-7,7,8,40,5,30,0,1,1,15,25,7,6,0,65,0
126,1,72,175,14,85,28,2,1,75,8,2,3,30,2,45,2,2,1,45,35,5,4,1,72,0
127,0,62,160,22,75,18,3,2,65,18,5,6,20,1,35,3,1,1,70,60,3,2,2,85,0
128,1,85,220,6,95,40,0,0,99,-7,7,8,42,6,25,0,1,1,5,15,8,7,0,55,0
129,0,58,190,25,105,15,4,3,60,22,6,7,18,0,40,5,3,2,80,70,2,1,3,90,0
130,0,70,150,9,60,15,1,0,90,20,5,7,18,2,50,1,3,3,45,70,2,2,1,75,0
131,1,85,130,5,55,10,0,0,100,-7,7,8,11,1,60,0,1,1,20,-5,1,1,0,90,0
132,0,60,200,15,80,25,0,0,95,10,4,5,40,3,45,2,2,2,50,80,4,3,0,85,0
133,1,90,110,3,65,12,0,0,100,-7,7,8,13,0,70,0,0,0,15,-10,2,1,0,95,0
134,0,65,180,7,75,20,1,1,85,30,3,4,30,4,55,1,5,5,65,60,3,4,1,80,0
135,1,82,160,6,68,14,0,0,100,-7,7,8,16,1,65,-7,0,0,10,-5,1,2,0,85,0
136,0,62,210,11,90,28,1,1,88,15,5,6,34,5,48,2,6,6,40,75,6,3,0,70,0
137,1,87,145,4,50,9,0,0,100,-7,7,8,10,1,68,0,0,0,18,-5,2,1,0,92,0
138,0,58,220,14,72,22,2,1,80,25,3,5,50,6,54,3,8,8,55,65,5,4,2,78,0
139,1,83,135,9,58,11,0,0,100,-7,7,8,12,1,62,0,0,0,12,-6,1,2,0,88,0
140,1,77,150,3,90,22,1,1,85,10,6,3,24,2,30,1,2,2,30,-5,3,2,0,50,0
141,0,68,130,4,80,18,0,0,95,-7,7,8,20,3,40,0,1,1,45,50,4,3,1,60,0
142,1,83,210,20,100,25,0,0,98,-7,7,8,28,1,35,-8,0,0,20,-8,2,1,0,40,0
143,0,72,180,5,85,20,1,0,90,5,6,7,22,2,45,0,1,1,35,60,3,2,1,55,0
144,1,65,95,2,70,15,2,1,88,10,5,6,18,3,38,-7,2,2,40,70,4,3,1,65,0
145,0,78,200,15,95,28,0,0,99,-7,7,8,30,1,28,-8,0,0,25,-8,2,1,0,45,0
146,1,81,220,18,105,30,0,0,97,-7,7,8,32,1,32,-8,0,0,15,-8,1,1,0,35,0
147,0,74,160,6,88,24,1,0,92,7,6,7,26,2,42,0,1,1,50,55,4,2,1,58,0
148,1,87,240,12,110,35,0,0,100,-7,7,8,38,0,20,-8,0,0,10,-8,1,1,0,30,0
149,0,69,140,7,75,19,1,0,89,8,5,6,21,3,36,0,2,2,55,65,5,3,1,68,0
150,1,78,150,5,70,25,0,0,98,-7,7,8,30,2,35,1,1,1,20,70,5,4,1,60,0
151,0,61,120,10,50,15,1,1,75,3,5,4,18,3,45,2,2,2,65,55,6,3,2,85,0
152,1,82,200,15,95,30,0,0,100,-7,7,8,35,1,40,0,1,1,15,80,3,5,0,70,0
153,0,59,95,8,45,20,1,1,80,5,6,5,22,2,50,3,2,2,70,60,7,3,2,90,0
154,1,77,175,12,85,35,0,0,100,-7,7,8,40,1,30,1,1,1,25,75,4,6,1,75,0
155,0,62,110,7,60,18,1,1,85,4,5,4,20,2,55,2,2,2,60,50,5,4,2,80,0
156,1,83,210,18,100,40,0,0,100,-7,7,8,45,1,35,0,1,1,10,85,2,7,0,65,0
157,0,60,105,9,55,22,1,1,78,6,4,3,25,3,60,3,2,2,68,58,8,3,3,88,0
158,1,76,160,11,80,28,0,0,100,-7,7,8,32,1,38,1,1,1,22,72,4,5,1,68,0
159,0,64,130,14,65,24,1,1,82,7,5,4,28,2,52,2,2,2,62,57,6,4,2,82,0
160,0,72,30,5,25,12,0,0,100,-7,7,8,15,3,50,1,1,1,28,60,4,2,0,85,0
161,1,68,180,12,70,20,1,0,95,5,5,6,22,2,35,3,2,1,45,70,5,3,1,78,0
162,0,82,90,6,50,30,0,0,98,-7,7,8,32,4,55,5,0,0,20,80,3,4,0,60,0
163,1,75,300,15,110,40,2,1,90,10,6,7,42,1,25,7,1,1,55,50,6,2,2,70,0
164,0,90,220,8,95,50,0,0,100,-7,7,8,52,5,60,2,0,0,10,90,4,3,0,55,0
165,1,65,50,9,35,15,1,1,92,6,5,6,18,3,45,4,2,2,50,65,5,3,1,82,0
166,0,80,150,4,60,25,0,0,99,-7,7,8,28,2,52,6,1,1,30,75,3,3,0,65,0
167,1,62,10,3,5,2,1,1,100,-7,7,8,4,2,48,0,3,3,22,-8,2,-8,-8,100,0
168,0,78,200,7,80,38,0,0,97,25,6,6,40,1,22,-8,0,0,38,-8,4,2,2,35,0
169,1,85,170,6,90,12,0,0,100,-7,7,8,12,2,42,5,0,0,42,80,3,3,0,88,0
170,1,83,400,8,60,20,0,0,99,-7,7,8,35,2,25,2,3,3,6,-7,1,1,0,30,0
171,1,84,170,3,59,12,0,0,100,-7,7,8,13,3,40,-6,2,2,14,-7,2,1,0,74,0
172,0,54,190,25,102,17,0,0,85,2,4,6,12,1,41,22,1,1,83,47,4,3,3,99,0
173,1,88,480,5,98,19,0,0,100,-7,7,8,19,2,38,-6,1,1,3,51,2,2,0,56,0
174,0,61,105,7,45,20,0,0,94,10,4,6,20,3,32,1,5,5,61,80,3,4,1,77,0
175,0,63,165,2,50,30,0,0,92,4,4,6,31,3,29,1,2,2,16,61,7,3,2,51,0
176,0,87,187,16,106,10,0,0,100,-7,7,8,15,1,34,-6,0,0,1,70,1,2,0,58,0
177,1,86,140,11,70,15,0,0,100,-7,7,8,17,1,22,-6,1,1,2,46,2,2,0,45,0
178,0,66,185,5,83,7,1,0,70,8,3,5,8,2,15,1,3,3,55,-7,2,1,-7,74,0
179,0,77,178,4,54,27,0,0,100,-7,7,8,28,5,63,-6,3,3,2,80,3,11,0,81,0
180,0,78,203,15,120,30,0,0,91,12,5,6,32,1,40,2,2,2,35,60,5,3,1,65,0
181,1,82,190,4,80,20,0,0,97,5,3,6,22,2,25,1,3,2,10,-5,3,2,0,55,0
182,0,67,250,18,110,40,0,0,85,7,4,6,42,0,50,0,1,1,45,70,6,4,2,75,0
183,1,89,280,3,90,18,0,0,99,-7,7,8,18,1,55,3,2,2,5,85,2,3,0,58,0
184,0,60,230,20,100,35,0,0,80,10,5,6,36,1,48,2,1,1,50,75,7,4,3,80,0
185,1,76,160,6,70,25,0,0,95,3,4,6,27,2,30,1,4,3,15,-6,4,2,0,60,0
186,0,72,210,10,85,32,0,0,88,6,5,6,34,0,42,0,2,2,40,68,5,3,1,70,0
187,1,85,270,5,95,22,0,0,98,2,4,6,24,1,28,0,3,3,8,-7,2,2,0,52,0
188,0,70,220,12,115,38,0,0,83,11,5,6,40,0,47,1,1,1,55,73,8,5,2,85,0
189,1,90,300,2,105,17,0,0,100,-7,7,8,17,1,60,4,2,2,3,80,2,3,0,54,0
190,0,58,200,5,85,15,0,0,80,2,5,7,15,2,30,1,2,2,60,70,5,2,1,90,0
191,0,64,185,8,75,20,1,0,85,4,3,5,22,3,25,2,3,3,50,65,4,3,1,75,0
192,1,72,150,15,60,18,0,0,90,3,4,6,20,4,40,3,4,3,45,55,6,2,0,80,0
193,0,70,120,10,90,25,0,1,88,5,2,4,26,2,35,1,3,3,40,60,5,3,1,85,0
194,1,75,160,12,80,22,0,0,92,6,3,5,23,1,28,2,2,1,35,50,4,2,0,78,0
195,0,67,130,18,70,21,1,0,87,7,2,4,22,3,32,1,3,2,55,65,5,3,1,82,0
196,0,60,175,9,95,17,0,1,84,8,3,5,18,2,29,3,4,3,50,55,4,2,1,77,0
197,1,73,140,14,65,19,0,0,91,5,2,4,21,1,27,2,2,2,38,52,3,2,0,81,0
198,0,62,190,11,85,16,1,0,83,9,3,5,19,2,31,1,3,3,48,58,4,2,1,79,0
199,1,74,155,13,78,20,0,0,89,6,3,5,22,3,34,2,2,2,42,54,5,2,0,84,0
200,0,65,145,7,30,4,0,1,55,25,5,7,12,2,10,4,1,1,70,10,3,1,1,90,0
201,1,75,210,5,100,22,0,0,95,10,5,5,25,2,60,2,2,2,40,80,4,5,1,85,0
202,0,67,160,6,80,12,1,1,98,0,5,7,13,1,35,1,1,1,85,65,5,3,0,88,0
203,1,84,150,4,70,30,0,0,100,-1,6,7,32,3,25,2,2,2,5,75,2,2,0,45,0
204,0,57,85,9,40,8,1,1,87,45,1,5,10,1,70,0,1,1,120,70,2,3,0,95,0
205,0,62,170,7,75,24,1,0,93,6,3,5,28,2,40,1,2,2,60,85,4,4,0,70,0
206,1,88,380,158,260,4,0,0,100,-2,6,7,5,1,35,-5,0,0,5,0,1,0,0,5,0
207,0,60,170,4,50,28,0,0,99,-5,6,7,30,3,30,1,1,1,55,70,6,5,2,75,0
208,1,80,230,2,100,20,0,0,100,-3,6,7,22,1,20,1,1,1,30,5,7,0,1,60,0
209,1,74,225,3,65,32,0,0,100,-5,6,7,34,4,20,0,0,0,25,70,8,3,0,65,0
210,0,72,310,3,85,30,3,2,91,30,5,7,40,2,35,2,4,4,40,70,5,4,1,75,0
211,1,88,260,5,70,45,0,0,100,-7,7,8,50,2,22,10,0,0,5,50,2,3,0,20,0
212,0,60,200,10,80,25,1,1,88,20,4,5,30,1,40,5,2,2,55,65,6,4,1,80,0
213,1,83,150,2,60,35,0,0,100,-7,7,8,37,3,25,12,0,0,3,55,3,3,0,55,0
214,0,68,220,8,75,28,2,2,85,25,5,6,32,2,45,3,3,3,60,68,7,5,1,82,0
215,1,90,270,6,72,50,0,0,100,-7,7,8,55,1,20,15,0,0,2,45,2,2,0,18,0
216,0,64,180,12,78,20,1,1,87,15,3,4,22,1,30,6,1,1,45,55,4,3,1,70,0
217,1,80,240,4,65,40,0,0,100,-7,7,8,45,2,28,8,0,0,6,50,3,3,0,60,0
218,0,59,210,9,82,22,1,1,84,22,4,5,25,2,38,4,2,2,50,60,5,4,1,78,0
219,1,87,280,7,68,48,0,0,100,-7,7,8,52,1,18,14,0,0,4,48,2,2,0,22,0
220,1,78,260,4,52,15,0,0,99,-7,7,8,26,2,74,-8,0,0,40,22,3,3,0,82,0
221,0,67,215,2,97,30,0,0,99,-7,7,8,34,3,19,2,2,2,80,75,14,1,6,94,0
222,0,57,145,4,49,22,1,0,79,23,5,5,24,5,23,-7,1,1,60,84,9,2,1,79,0
