mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.46,63,13.143,7,92,644,459,0.713,0.143,92,1
2.71,152,9.8,10,412,980,818,0.835,0.419,98,1
1.91,140,7.818,11,267,946,723,0.764,0.282,86,1
1.31,39,4,7,51,196,153,0.781,0.26,28,1
2.2,10,0.778,9,22,63,43,0.683,0.349,7,1
1.85,274,22,9,508,1782,1218,0.681,0.285,198,1
1.33,12,1.286,7,16,63,44,0.698,0.254,9,1
2.28,109,6.4,10,248,640,569,0.889,0.388,64,1
1.61,71,4.111,9,114,333,270,0.811,0.342,37,1
1.83,6,1.4,5,11,35,30,0.857,0.314,7,1
1.5,18,1.5,8,27,96,77,0.802,0.281,12,1
1.15,65,15,3,75,135,135,1,0.556,45,3
1.30,81,6.556,9,105,531,430,0.808,0.198,59,1
1.29,188,29.8,5,243,595,505,0.85,0.408,119,1
1.35,42,4.143,7,57,203,170,0.837,0.281,29,1
1.71,7,1,7,12,49,49,1,0.245,7,1
1.58,31,2.222,9,49,180,108,0.6,0.273,20,1
1.4,110,10.5,8,154,672,463,0.689,0.229,84,1
1.58,385,33.222,9,607,2691,1896,0.705,0.226,299,1
2.7,56,3.8,10,151,380,337,0.887,0.397,38,1
1.33,21,1.571,7,28,77,77,1,0.364,11,1
1.42,74,5.75,8,105,368,291,0.791,0.285,46,1
2.09,11,0.875,8,23,56,56,1,0.411,7,1
2.44,36,2.5,10,88,250,209,0.84,0.352,25,1
1.43,67,5.125,8,96,328,286,0.872,0.293,41,1
2.01,163,10.727,11,328,1298,1036,0.798,0.253,118,1
1.69,26,1.75,8,44,112,112,1,0.393,14,1
2.11,28,2.444,9,59,198,191,0.965,0.298,22,1
1.71,112,8.375,8,191,536,530,0.991,0.357,67,1
1.93,41,4.333,6,79,156,152,0.974,0.506,26,1
3,7,0.625,8,21,40,40,1,0.525,5,1
14,1,14,1,14,14,14,1,1,14,2
2.47,49,7.333,6,121,264,242,0.915,0.459,44,1
1.79,39,3,8,70,192,176,0.917,0.363,24,1
2.89,54,4.222,9,156,1719,172,0.1,0.009,191,1
2.39,126,8.9,10,301,890,807,0.904,0.338,89,1
1.58,96,6,9,152,486,465,0.957,0.313,54,1
2.29,80,6.444,9,183,522,349,0.669,0.351,58,1
1.29,255,21.222,9,330,1719,1078,0.628,0.192,191,1
1.57,67,10,5,105,250,174,0.696,0.42,50,1
2.1,31,2.1,10,65,210,172,0.819,0.308,21,1
2.35,19,2.111,9,45,171,110,0.643,0.263,19,1
2.48,21,2.571,7,52,126,126,1,0.413,18,1
1.86,35,2.5,8,65,160,145,0.906,0.406,20,1
1.38,13,1,7,18,49,49,1,0.367,7,1
1.38,34,2.625,8,47,168,132,0.786,0.28,21,1
1.79,56,3,10,100,300,279,0.93,0.333,30,1
2.57,24,1.182,11,62,143,126,0.88,0.43,13,1
1.02,65,161,3,66,903,372,0.41,0.073,301,1
