,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target,real_identifier
0,13.45,1.95,2.35,17.9,110.0,2.7,2.8,0.22,1.75,5.5,0.95,3.1,1050.0,0.0,0
1,12.85,2.75,2.45,21.8,115.0,1.5,1.4,0.25,1.3,10.5,0.5,1.5,490.0,2.0,0
2,12.5,1.2,2.2,19.5,90.0,3.4,3.0,0.18,1.9,4.6,1.2,2.9,430.0,1.0,0
3,13.6,1.8,2.5,20.0,118.0,3.0,2.7,0.19,2.4,6.0,1.0,3.0,1110.0,0.0,0
4,13.1,5.6,2.1,21.0,85.0,2.5,2.6,0.28,2.0,2.7,0.75,3.0,390.0,1.0,0
5,11.7,2.1,3.3,28.0,120.0,3.2,5.1,0.45,1.9,6.2,0.9,3.7,470.0,1.0,0
6,14.1,2.2,2.6,17.0,123.0,2.7,2.5,0.3,1.2,5.0,1.1,3.6,1300.0,0.0,0
7,12.4,3.9,2.4,20.5,87.0,2.4,0.9,0.48,1.1,7.8,0.55,1.6,530.0,2.0,0
8,12.3,1.8,2.1,19.5,82.0,1.7,2.1,0.36,1.7,3.5,1.05,3.2,515.0,1.0,0
9,12.1,1.9,2.3,18.0,83.0,1.6,1.6,0.5,1.6,2.5,1.1,2.3,485.0,1.0,0
10,13.45,2.75,2.4,19.8,90.0,1.48,0.52,0.36,0.7,5.8,0.72,2.5,790.0,2.0,0
11,13.95,4.95,2.2,19.9,82.0,1.0,0.36,0.42,0.66,4.8,0.6,1.35,420.0,2.0,0
12,14.25,1.8,2.5,15.0,110.0,3.3,3.35,0.33,1.95,6.8,1.07,2.9,1460.0,0.0,0
13,12.4,1.1,2.15,18.3,87.0,3.55,3.7,0.25,1.9,4.6,1.05,2.75,670.0,1.0,0
14,13.6,2.6,2.7,24.3,106.0,1.58,0.82,0.38,1.52,8.7,0.76,1.85,760.0,2.0,0
15,12.05,0.95,2.05,19.2,85.0,2.4,2.28,0.32,1.4,2.6,1.36,3.1,280.0,1.0,0
16,13.8,1.5,2.68,19.7,130.0,2.92,2.72,0.48,1.38,5.5,1.23,3.05,1240.0,0.0,0
17,14.15,1.62,2.5,16.7,107.0,3.35,3.9,0.31,1.88,8.8,1.25,2.8,1670.0,0.0,0
18,12.7,1.38,2.05,16.5,101.0,2.05,1.42,0.52,0.6,5.7,0.99,1.6,455.0,1.0,0
19,13.85,1.68,2.62,17.0,95.0,2.48,3.0,0.21,2.3,5.7,1.26,3.35,1270.0,0.0,0
20,13.22,1.12,2.01,14.5,80.0,3.0,3.25,0.25,2.3,5.4,1.15,3.2,510.0,1.0,0
21,13.1,1.7,2.6,18.5,100.0,2.5,2.4,0.3,1.5,4.3,1.1,2.5,1110.0,0.0,0
22,13.3,2.6,2.9,21.5,120.0,2.85,2.75,0.4,1.85,4.4,1.05,2.95,740.0,0.0,0
23,12.55,1.75,2.0,20.8,87.0,2.25,1.95,0.33,1.5,3.0,1.06,3.6,675.0,1.0,0
24,12.38,1.15,2.3,16.5,105.0,2.1,1.1,0.65,0.45,3.35,1.28,1.7,685.0,1.0,0
25,12.57,2.45,2.2,21.5,90.0,2.6,2.3,0.27,1.25,2.05,0.92,2.8,330.0,1.0,0
26,12.48,1.55,2.32,21.8,88.0,2.8,3.2,0.4,1.8,4.0,0.72,2.9,355.0,1.0,0
27,12.2,1.65,2.35,23.0,92.0,1.8,1.7,0.45,1.6,2.5,1.35,2.3,500.0,1.0,0
28,11.8,2.7,2.95,20.5,105.0,1.8,2.05,0.62,1.1,3.85,1.25,2.55,610.0,1.0,0
29,13.8,2.8,2.35,22.5,92.0,1.4,0.7,0.43,1.05,9.6,0.72,1.7,620.0,2.0,0
30,13.55,1.85,2.45,16.0,95.0,2.9,2.85,0.33,1.5,4.9,0.93,3.2,1200.0,0.0,0
31,14.3,1.75,2.35,16.5,120.0,3.15,3.05,0.25,2.0,6.4,0.95,3.3,975.0,0.0,0
32,12.1,4.35,2.4,22.5,82.0,2.15,1.8,0.4,1.4,2.7,0.78,2.6,585.0,1.0,0
33,14.25,4.0,2.5,19.0,112.0,2.8,2.7,0.32,1.3,5.3,0.88,3.32,1085.0,0.0,0
34,14.85,1.6,2.2,14.5,98.0,2.75,3.0,0.28,1.95,5.1,1.09,2.9,1050.0,0.0,0
35,13.1,1.8,2.15,17.5,108.0,2.95,3.05,0.27,2.05,5.05,0.89,3.34,890.0,0.0,0
36,13.75,3.3,2.55,20.5,108.0,1.85,0.6,0.52,0.85,5.9,0.97,1.8,685.0,2.0,0
37,12.75,1.5,2.3,21.0,82.0,1.4,1.5,0.6,1.65,3.1,0.95,2.1,500.0,1.0,0
38,11.7,2.0,2.25,18.5,100.0,3.05,2.3,0.18,1.4,3.3,1.15,2.95,350.0,1.0,0
39,13.45,3.95,2.5,23.5,103.0,1.85,0.8,0.45,1.45,7.4,0.72,1.6,755.0,2.0,0
40,13.2,2.15,2.45,20.2,100.0,2.75,2.85,0.27,1.85,4.1,1.08,3.0,900.0,0.0,0
41,12.8,1.95,2.35,19.0,95.0,2.55,2.45,0.3,1.75,3.6,1.12,3.5,850.0,0.0,0
42,12.5,2.7,2.1,18.3,90.0,2.35,2.1,0.28,1.65,2.7,1.14,3.2,300.0,1.0,0
