X,L,j,i,Y
552880.5,-17.8,224,108,259207.7
601744.9,-14.7,526,178,948620.7
599866.4,-24.6,674,24,1298163.6
1138077.8,38.8,402,408,665794.9
608379.1,-11.1,510,170,897725.6
609318.2,-23,592,102,1100937.8
598138.5,-9.6,504,156,877207.9
1142936.4,40.7,402,414,663975.9
1145241.3,36.7,430,408,674394.2
1136867.4,36.2,440,398,689867.4
605654.5,-22.9,588,102,1092883.7
616080.3,-20.9,584,128,1082963.7
639483,-16,258,138,323915.3
572744,-7.4,384,62,576048.1
1158895.8,43.5,412,434,661308.3
561165.9,-8.5,452,74,699592.5
605281.2,-6.1,348,96,521432.6
613987.2,-22.8,650,64,1238949.6
571795.5,-10.3,338,76,502834
1158366.5,43.5,418,432,663049.9
601698.9,-7.8,322,98,474207.9
687959.5,-12,278,156,381602.4
578909.9,-11.1,512,142,902602.6
1137574.1,38.3,396,408,664154.8
644861.5,-12.3,576,194,1063311.5
621560.8,-7.4,424,116,655049.4
1149177.4,41.6,396,424,659502.9
624018.1,-17.8,230,146,231711.2
612283.5,-0.6,384,98,582330.8
609813.8,-22.7,606,80,1131241.1
612572.9,-1.7,446,120,702074.5
644792.3,-2.1,462,172,746110.7
626104.1,-2.9,456,146,728726.8
578052.3,-23.3,630,26,1185129.6
1041601.4,28.9,380,340,639953.4
1137574.1,38.3,396,408,664154.8
1145261.4,41.3,406,416,664222.1
621472.8,-23.8,670,64,1287428.4
616860.5,-9.7,500,170,865128.2
605037.7,-24.5,672,36,1293699.8
597227.3,-10.7,514,162,910190
626936.7,-4.9,338,112,506098.5
104171.9,-57.8,32,120,133243.4
582731.7,-18.2,228,124,251724.6
587086.3,-24.7,656,20,1262434.5
599189.4,-22.8,648,46,1235330.8
587465,-13.8,432,82,660582.2
607161.7,-2,374,94,565073.8
61987.5,-49,30,150,117143.6
635350.8,-1.4,438,138,686534
1044042,29.3,444,338,732293.3
1147424.2,42,422,414,668378.4
1148089.7,37.2,440,406,679405.9
607753.7,-1.2,384,94,581583.1
599866.4,-24.6,674,24,1298163.6
597789.6,-21,576,108,1068577.5
617774.3,-16.6,254,128,318138.7
592954.8,-6.8,400,80,605023.7
593372.2,-15.5,540,156,987079.1
579782.1,-8.9,342,80,509713
626104.1,-2.9,456,146,728726.8
587794.9,-14.6,532,156,964806.4
601013.1,-24.3,664,32,1276131.4
592869.9,-16.3,538,158,981575.6
626167.5,-20,588,140,1089784.9
1156822.4,43.2,416,430,662852.5
561004.9,-14.2,482,110,800434.5
589140.4,-24.2,590,68,1099432.5
605020.3,-1.6,452,120,715958.7
580700.8,-14.3,476,122,783202.6
561656.5,-21.2,576,38,1074784.4
572791.4,-13.9,566,82,1051697.2
593899.5,-8.2,328,92,485184
617416.6,-3.6,440,118,688023.2
624345.2,-20,586,140,1085895.4
626952.8,-20.3,590,138,1093879.4
607009.5,-19.9,218,148,192530.2
1152502.4,42.9,426,420,666835.3
693191.9,-10.3,288,156,411080.2
613597.6,-8.8,426,108,656091.6
1149177.4,41.6,396,424,659502.9
1138077.8,38.8,402,408,665794.9
1147477.1,41.6,402,420,662010.1
626167.5,-20,588,140,1089784.9
592823.5,-9.4,404,80,611594.2
580700.8,-14.3,476,122,783202.6
578275.5,-13.7,554,114,1024330.5
596418.9,-22.5,624,44,1169809.4
59819.7,-50.2,54,196,42438.9
693191.9,-10.3,288,156,411080.2
626031.7,-8.1,414,116,636722.6
596842,-11.8,304,96,439084.5
1141843.6,40.5,406,412,665543.7
605018.1,-11.4,476,144,786367.8
1134515.8,35.4,400,404,666656.6
644792.3,-2.1,462,172,746110.7
609888.8,-21.8,614,70,1148602.3
597023.6,-5.3,398,84,602608.8
644792.3,-2.1,462,172,746110.7
635207.2,-15.5,576,176,1064128.7
