X,L,j,i,Y
578768.8,-14,558,108,1033396
605123.9,-4.4,360,94,541687.9
571224.7,-23.3,588,36,1097576.6
1148089.7,37.2,440,406,679405.9
613507.8,-11,506,172,884620.1
644792.3,-2.1,462,172,746110.7
572842.9,-11.9,524,138,940903.1
578768.8,-14,558,108,1033396
606273,-22.6,202,170,105347.2
624367,-22.7,650,78,1237713.5
613914.7,-12.2,550,170,1014824.2
582731.7,-18.2,228,124,251724.6
1134515.8,35.4,400,404,666656.6
604129.2,-15.1,526,182,949138.5
64425.5,-49.3,34,158,106641.9
1136867.4,36.2,440,398,689867.4
605816.8,-11.4,470,140,767469.6
612283.5,-0.6,384,98,582330.8
552623.2,-14.1,558,68,1038771.1
589989,-10.3,510,152,896597.1
606905.4,-11.4,514,172,910885.4
599424.3,-11.6,304,98,438986.4
639633.4,-1,434,140,679273.6
571059.4,-20.8,582,50,1083712.9
621472.8,-23.8,670,64,1287428.4
639735,-19.8,608,130,1131832.5
580999.5,-19.7,572,84,1062292.8
609250,-24.1,662,48,1270734
587086.3,-24.7,656,20,1262434.5
598974.4,-3.9,368,88,554163.7
572050,-12,464,102,742618
113430,-53.9,26,102,146976.8
552880.5,-17.8,224,108,259207.7
635192.5,-20.2,634,100,1195334.9
1158594.3,44,438,428,668102.7
624351.2,-8.3,472,160,775609.1
617774.3,-16.6,254,128,318138.7
1135698.2,35.5,430,400,681924.6
1138077.8,38.8,402,408,665794.9
613914.7,-12.2,550,170,1014824.2
61987.5,-49,30,150,117143.6
599850.6,-7.4,460,124,736550.3
605018.1,-11.4,476,144,786367.8
572725,-17.4,246,106,314357.4
593531.5,-23.4,604,52,1128979.2
597601.5,-3.4,374,86,563744.2
597023.6,-5.3,398,84,602608.8
604907.6,-24.5,670,38,1289009.2
635207.2,-15.5,576,176,1064128.7
596906.5,-22.7,612,44,1145389.5
621238.9,-5.4,340,108,509022.1
580800.2,-15.3,566,96,1050243
571795.5,-10.3,338,76,502834
604521.6,-12.8,520,176,930257
608644.2,-13.9,420,100,643562.3
596418.9,-22.5,624,44,1169809.4
596418.9,-22.5,624,44,1169809.4
605500.9,-1.6,384,92,581211.5
608879.5,-23.9,664,46,1275693.7
601698.9,-7.8,322,98,474207.9
599487.2,-23.4,586,94,1089429.3
596956.8,-6.2,400,84,605898.1
1147424.2,42,422,414,668378.4
626104.1,-2.9,456,146,728726.8
561602.6,-12.3,306,80,444217.7
572088,-23,194,164,102641.9
596184.3,-11.3,518,164,923117.2
601013.1,-24.3,664,32,1276131.4
571586.3,-17.7,232,114,272649
601013.1,-24.3,664,32,1276131.4
634886.8,-4.9,466,166,757735.5
1137914.7,38.6,400,408,665249
609229.2,-23,604,82,1126964.2
609541.3,-20.2,578,126,1071337
599189.4,-22.8,648,46,1235330.8
1086653.4,34.4,388,368,658379.5
596755.2,-2.5,454,114,719359.4
607047.4,-24.4,670,42,1288665.4
1156822.4,43.2,416,430,662852.5
621475.8,-20.1,584,138,1082176.3
1149177.4,41.6,396,424,659502.9
1139864.3,39.7,404,410,665634.7
552312.6,-17.1,440,42,660072.7
654796.7,-13.2,274,140,368546.5
609873.8,-23.7,656,54,1255541.9
619294.6,-0.2,378,104,573500.5
589293.4,-11.2,488,138,823784.2
598138.5,-9.6,504,156,877207.9
596755.2,-2.5,454,114,719359.4
617684.3,-0.8,448,128,707416
592869.9,-16.3,538,158,981575.6
617036.2,-5,350,104,526089
619294.6,-0.2,378,104,573500.5
635768.9,-22.7,658,90,1257016.8
1041601.4,28.9,380,340,639953.4
612039.3,-23.8,660,54,1265359.9
104894.5,-49.3,60,174,48569.5
608998,-9.9,412,98,629228.8
593039.6,-5.1,364,84,546967.2
639180.4,0.3,372,120,566538.1
