X,L,j,i,Y
644861.5,-12.3,576,194,1063311.5
604133.8,-4.8,458,126,731654.1
617894.8,-21,586,128,1086892.4
580700.8,-14.3,476,122,783202.6
599189.4,-22.8,648,46,1235330.8
609238.5,-22.2,586,112,1088134.7
582214.3,-13.1,438,82,671316.1
596893.2,-3.9,370,86,557164.7
596842,-11.8,304,96,439084.5
687997,-20.6,660,160,1255564.1
108494.5,-55.2,28,112,142728.2
601106.3,-4.8,398,88,603458.7
605018.1,-11.4,476,144,786367.8
621290,-21.2,210,166,136927.7
626952.8,-20.3,590,138,1093879.4
616964.6,-22.7,650,68,1238579.5
599058.3,-22.4,620,46,1161309.4
598841.3,-13.5,290,104,409645.4
579059.7,-18.6,418,66,631251.6
1147477.1,41.6,402,420,662010.1
578768.8,-14,558,108,1033396
572725,-17.4,246,106,314357.4
1080782.9,33.9,384,364,655678.6
596842,-11.8,304,96,439084.5
605018.1,-11.4,476,144,786367.8
687206.5,-15.7,616,186,1144251.5
599806,-11.5,480,142,798696.1
571795.5,-10.3,338,76,502834
613001.7,-13.7,418,104,641057.3
589293.4,-11.2,488,138,823784.2
605654.5,-22.9,588,102,1092883.7
579576.9,-13.7,554,116,1024228.4
580802.6,-10.8,508,142,889479.2
578315.9,-12.7,484,126,809326.5
572050,-12,464,102,742618
598138.5,-9.6,504,156,877207.9
613507.8,-11,506,172,884620.1
601348.2,-22.4,614,52,1149138.9
624345.2,-20,586,140,1085895.4
578631,-16,568,88,1054695.7
572725,-17.4,246,106,314357.4
1145241.3,36.7,430,408,674394.2
609541.3,-20.2,578,126,1071337
599850.6,-7.4,460,124,736550.3
606898.1,-15.8,530,188,959657.3
578768.8,-14,558,108,1033396
582712.4,-23.8,600,40,1122075.8
593899.5,-8.2,328,92,485184
1145561.8,40.9,392,420,659686.7
571753.8,-19.3,424,58,638957.9
1145241.3,36.7,430,408,674394.2
578909.9,-11.1,512,142,902602.6
607313.7,-8,318,102,466822.5
572009.3,-12.3,528,136,953151.5
587368.5,-23.7,650,30,1242933.9
687622.1,-20,654,160,1240982.5
693791.3,-15.9,628,180,1175948.1
104171.9,-57.8,32,120,133243.4
624212.6,-20.3,622,90,1166137.9
1139584.6,36.3,432,402,681605.8
601744.9,-14.7,526,178,948620.7
113430,-53.9,26,102,146976.8
687622.1,-20,654,160,1240982.5
609813.8,-22.7,606,80,1131241.1
608400.4,-12.4,560,156,1033848.9
571586.7,-11.8,510,134,895652.8
626752.8,-6.6,412,116,633175.4
687737.4,-10.2,602,214,1102009.6
617778.9,-24,674,58,1297918.3
582731.7,-18.2,228,124,251724.6
1141259.3,36.9,440,400,688385.8
621472.8,-23.8,670,64,1287428.4
617036.2,-5,350,104,526089
617774.3,-16.6,254,128,318138.7
1145561.8,40.9,392,420,659686.7
578052.3,-23.3,630,26,1185129.6
572842.9,-11.9,524,138,940903.1
597362.7,-14.2,558,140,1031503.1
601013.1,-24.3,664,32,1276131.4
572842.9,-11.9,524,138,940903.1
64425.5,-49.3,34,158,106641.9
571016,-18.5,430,60,649795.5
1145261.4,41.3,406,416,664222.1
613469,-13.2,284,114,395670.2
572088,-23,194,164,102641.9
605863.8,-12.4,542,172,992163.7
621198.9,-10.9,552,184,1018485.3
608278.1,-12,546,168,1003330.1
598951.1,-12.5,428,92,655692.5
626167.5,-20,588,140,1089784.9
1152502.4,42.9,426,420,666835.3
626216.3,-3.2,358,110,540965.6
613458.6,-21.3,624,72,1171097.1
604907.6,-24.5,670,38,1289009.2
561337.8,-13.6,562,72,1045810.2
639180.4,0.3,372,120,566538.1
593372.2,-15.5,540,156,987079.1
616557.3,-22.4,202,176,91681.9
1149177.4,41.6,396,424,659502.9
624529.8,-8.8,484,166,814362.7
