,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
0,10,79,53,90,60,90,78,70,80,40,90,20,50,10,0,0,9,0
1,5,72,25,95,45,80,30,50,10,20,25,10,55,5,95,0,2,0
2,0,90,50,92,95,95,85,60,85,15,70,0,45,20,95,20,7,0
3,10,80,15,55,35,15,5,0,0,50,10,80,50,90,95,95,5,0
4,15,60,65,75,95,95,85,80,65,65,55,45,30,25,0,0,1,0
5,0,70,40,95,85,75,70,35,50,5,30,5,25,30,95,35,7,0
6,40,95,45,80,20,50,5,25,55,25,90,40,85,30,95,5,4,0
7,5,60,25,95,40,75,25,40,5,10,35,5,60,5,95,5,2,0
8,60,95,40,70,5,40,35,30,90,35,95,50,75,35,65,5,4,0
9,45,85,70,95,80,80,80,65,95,35,75,15,40,5,5,10,3,0
10,45,88,28,92,69,42,70,10,5,30,55,65,90,85,20,95,8,0
11,15,70,60,85,95,95,78,80,75,50,70,25,65,10,5,3,1,0
12,30,95,20,75,10,55,5,25,40,10,95,15,50,20,25,5,6,0
13,5,90,15,95,50,90,95,85,70,60,40,40,35,15,45,5,7,0
14,10,75,50,95,95,90,60,60,70,50,95,25,55,10,5,5,3,0
15,95,65,70,95,40,75,75,75,85,50,80,15,45,5,5,10,9,0
16,95,95,40,85,5,60,5,30,45,5,90,15,50,25,30,5,6,0
17,35,65,55,95,95,80,75,50,35,15,5,5,50,5,95,5,2,0
18,5,50,20,60,55,75,95,95,85,70,65,50,50,20,40,5,1,0
19,5,70,35,95,50,95,50,55,40,20,5,5,30,10,95,10,1,0
20,15,95,85,100,71,90,10,70,30,50,99,40,60,10,0,10,5,0
21,30,80,45,90,60,85,50,30,60,20,90,20,70,20,10,5,3,0
22,50,70,60,95,40,75,60,50,80,60,95,30,50,5,5,3,4,0
23,5,90,20,85,80,95,70,60,70,30,85,25,65,15,0,8,2,0
24,40,85,50,100,90,80,80,40,50,10,75,10,80,25,0,20,6,0
25,25,60,70,100,50,65,40,75,40,55,100,45,55,10,5,12,7,0
26,85,65,95,100,30,70,20,80,35,60,20,50,5,20,5,0,1,0
27,10,75,35,90,70,88,55,65,65,40,95,20,60,0,10,2,3,0
28,20,78,40,95,85,90,60,55,55,45,92,15,58,5,0,4,2,0
29,35,92,80,100,95,93,35,85,20,70,80,55,60,0,0,6,8,0
30,35,98,22,55,47,25,16,1,1,42,18,80,58,97,99,99,5,0
31,38,99,45,77,17,47,1,30,78,27,98,53,90,26,93,1,4,0
32,99,99,53,89,77,74,92,95,84,64,82,37,50,13,1,1,9,0
33,99,99,68,87,41,63,18,36,12,5,47,1,38,24,1,14,6,0
34,36,65,72,99,13,84,36,45,65,1,1,9,29,50,99,74,8,0
35,30,67,39,99,61,66,57,23,29,1,1,35,52,47,99,60,7,0
36,80,99,98,88,86,73,61,59,37,46,26,31,8,16,1,1,1,0
37,72,99,28,76,1,50,4,18,54,1,98,22,54,42,11,27,6,0
38,1,59,27,86,49,98,45,68,41,34,25,1,13,4,99,5,1,0
39,41,78,30,99,58,75,42,40,1,16,1,5,52,1,99,1,2,0
40,72,95,15,85,35,55,52,20,5,2,3,40,48,70,95,90,7,0
41,28,78,60,95,95,85,60,60,88,50,90,20,48,8,5,2,3,0
42,5,65,3,90,50,95,65,75,45,35,20,12,52,3,95,10,2,0
43,50,88,20,60,65,45,30,3,2,12,6,60,30,95,95,95,5,0
44,30,80,70,95,75,60,45,30,3,18,25,35,65,25,95,5,2,0
45,95,95,85,90,85,75,75,60,50,45,30,28,25,20,3,2,1,0
46,95,70,75,95,20,85,5,50,12,3,60,5,95,30,90,70,0,0
47,20,80,5,50,10,10,60,5,90,20,95,60,75,90,30,95,0,0
48,80,95,10,75,5,55,85,65,95,90,65,75,45,45,30,5,4,0
49,95,95,65,85,35,65,15,30,3,8,45,3,60,25,10,20,6,0
50,45,78,60,59,98,28,45,2,3,28,30,63,74,89,44,97,8,0
51,68,87,91,98,78,72,70,46,97,25,78,2,38,3,2,8,3,0
52,62,98,31,82,2,58,36,40,97,50,92,51,59,28,26,2,4,0
53,58,68,98,92,46,98,33,66,65,31,39,2,2,24,44,56,8,0
54,92,81,31,75,98,43,80,2,2,13,47,54,90,98,12,77,8,0
55,36,90,18,53,41,11,86,2,97,45,81,83,33,98,2,68,0,0
56,24,98,11,66,2,37,24,18,97,20,86,39,48,35,59,2,4,0
57,52,98,7,80,73,44,93,2,9,20,76,54,98,89,2,88,8,0
58,44,98,22,78,2,49,41,40,97,39,96,64,81,33,81,2,4,0
59,2,68,39,71,71,88,98,98,96,72,94,46,88,24,85,2,1,0
60,15,88,33,42,15,5,10,30,60,50,98,75,58,98,5,85,8,0
61,5,60,42,70,78,92,97,95,85,70,70,52,65,28,55,3,1,0
62,98,98,65,95,32,72,7,45,5,8,43,3,68,20,28,28,6,0
63,30,92,5,78,25,70,95,70,48,95,45,85,38,32,42,3,4,0
64,3,85,40,95,78,85,62,64,95,42,98,20,58,5,3,2,3,0
65,95,95,60,80,28,60,5,30,28,3,80,8,56,25,5,15,6,0
66,95,80,58,92,5,98,5,60,35,55,80,35,48,3,5,12,5,0
67,25,75,50,95,62,72,42,38,15,5,3,15,52,12,95,3,2,0
68,82,90,25,95,32,85,90,82,95,55,92,18,45,3,3,22,9,0
69,12,95,8,60,3,28,30,3,65,20,98,52,90,82,48,88,0,0
70,15,77,45,95,62,70,40,40,10,10,5,12,52,5,98,10,2,0
71,10,80,30,50,45,5,20,5,5,50,8,85,55,95,95,95,5,0
72,85,95,65,70,20,50,5,15,75,5,95,25,30,30,50,5,6,0
73,80,95,70,80,30,55,5,20,50,5,95,15,45,35,30,10,6,0
74,25,85,60,95,95,90,70,75,60,45,85,30,55,10,5,5,3,0
75,20,75,50,95,65,75,35,50,5,20,5,10,50,15,95,5,2,0
76,5,40,20,5,60,10,90,35,95,85,65,95,30,65,10,20,0,0
77,95,85,60,95,5,80,30,70,95,80,90,50,60,30,35,5,9,0
78,35,95,80,95,40,95,15,60,55,55,95,30,50,5,5,15,5,0
79,65,95,55,95,25,75,5,35,10,10,85,5,95,25,15,25,6,0
80,2,95,50,98,72,81,55,59,65,34,98,14,49,3,2,2,3,0
81,1,99,60,97,98,76,90,41,73,7,45,1,22,19,98,25,7,0
82,55,72,69,98,66,60,40,25,2,9,24,32,61,23,98,2,2,0
83,36,98,20,65,2,38,36,25,84,32,98,63,92,35,89,2,4,0
84,98,96,26,98,8,66,76,43,68,2,2,11,34,51,81,91,8,0
85,76,95,46,66,98,32,63,2,36,37,82,75,78,98,2,70,8,0
86,2,98,35,92,45,57,44,17,35,2,8,31,51,36,98,35,7,0
87,23,73,42,98,83,92,65,61,98,45,93,13,45,2,2,15,3,0
88,56,52,96,83,94,98,77,62,50,29,2,2,12,5,98,7,1,0
89,51,77,2,90,21,56,78,29,55,2,28,36,78,66,98,98,8,0
90,15,85,45,95,80,88,55,50,15,10,5,5,60,5,95,5,2,0
91,5,90,25,75,95,90,20,95,5,85,85,60,50,20,15,5,9,0
92,5,88,50,68,60,95,45,75,90,75,95,35,65,5,25,10,9,0
93,20,72,42,98,70,78,45,48,20,15,5,5,55,5,95,10,2,0
94,5,75,32,98,40,95,35,65,30,20,5,5,45,10,95,5,1,0
95,35,95,10,80,5,50,35,25,85,30,95,65,80,30,75,5,4,0
96,10,65,55,85,95,95,85,80,70,60,40,35,25,15,5,5,1,0
97,10,85,60,60,85,30,25,5,5,25,50,65,95,90,10,95,8,0
98,10,75,22,60,75,45,55,5,5,15,5,60,20,95,95,95,5,0
99,85,90,35,95,5,65,5,35,30,5,80,20,95,50,85,85,0,0
100,55,78,45,66,89,88,25,60,15,47,35,5,95,35,5,25,8,0
101,23,70,62,48,60,10,5,5,20,40,68,70,95,95,40,85,8,0
102,5,65,50,60,75,95,20,95,30,65,95,70,95,40,90,5,9,0
103,15,85,55,95,50,65,50,55,95,45,95,15,50,5,5,5,3,0
104,10,85,5,40,25,10,70,5,95,35,85,70,45,95,15,75,0,0
105,5,95,50,95,70,85,55,50,60,5,25,25,45,35,95,45,7,0
106,20,70,5,70,40,95,95,95,85,75,70,45,50,20,35,5,7,0
107,95,95,70,95,50,75,50,50,80,40,75,10,40,5,5,5,5,0
108,35,85,95,95,40,85,5,60,40,50,95,40,60,15,5,5,5,0
109,90,90,75,90,55,70,40,50,85,45,70,15,35,5,5,10,4,0
110,28,95,5,60,12,25,52,3,87,28,98,67,78,98,27,95,0,0
111,85,72,73,98,24,85,72,66,98,70,86,31,53,2,2,10,9,0
112,29,72,52,98,68,68,51,35,20,9,2,9,51,17,98,2,2,0
113,2,87,42,98,98,71,86,33,48,2,14,11,13,37,94,36,7,0
114,98,98,72,84,46,71,31,57,18,46,8,31,2,17,2,2,1,0
115,44,98,36,74,2,46,49,46,98,65,89,66,72,33,42,2,4,0
116,2,45,5,56,46,77,92,98,98,79,83,56,69,29,53,2,1,0
117,15,63,24,98,55,70,40,31,2,2,3,6,52,8,98,3,2,0
118,2,81,26,94,61,98,74,76,60,56,52,31,67,10,98,2,2,0
119,72,98,70,57,18,55,47,93,94,82,98,38,63,2,2,5,9,0
120,45,89,27,72,95,88,47,54,60,23,0,15,63,18,42,34,5,0
121,5,82,39,100,49,65,92,86,68,74,63,29,40,11,60,0,3,0
122,20,70,15,90,18,95,36,48,57,32,100,21,69,5,25,10,4,0
123,72,100,40,80,0,53,0,25,48,5,100,8,82,32,22,27,6,0
124,10,77,35,95,50,100,41,40,19,9,0,11,54,9,100,0,2,0
125,30,95,25,70,5,45,0,15,40,0,100,10,78,25,30,20,6,0
126,15,80,10,65,25,100,78,90,83,85,70,50,58,12,55,0,7,0
127,0,78,50,88,100,98,89,84,74,60,55,40,52,17,65,0,1,0
128,8,65,45,85,65,100,50,60,33,25,0,5,45,3,100,7,1,0
129,50,100,30,75,10,55,0,18,45,0,100,12,85,30,28,25,6,0
130,10,85,25,95,60,80,60,35,50,5,30,40,60,50,95,50,7,0
131,95,95,55,95,50,70,85,90,80,65,60,40,35,15,5,10,9,0
132,40,95,15,60,15,15,60,5,95,20,90,65,45,85,5,65,0,0
133,65,95,40,75,10,45,5,25,65,20,95,40,90,25,85,5,4,0
134,95,95,55,85,20,60,5,30,10,5,65,5,45,25,5,15,6,0
135,10,85,5,50,35,30,40,5,10,20,5,65,40,95,95,95,5,0
136,5,70,35,95,85,85,85,45,75,5,50,5,45,40,95,50,7,0
137,15,95,5,75,5,50,60,45,95,65,85,50,75,25,70,5,4,0
138,95,95,50,90,15,60,5,30,15,5,75,5,75,35,15,25,6,0
139,95,85,70,95,40,75,60,50,95,25,80,5,40,5,5,5,5,0
140,45,90,90,100,55,90,5,75,50,60,98,42,88,12,28,5,5,0
141,95,70,65,98,5,82,42,55,85,88,92,32,65,7,2,3,9,0
142,5,78,30,100,85,90,47,72,70,47,98,18,60,2,15,12,3,0
143,3,64,25,98,58,85,42,45,12,18,15,2,54,7,98,13,2,0
144,50,85,88,100,78,88,82,60,90,30,58,8,2,2,98,3,1,0
145,40,80,60,98,98,92,78,65,92,35,82,12,38,2,2,15,3,0
146,47,85,10,72,2,26,38,2,88,22,98,64,70,98,33,80,0,0
147,5,40,12,28,40,2,88,18,98,58,75,98,25,98,2,60,0,0
148,55,90,18,70,2,22,40,5,85,18,98,58,78,98,32,95,0,0
149,30,85,68,98,98,88,80,62,92,45,94,20,56,2,2,5,3,0
150,5,72,45,95,72,87,68,50,65,15,10,5,4,1,95,5,1,0
151,95,95,50,80,25,50,5,20,30,5,85,10,75,30,10,40,6,0
152,15,95,5,78,10,48,60,50,95,80,70,55,50,35,40,5,4,0
153,75,85,35,60,80,35,70,5,5,10,40,40,95,70,75,95,8,0
154,5,75,35,95,80,95,70,60,40,35,5,15,45,5,95,5,2,0
155,35,85,50,55,50,20,10,5,5,25,15,70,50,90,95,95,5,0
156,95,95,60,85,20,50,40,15,90,5,85,45,25,55,5,20,6,0
157,35,70,55,85,95,95,70,75,40,55,25,40,5,25,5,5,1,0
158,15,70,35,35,15,5,5,5,10,35,20,70,50,90,95,95,5,0
159,75,95,30,95,5,60,5,20,40,5,90,20,95,55,85,95,0,0
160,10,75,5,80,50,50,55,10,30,5,20,45,35,90,95,95,5,0
161,20,60,15,30,40,5,80,25,95,60,70,95,25,95,5,60,0,0
162,5,65,20,75,85,90,95,95,70,70,50,45,30,20,25,5,1,0
163,10,85,5,95,40,85,35,55,10,30,5,10,50,5,95,5,2,0
164,50,95,30,55,5,25,60,20,95,40,70,80,70,40,70,5,4,0
165,5,75,30,95,60,80,60,35,55,5,30,20,50,35,95,45,7,0
166,15,70,10,45,35,20,25,5,15,35,5,60,30,85,95,95,5,0
167,15,60,95,70,85,95,5,90,10,70,95,60,85,25,70,5,9,0
168,25,95,5,65,5,20,25,5,60,15,90,40,95,75,60,90,0,0
169,10,80,40,95,70,75,50,30,20,5,5,30,45,35,95,40,7,0
170,65,94,22,100,29,70,81,89,83,67,97,23,55,1,0,14,9,0
171,61,87,80,100,98,75,73,52,82,32,84,12,40,1,0,6,3,0
172,100,100,30,93,2,58,44,25,45,1,7,24,38,57,85,90,8,0
173,100,100,50,82,24,58,1,30,4,6,50,1,52,24,2,15,6,0
174,30,80,5,45,15,8,65,2,98,33,94,78,50,98,1,80,0,0
175,20,88,2,45,18,1,72,10,98,56,74,98,18,77,3,31,0,0
176,2,83,41,100,90,94,98,57,82,20,56,2,36,27,85,32,7,0
177,1,94,33,100,48,60,34,19,14,2,4,43,44,50,98,53,7,0
178,3,89,37,100,73,70,78,35,77,1,29,14,36,27,98,27,7,0
179,100,100,50,96,21,67,2,32,8,2,56,10,52,39,18,27,6,0
180,35,89,40,95,15,60,5,22,20,5,90,10,85,25,12,45,6,0
181,50,80,70,98,95,92,78,68,65,40,55,20,35,5,5,10,3,0
182,10,85,50,99,70,75,35,50,10,30,5,12,45,5,95,5,2,0
183,5,90,55,98,95,85,60,55,30,25,30,5,10,30,60,40,7,0
184,5,95,40,99,70,65,55,25,30,5,10,30,50,30,95,20,7,0
185,30,90,10,60,5,30,30,5,80,15,95,50,90,80,60,95,0,0
186,40,90,15,65,85,50,60,10,5,5,15,40,25,85,95,95,5,0
187,45,75,65,99,75,80,65,50,95,30,75,10,40,5,5,15,3,0
188,5,5,45,20,80,45,95,70,70,95,20,90,20,65,75,50,9,0
189,25,95,30,60,80,45,45,5,5,5,5,55,40,90,95,95,5,0
190,19,80,45,95,85,82,60,40,30,20,10,5,20,3,80,5,1,0
191,50,95,5,90,70,50,80,10,20,15,85,60,95,90,20,70,8,0
192,30,75,50,98,78,75,55,45,25,10,5,10,55,8,95,2,2,0
193,20,98,10,70,5,40,50,30,95,40,60,55,45,30,50,3,4,0
194,5,80,35,95,60,85,55,50,30,25,20,5,60,6,95,10,2,0
195,35,70,75,95,70,80,60,30,40,5,5,8,45,5,95,8,1,0
196,30,85,20,95,75,85,45,60,55,45,95,25,65,2,5,2,3,0
197,10,30,70,60,35,95,5,35,40,5,95,40,90,95,25,80,0,0
198,15,98,8,85,5,65,30,55,70,50,95,50,85,25,85,5,4,0
199,55,75,90,75,65,95,70,75,95,50,80,20,40,5,5,5,9,0
200,1,56,18,59,49,79,85,95,88,72,70,52,68,20,97,3,1,0
201,69,98,14,78,3,45,98,45,95,80,72,90,66,42,62,1,4,0
202,50,98,2,34,38,2,98,50,42,70,17,43,63,58,7,4,0,0
203,2,60,36,80,82,98,98,86,87,64,77,42,74,20,82,2,1,0
204,65,98,26,77,6,53,2,23,35,2,98,11,66,25,9,21,6,0
205,80,88,41,98,27,62,73,78,98,81,89,41,56,7,2,2,9,0
206,98,98,66,90,33,65,9,37,2,2,41,4,48,24,11,13,6,0
207,88,98,51,74,31,44,24,15,65,2,98,22,49,35,2,30,6,0
208,12,65,31,98,52,70,33,30,2,6,15,8,57,2,98,5,2,0
209,37,88,2,67,70,53,67,14,4,2,5,45,20,89,98,98,5,0
210,45,89,65,100,75,70,50,45,10,5,15,20,55,25,95,10,2,0
211,5,78,40,95,60,80,45,35,50,2,20,18,50,30,98,35,7,0
212,10,95,25,90,15,55,55,30,95,50,80,70,65,40,60,5,4,0
213,80,98,30,85,20,60,5,40,75,30,95,45,70,25,50,5,4,0
214,55,80,85,100,95,85,75,60,70,45,70,20,40,5,5,5,3,0
215,10,90,45,100,65,75,70,35,55,5,30,35,50,50,95,50,7,0
216,5,98,50,100,70,80,80,65,85,45,95,25,85,10,50,5,3,0
217,20,85,60,100,90,75,70,55,60,40,95,10,55,5,5,15,3,0
218,95,95,55,85,25,65,5,35,20,10,70,5,60,30,5,30,6,0
219,90,90,40,100,50,60,95,80,90,70,90,25,55,5,5,20,9,0
220,95,95,60,97,25,70,5,35,25,5,90,5,95,30,35,30,6,0
221,98,95,50,95,20,85,5,60,20,50,60,35,45,10,5,5,5,0
222,5,65,40,50,95,80,60,95,15,70,85,60,75,25,15,5,9,0
223,80,95,35,85,5,55,5,15,50,5,85,30,95,65,70,95,0,0
224,20,95,50,95,70,65,65,25,35,5,5,25,45,30,95,30,7,0
225,30,75,60,95,85,85,75,40,30,20,5,5,55,10,95,5,2,0
226,25,95,5,50,15,15,95,10,90,50,65,95,55,45,55,5,4,0
227,5,80,45,95,90,85,55,60,55,35,95,20,55,5,10,5,3,0
228,95,95,75,85,35,55,5,30,35,5,90,15,75,35,20,20,6,0
229,10,85,5,90,50,95,95,90,95,70,70,50,45,20,30,5,7,0
230,5,73,25,90,45,70,85,45,60,10,20,50,65,30,90,20,1,0
231,60,90,30,95,20,50,35,25,20,5,5,40,55,60,95,85,8,0
232,50,95,15,80,5,35,25,5,70,10,95,45,85,80,45,95,0,0
233,60,80,80,95,95,70,65,50,90,30,75,15,35,5,5,5,3,0
234,55,95,20,70,10,30,30,5,75,25,95,55,70,90,35,80,0,0
235,20,75,10,50,55,40,35,10,5,10,15,60,50,90,95,95,5,0
236,15,55,45,95,75,85,50,30,10,5,5,10,45,10,95,10,2,0
237,95,50,75,95,35,90,5,45,15,5,60,5,95,35,80,75,0,0
238,35,65,50,95,85,90,55,45,10,15,5,20,50,5,95,10,2,0
239,5,80,30,95,65,80,70,35,55,5,25,20,60,35,95,50,7,0
240,95,88,60,98,19,65,18,40,10,5,75,5,78,15,25,18,6,0
241,50,85,63,100,82,81,50,60,98,42,85,15,35,0,0,10,3,0
242,100,75,48,92,30,55,85,12,5,2,40,42,82,85,20,98,8,0
243,100,96,56,99,18,68,5,30,25,3,95,0,88,25,28,20,6,0
244,100,100,90,100,45,78,10,45,2,18,45,2,95,8,22,25,6,0
245,42,70,65,100,98,84,70,65,78,50,80,12,40,0,0,15,3,0
246,100,78,68,60,25,70,60,100,95,75,90,38,55,7,0,0,9,0
247,34,88,82,100,85,75,45,50,90,42,98,14,50,0,0,2,3,0
248,100,100,55,83,22,60,2,30,8,12,65,0,70,18,22,20,6,0
249,18,98,5,70,20,50,65,45,98,50,90,60,80,25,70,5,4,0
250,1,60,20,95,30,75,25,30,5,5,10,1,50,3,95,6,1,0
251,4,65,50,98,85,80,50,40,12,15,2,10,60,1,95,10,2,0
252,2,75,55,80,95,95,70,85,55,60,45,35,25,22,10,1,1,0
253,6,72,10,25,45,5,90,20,95,70,65,95,18,95,2,55,0,0
254,80,98,35,85,70,75,85,90,95,55,90,20,45,2,5,5,9,0
255,15,90,2,85,2,35,30,2,85,20,95,60,70,95,8,95,0,0
256,75,98,18,90,3,60,8,25,50,2,95,25,95,60,90,90,0,0
257,9,98,1,75,7,35,60,45,90,80,90,80,85,35,85,2,4,0
258,55,90,5,70,50,30,20,1,2,30,60,60,95,95,10,95,8,0
259,50,80,50,95,95,85,80,55,35,35,75,20,50,5,1,1,3,0
260,45,80,10,65,5,20,48,2,90,25,98,75,60,98,25,60,0,0
261,78,84,28,98,30,62,92,33,70,2,5,20,30,60,98,85,8,0
262,55,93,20,68,2,22,35,5,85,20,98,65,70,98,32,70,0,0
263,60,98,35,72,3,45,57,35,98,50,78,72,65,37,68,2,4,0
264,40,60,82,88,87,98,72,62,60,20,2,2,25,5,98,10,1,0
265,16,98,12,94,2,63,57,52,98,70,70,50,50,25,30,2,4,0
266,72,86,18,98,22,60,80,25,58,2,2,25,50,60,98,88,8,0
267,98,98,60,90,28,62,10,35,2,8,40,2,50,25,8,28,6,0
268,15,55,5,20,42,2,80,30,98,68,80,98,30,88,2,52,0,0
269,2,65,22,98,50,78,35,35,8,2,8,2,50,5,98,2,2,0
270,10,85,29,98,45,90,36,52,12,28,22,15,60,8,99,5,2,0
271,15,79,35,100,80,88,53,68,97,52,94,23,55,7,3,2,3,0
272,70,82,5,99,5,67,93,38,98,2,15,18,54,56,72,95,8,0
273,5,60,30,75,65,92,98,99,78,78,57,50,42,28,25,3,1,0
274,14,76,2,33,32,5,65,3,98,29,93,78,65,99,41,70,0,0
