,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
0,10,89,25,98,60,90,40,45,10,15,25,10,70,10,90,10,2,0
1,45,95,50,75,25,55,10,20,65,30,85,50,95,30,95,5,4,0
2,5,70,60,80,95,95,85,80,60,60,45,40,20,20,5,5,1,0
3,50,100,40,70,5,40,35,35,95,40,95,55,85,35,75,5,4,0
4,0,75,15,100,45,85,30,50,5,20,15,5,65,5,95,5,2,0
5,0,95,45,95,95,95,90,55,85,10,65,5,50,20,95,20,7,0
6,15,60,65,80,95,95,90,90,65,65,55,45,30,25,5,5,1,0
7,0,80,50,100,90,75,70,40,50,5,40,5,35,30,95,35,7,0
8,40,85,10,50,25,10,5,0,0,40,5,80,55,90,95,95,5,0
9,50,85,70,100,80,80,80,55,95,35,75,10,40,5,5,5,3,0
10,35,89,14,75,60,40,70,5,5,20,55,57,98,97,28,98,8,0
11,25,65,60,80,95,98,90,80,75,60,75,35,65,10,5,5,1,0
12,40,95,20,85,5,55,5,25,50,10,98,25,50,20,25,5,6,0
13,5,95,15,95,50,90,95,85,70,65,45,50,35,15,40,5,7,0
14,10,85,55,95,95,95,60,60,75,55,95,35,55,10,5,5,3,0
15,95,70,70,95,45,85,85,75,90,50,85,20,50,5,5,10,9,0
16,95,95,50,90,15,65,5,30,45,5,95,20,60,35,30,5,6,0
17,45,75,65,95,95,80,80,50,40,25,5,10,55,5,95,5,2,0
18,5,60,25,65,60,85,95,95,85,75,70,55,55,30,45,5,1,0
19,5,80,40,95,55,95,55,65,50,30,5,5,35,10,95,10,1,0
20,15,88,45,95,60,80,50,50,70,30,90,40,60,20,80,5,4,0
21,10,70,40,98,75,70,55,25,15,5,5,15,45,15,95,10,2,0
22,95,78,60,99,25,75,60,65,85,60,95,25,55,5,5,3,9,0
23,5,75,35,85,80,95,95,90,80,70,75,50,50,25,50,5,1,0
24,30,95,70,98,98,65,80,30,40,10,85,20,70,30,5,35,7,0
25,20,92,90,99,30,90,10,70,30,50,98,30,60,10,10,12,5,0
26,85,90,95,97,60,85,35,65,20,55,10,35,5,20,5,5,1,0
27,5,80,25,98,70,85,60,60,60,40,95,20,65,5,10,5,3,0
28,8,82,35,95,80,80,55,55,55,45,95,25,60,5,5,3,3,0
29,22,94,88,98,95,90,30,90,28,60,85,55,60,5,5,8,5,0
30,25,90,30,50,45,20,10,5,5,35,15,70,50,90,95,95,5,0
31,35,95,40,75,20,40,5,25,75,20,95,45,85,20,90,5,4,0
32,95,95,50,85,75,70,90,90,80,60,75,30,45,10,5,5,9,0
33,95,95,60,80,35,55,10,30,5,5,40,5,30,20,5,10,6,0
34,35,60,70,95,10,85,30,40,65,5,5,10,25,45,95,70,8,0
35,30,60,40,95,60,60,50,20,30,5,5,30,45,40,95,55,7,0
36,80,95,95,80,85,70,55,55,30,40,20,25,5,10,5,5,1,0
37,70,95,25,75,5,45,5,15,55,5,95,15,50,35,10,20,6,0
38,5,55,25,85,50,95,40,65,40,30,20,5,10,5,95,5,1,0
39,40,75,25,95,55,70,35,35,5,10,5,5,45,5,95,5,2,0
40,78,95,15,85,30,60,55,20,5,10,5,40,50,70,90,80,7,0
41,25,75,60,95,95,85,70,60,90,50,90,20,55,10,5,5,3,0
42,5,65,5,90,50,95,65,75,40,35,20,15,45,5,95,10,2,0
43,50,90,20,60,65,45,30,5,5,15,10,65,30,95,95,95,5,0
44,35,80,70,95,75,60,45,30,5,20,25,35,65,25,95,5,2,0
45,95,95,85,90,85,75,75,60,55,45,30,30,25,15,5,5,1,0
46,95,70,75,95,20,85,5,50,10,5,60,5,90,35,90,70,0,0
47,20,85,5,50,15,15,60,5,90,30,95,65,75,90,30,95,0,0
48,85,95,10,85,5,60,85,65,95,90,65,80,45,45,30,5,4,0
49,95,95,65,85,45,65,15,35,5,10,45,5,60,25,10,10,6,0
50,45,78,64,59,98,28,45,2,5,29,36,63,78,95,45,98,8,0
51,68,87,95,97,78,67,70,46,98,25,82,2,42,3,2,8,3,0
52,62,98,31,82,2,54,40,40,98,50,92,55,59,28,26,2,4,0
53,58,68,98,92,46,98,37,66,65,31,39,2,2,24,44,56,8,0
54,92,85,31,75,98,43,80,2,2,13,47,58,94,98,12,77,8,0
55,36,90,18,53,41,11,86,2,98,45,81,87,37,98,2,68,0,0
56,24,98,11,66,2,37,24,18,98,20,90,39,52,35,59,2,4,0
57,52,98,7,80,73,44,93,2,9,20,80,58,98,95,2,88,8,0
58,44,98,22,78,2,49,41,40,98,39,96,68,85,33,85,2,4,0
59,2,68,39,71,71,88,98,98,96,76,94,50,88,24,89,2,1,0
60,25,82,30,40,14,1,10,29,60,50,95,80,58,97,2,85,8,0
